#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,,Team,League
,Yamasaki Sachiya,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Oka Hiromi,5,18,17,4,7,3,0,0,10,1,0,0,0,0,4,1,0,0,0,0.412,0.444,0.588,1.033,210,0.176,0.538,27.8%,22.2%,5.6%,0.25,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Kawase Hikaru,3,14,13,3,4,0,1,0,6,1,1,0,0,0,2,1,0,0,0,0.308,0.357,0.462,0.819,150,0.154,0.364,21.4%,14.3%,7.1%,0.50,0.2,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Tokoda Hiroki,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Hirooka Taishi,5,20,20,3,5,0,0,0,5,2,1,0,0,0,5,0,0,0,0,0.250,0.250,0.250,0.500,56,0.000,0.333,25.0%,25.0%,0.0%,0.00,0.2,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Saiki Hiroto,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.500,0.000,0.500,63,0.000,,100.0%,50.0%,50.0%,1.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Aizawa Tsubasa,3,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,28.6%,28.6%,0.0%,0.00,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Kinami Seiya,10,38,35,7,15,1,0,0,16,2,0,0,1,0,8,2,2,0,1,0.429,0.459,0.457,0.917,185,0.029,0.556,26.3%,21.1%,5.3%,0.25,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Suekane Shota,4,9,9,1,1,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0.111,0.111,0.444,0.556,69,0.333,0.000,22.2%,11.1%,0.0%,0.00,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Sugimoto Yutaro,7,25,22,2,7,4,0,0,11,3,0,0,0,0,2,2,0,1,0,0.318,0.400,0.500,0.900,182,0.182,0.350,16.0%,8.0%,8.0%,1.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
