Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Perdomo Luis,26,2,1,0,20,0,0,.667,104,26,.2,21,1,6,2,0,13,0,0,7,6,2.03,ORIX Buffaloes,
Saiki Kaito,5,1,0,0,0,0,0,1.000,11,3,.2,0,0,0,0,0,2,0,0,0,0,0.00,ORIX Buffaloes,
Sotani Ryuhei,12,6,3,0,0,1,0,.667,298,72,.1,68,6,18,1,2,61,1,0,28,25,3.11,ORIX Buffaloes,
Suzuki Hiroshi,15,0,0,0,4,0,0,.000,58,12,.1,16,1,6,0,0,6,0,0,9,9,6.57,ORIX Buffaloes,
Tajima Daiki,9,4,3,0,0,1,1,.571,227,56,.2,49,4,11,0,0,40,1,0,20,20,3.18,ORIX Buffaloes,
Takashima Taito,9,2,1,0,0,0,0,.667,117,27,,34,1,6,1,2,13,0,0,12,12,4.00,ORIX Buffaloes,
Teranishi Naruki,2,1,0,0,0,0,0,1.000,32,8,,6,0,4,0,0,3,0,0,1,1,1.13,ORIX Buffaloes,
Tomiyama Ryoga,5,0,0,0,0,0,0,.000,23,4,,6,1,4,0,1,1,0,0,4,4,9.00,ORIX Buffaloes,
Yamada Nobuyoshi,22,2,2,0,9,0,0,.500,78,16,.2,19,1,9,0,0,16,0,0,11,10,5.40,ORIX Buffaloes,
Yamaoka Taisuke,18,2,1,0,8,0,0,.667,70,16,,17,0,5,1,1,18,0,0,5,5,2.81,ORIX Buffaloes,
Yamazaki Soichiro,11,1,0,0,0,0,0,1.000,54,11,.1,13,3,6,0,2,13,2,0,8,8,6.35,ORIX Buffaloes,
Azuma Yusuke,3,0,0,0,1,0,0,.000,11,2,.1,4,0,1,0,0,3,0,0,1,1,3.86,Lotte Marines,
Guerrero Tayron,16,1,3,1,4,0,0,.250,66,14,.2,16,3,6,0,0,13,1,0,11,11,6.75,Lotte Marines,
Hayasaka Oto,2,0,0,0,0,0,0,.000,9,2,,3,0,0,0,0,1,0,0,1,1,4.50,Lotte Marines,
Hirohata Atsuya,3,0,0,0,0,0,0,.000,19,3,,5,0,5,0,0,3,0,0,3,3,9.00,Lotte Marines,
Hiroike Koshiro,1,0,1,0,0,0,0,.000,10,2,,4,3,0,0,0,3,0,0,3,3,13.50,Lotte Marines,
Ishikawa Shuta,10,3,2,0,0,0,0,.600,217,52,,43,2,18,0,3,24,2,0,18,18,3.12,Lotte Marines,
Karakawa Yuki,1,0,1,0,0,0,0,.000,14,2,,7,0,1,1,0,1,0,0,4,4,18.00,Lotte Marines,
Kikuchi Riku,17,0,1,0,0,0,0,.000,78,18,,15,4,9,0,0,17,1,0,7,7,3.50,Lotte Marines,
Kimura Yuto,15,1,0,1,5,0,0,1.000,99,23,.2,19,2,8,0,1,15,0,0,10,7,2.66,Lotte Marines,
Masuda Naoya,11,1,1,3,0,0,0,.500,46,10,.2,11,1,2,0,1,8,0,0,6,6,5.06,Lotte Marines,
Nakamori Shunsuke,22,2,2,4,8,0,0,.500,100,26,.1,18,1,3,0,1,31,0,0,4,4,1.37,Lotte Marines,
Nakamura Toshiya,3,0,0,0,0,0,0,.000,12,2,.2,1,0,4,1,0,0,0,0,0,0,0.00,Lotte Marines,
Nishimura Takahiro,1,0,0,0,0,0,0,.000,8,0,.2,4,0,2,0,0,1,0,0,3,3,40.50,Lotte Marines,
Nishino Yuji,8,0,4,0,0,0,0,.000,190,44,.2,47,3,10,0,2,25,0,0,17,17,3.43,Lotte Marines,
Ojima Kazuya,11,2,5,0,0,0,0,.286,272,66,,62,9,17,0,2,38,1,0,29,26,3.55,Lotte Marines,
Ono Fumiya,22,1,2,0,2,0,0,.333,81,19,,17,1,5,0,0,20,1,0,8,6,2.84,Lotte Marines,
Sakamoto Koshiro,7,1,2,0,2,0,0,.333,25,5,.1,6,0,3,0,1,2,0,0,2,2,3.38,Lotte Marines,
Sammons Bryan,5,3,1,0,0,0,0,.750,103,24,.2,16,4,12,0,2,20,0,0,9,7,2.55,Lotte Marines,
Sawada Keisuke,5,0,0,0,0,0,0,.000,24,5,.1,6,3,2,0,0,3,0,0,6,6,10.13,Lotte Marines,
Sawamura Hirokazu,6,0,0,0,0,0,0,.000,27,6,,4,0,5,0,0,4,1,0,2,2,3.00,Lotte Marines,
Suzuki Shota,24,1,2,5,11,0,0,.333,98,23,.1,24,1,4,0,2,24,1,0,9,9,3.47,Lotte Marines,
Takano Shuta,11,3,0,0,2,0,0,1.000,91,23,.2,14,2,6,0,0,29,1,0,5,5,1.90,Lotte Marines,
Tanaka Haruya,9,3,5,0,0,0,0,.375,219,53,.1,45,4,14,1,1,60,5,0,16,15,2.53,Lotte Marines,
Taneichi Atsuki,11,2,4,0,0,0,0,.333,294,67,,68,5,27,0,3,48,5,0,30,25,3.36,Lotte Marines,
Voth Austin,13,2,4,0,0,0,0,.333,321,78,.2,70,3,16,0,4,56,2,0,28,27,3.09,Lotte Marines,
Yagi Akira,18,0,0,0,4,0,0,.000,79,17,.1,22,2,3,0,3,19,0,0,13,13,6.75,Lotte Marines,
Yokoyama Rikuto,17,2,2,0,8,0,0,.500,92,22,.2,16,1,4,0,2,22,1,0,9,8,3.18,Lotte Marines,
Arihara Kohei,13,5,5,0,0,1,1,.500,371,90,,86,6,22,1,2,61,2,0,33,31,3.10,SoftBank Hawks,
Fujii Kouya,27,2,1,1,8,0,0,.667,102,26,.2,17,1,6,0,1,33,1,0,5,4,1.35,SoftBank Hawks,
Hernandez Darwinzon,15,0,2,0,4,0,0,.000,59,13,.2,16,0,4,0,1,12,0,0,8,8,5.27,SoftBank Hawks,
Higashihama Nao,4,2,2,0,0,0,0,.500,82,20,.1,16,1,3,0,0,12,0,0,8,6,2.66,SoftBank Hawks,
Itoh Yusuke,2,0,0,0,0,0,0,.000,10,2,,2,0,2,0,0,1,0,0,0,0,0.00,SoftBank Hawks,
Iwai Shunsuke,7,0,0,0,1,0,0,.000,36,8,.1,10,1,1,0,1,3,0,0,3,3,3.24,SoftBank Hawks,
