Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
野口 恭佑,神,RF,103.0,3.1,3.1,-,-0.1,0.1,-0.4,-,-,
野口 恭佑,神,DH,13.0,-,-,-,-,-,-0.2,-,-,
山口 アタル,日,LF,76.0,-0.7,-0.6,-,-0.3,0.1,-0.7,-,-,
山口 アタル,日,CF,26.0,0.7,0.7,-,0.0,0.0,0.1,-,-,
山口 アタル,日,RF,34.0,-0.1,0.3,-,-0.4,0.0,-0.1,-,-,
山口 アタル,日,DH,32.0,-,-,-,-,-,-0.4,-,-,
ディアス,オ,1B,20.0,-0.1,-0.4,0.2,-,0.1,-0.2,-,-,
ディアス,オ,DH,60.0,-,-,-,-,-,-0.7,-,-,
細川 凌平,日,1B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
細川 凌平,日,2B,25.0,-1.2,-1.4,0.1,-,0.1,0.1,-,-,
細川 凌平,日,3B,5.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
細川 凌平,日,SS,150.0,-0.2,0.2,-1.0,-,0.7,1.2,-,-,
細川 凌平,日,CF,25.0,1.4,1.6,-,-0.3,0.0,0.1,-,-,
細川 凌平,日,RF,9.0,1.1,1.1,-,0.0,0.0,0.0,-,-,
小西 慶治,O,1B,261.7,-1.6,-3.3,0.0,-,1.7,-2.9,-,-,
小西 慶治,O,3B,7.0,-0.7,0.0,-0.1,-,-0.5,0.0,-,-,
川上 理偉,中,1B,270.0,3.4,1.8,0.3,-,1.3,-3.0,-,-,
川上 理偉,中,2B,78.3,-3.8,-2.6,-0.2,-,-1.1,0.2,-,-,
川上 理偉,中,3B,9.0,0.6,0.4,0.0,-,0.1,0.0,-,-,
前川 誠太,広,1B,14.0,0.1,0.1,0.0,-,0.1,-0.2,-,-,
前川 誠太,広,2B,194.0,-0.6,0.8,-0.7,-,-0.7,0.5,-,-,
前川 誠太,広,DH,17.0,-,-,-,-,-,-0.2,-,-,
江口 聡一郎,ハ,LF,6.0,-1.2,-0.9,-,-0.3,0.0,-0.1,-,-,
江口 聡一郎,ハ,DH,10.0,-,-,-,-,-,-0.1,-,-,
ブライト 健太,中,LF,35.0,-1.2,-0.8,-,-0.5,0.0,-0.3,-,-,
ブライト 健太,中,RF,9.0,-0.4,-0.9,-,0.5,0.0,0.0,-,-,
加藤 竜馬,中,RF,45.0,-0.5,-0.6,-,0.1,0.0,-0.2,-,-,
加藤 竜馬,中,DH,21.0,-,-,-,-,-,-0.3,-,-,
香月 一也,オ,1B,42.3,-0.1,-0.3,-0.2,-,0.4,-0.5,-,-,
香月 一也,オ,DH,28.0,-,-,-,-,-,-0.3,-,-,
篠原 玲央,ハ,CF,284.0,-4.7,-1.9,-,-1.3,-1.5,0.9,-,-,
中川 勇斗,神,C,4.0,0.4,-,-,0.4,0.0,0.1,0.2,0.0,
中川 勇斗,神,3B,5.0,0.3,0.2,0.0,-,0.1,0.0,-,-,
中川 勇斗,神,LF,11.0,0.0,0.0,-,0.0,0.0,-0.1,-,-,
中川 勇斗,神,DH,72.0,-,-,-,-,-,-0.9,-,-,
遠藤 成,オ,1B,35.0,-0.5,-0.6,-0.1,-,0.1,-0.4,-,-,
遠藤 成,オ,2B,59.0,-0.1,0.3,-0.1,-,-0.4,0.2,-,-,
遠藤 成,オ,3B,27.0,-0.8,-0.9,0.0,-,0.1,-0.1,-,-,
遠藤 成,オ,CF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
遠藤 成,オ,RF,3.0,-0.2,-0.6,-,0.4,0.0,0.0,-,-,
