Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Yoshida Seiya,5,1,2,0,0,0,.333,132,30,,30,1,10,0,1,24,3,0,17,16,4.80,Chunichi Dragons,
Abe Shota,7,0,0,1,0,0,.000,27,7,,6,2,0,0,0,1,3,0,4,4,5.14,ORIX Buffaloes,
Ashida Taketo,8,2,1,0,0,0,.667,166,37,.2,45,1,8,0,5,25,2,0,15,13,3.11,ORIX Buffaloes,
Azuma Kohei,6,1,0,0,0,0,1.000,86,17,.2,24,1,7,0,1,17,0,0,12,10,5.09,ORIX Buffaloes,
Espinoza Anderson,1,0,0,0,0,0,.000,17,4,,4,0,2,0,0,3,0,0,0,0,0.00,ORIX Buffaloes,
Gonda Ryusei,14,2,0,0,0,0,1.000,58,16,.2,7,0,2,0,1,20,1,0,1,1,0.54,ORIX Buffaloes,
Hirano Yoshihisa,4,0,0,0,0,0,.000,15,4,,1,0,1,0,2,3,0,0,0,0,0.00,ORIX Buffaloes,
Honda Hitomi,12,1,0,0,0,0,1.000,60,12,.1,15,0,7,0,0,12,1,0,12,8,5.84,ORIX Buffaloes,
Honda Keisuke,10,1,1,0,0,0,.500,71,17,.2,14,0,3,0,1,11,1,0,6,5,2.55,ORIX Buffaloes,
Iguchi Kazutomo,15,2,0,0,0,0,1.000,47,13,,5,0,1,0,2,4,0,1,4,1,0.69,ORIX Buffaloes,
Iriyama Kaito,8,0,0,0,0,0,.000,41,8,.2,10,1,7,0,0,8,1,0,4,4,4.15,ORIX Buffaloes,
Katayama Raiku,7,1,0,0,0,0,1.000,94,23,.1,20,0,3,0,2,11,0,0,9,9,3.47,ORIX Buffaloes,
Kawase Kento,2,0,1,0,0,0,.000,15,3,.1,5,0,2,0,0,3,0,0,3,2,5.40,ORIX Buffaloes,
Kotajima Seiryu,1,0,0,0,0,0,.000,4,1,,1,0,0,0,0,1,0,0,0,0,0.00,ORIX Buffaloes,
Mae Yuito,2,0,0,0,0,0,.000,6,1,.1,1,0,2,0,0,0,1,0,0,0,0.00,ORIX Buffaloes,
Miyaguni Riku,6,0,2,0,0,0,.000,84,20,,18,0,10,0,0,10,0,0,5,5,2.25,ORIX Buffaloes,
Mukunoki Ren,4,0,1,0,0,0,.000,25,6,,7,1,1,0,0,6,0,0,5,5,7.50,ORIX Buffaloes,
Muranishi Ryota,7,0,0,0,0,0,.000,41,9,,10,0,4,0,0,9,1,0,2,2,2.00,ORIX Buffaloes,
Ohe Kaito,10,1,0,0,0,0,1.000,41,10,.1,12,0,1,0,1,7,0,0,3,2,1.74,ORIX Buffaloes,
Ono Taiki,9,1,1,0,0,0,.500,48,10,.2,9,0,7,0,0,9,0,0,5,4,3.38,ORIX Buffaloes,
Saiki Kaito,19,0,2,5,0,0,.000,84,18,.1,14,1,13,2,1,21,2,0,9,7,3.44,ORIX Buffaloes,
