Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Team,League
Tonosaki Shuta,2,8,8,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,54,0.000,0.286,12.5%,12.5%,0.0%,0.00,-0.0,Seibu Lions,PL
Maeda Yamato,3,7,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.143,0.143,0.143,0.286,-12,0.000,0.143,0.0%,0.0%,0.0%,,-0.0,DeNA BayStars,CL
Ohyama Yusuke,6,24,18,1,5,2,0,0,7,2,0,0,0,0,2,6,1,0,0,0.278,0.458,0.389,0.847,169,0.111,0.312,33.3%,8.3%,25.0%,3.00,-0.0,Hanshin Tigers,CL
Ohta Taishi,2,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,20.0%,20.0%,0.0%,0.00,0.0,DeNA BayStars,CL
Ohnuki Shinichi,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,0.0,DeNA BayStars,CL
Ohta Ryo,6,19,16,3,6,1,0,1,10,1,0,0,0,0,3,3,0,0,0,0.375,0.474,0.625,1.099,245,0.250,0.417,36.8%,15.8%,15.8%,1.00,-0.0,ORIX Buffaloes,PL
Okumura Nobuyuki,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,488,0.000,1.000,0.0%,0.0%,0.0%,,-0.0,Yakult Swallows,CL
Adachi Ryoichi,7,26,21,3,6,1,0,0,7,0,0,0,2,0,4,3,0,0,0,0.286,0.375,0.333,0.708,123,0.048,0.353,26.9%,15.4%,11.5%,0.75,-0.0,ORIX Buffaloes,PL
Mune Yuma,11,50,49,2,8,1,0,0,9,0,2,1,1,0,7,0,0,0,1,0.163,0.163,0.184,0.347,7,0.020,0.190,14.0%,14.0%,0.0%,0.00,-0.0,ORIX Buffaloes,PL
Miyagi Hiroya,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,216,0.000,1.000,50.0%,50.0%,0.0%,0.00,-0.0,ORIX Buffaloes,PL
Miyamoto Takeshi,5,13,11,2,3,1,0,0,4,0,0,0,0,0,3,2,0,0,0,0.273,0.385,0.364,0.748,124,0.091,0.375,38.5%,23.1%,15.4%,0.67,-0.0,Yakult Swallows,CL
Miyazaki Toshiro,3,9,7,2,2,0,0,1,5,1,0,0,1,0,1,1,0,0,0,0.286,0.375,0.714,1.089,223,0.429,0.200,33.3%,11.1%,11.1%,1.00,-0.0,DeNA BayStars,CL
Ogawa Yasuhiro,3,6,4,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0.000,0.200,0.000,0.200,-33,0.000,0.000,50.0%,33.3%,16.7%,0.50,-0.0,Yakult Swallows,CL
Obata Ryuhei,3,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0.000,0.000,0.000,0.000,-105,0.000,0.000,66.7%,66.7%,0.0%,0.00,0.0,Hanshin Tigers,CL
Oda Yuya,5,2,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,216,0.000,1.000,50.0%,50.0%,0.0%,0.00,0.2,ORIX Buffaloes,PL
Yamasaki Kotaro,8,25,21,3,3,0,0,0,3,1,1,0,3,0,9,1,0,0,0,0.143,0.182,0.143,0.325,0,0.000,0.250,40.0%,36.0%,4.0%,0.11,0.2,Yakult Swallows,CL
Yamakawa Hotaka,2,8,6,1,1,0,0,1,4,1,0,0,0,0,2,2,1,0,0,0.167,0.375,0.667,1.042,216,0.500,0.000,62.5%,25.0%,25.0%,1.00,-0.0,Seibu Lions,PL
