Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
Keller Kyle,34,3,2,3,5,0,0,128,32.2,25,2,46,5,0,2,0,12,12,3.31,1.73,1.60,0.92,94,50,44,1.58,1.6%,35.9%,3.9%,32.0%,46.7%,35.2%,72.4%,14.8%,30.2%,94.6,Hanshin Tigers,29,R,CL
Kirishiki Takuma,7,0,3,0,0,0,0,65,14.1,20,2,16,4,2,0,0,8,8,5.02,3.52,2.95,1.67,62,101,82,1.50,3.1%,24.6%,6.2%,18.5%,48.8%,23.3%,69.6%,14.0%,32.0%,89.2,Hanshin Tigers,23,L,CL
Kobayashi Keisuke,10,0,0,0,0,0,0,47,11.1,12,1,9,4,1,0,0,2,2,1.59,3.72,3.74,1.41,196,107,104,-2.13,2.1%,19.1%,8.5%,10.6%,32.3%,36.6%,72.4%,14.2%,24.3%,90.1,Hanshin Tigers,29,R,CL
Moriki Daichi,2,0,2,0,0,0,0,37,8.2,9,0,6,3,2,0,0,8,6,6.23,2.76,3.99,1.38,50,79,111,3.47,0.0%,16.2%,8.1%,8.1%,50.0%,26.9%,83.6%,7.5%,23.8%,92.2,Hanshin Tigers,19,R,CL
Nishi Junya,14,6,3,0,0,1,0,309,77.1,67,7,60,19,0,1,2,24,23,2.68,3.50,3.47,1.11,116,101,97,-0.82,2.3%,19.4%,6.1%,13.3%,60.3%,26.2%,79.0%,9.8%,27.7%,91.9,Hanshin Tigers,20,R,CL
Nishi Yuki,23,9,9,0,0,2,2,599,148.1,132,8,93,26,3,5,2,40,36,2.18,3.18,3.68,1.07,143,91,102,-1.00,1.3%,15.5%,4.3%,11.2%,47.8%,25.2%,83.9%,7.3%,26.8%,88.0,Hanshin Tigers,31,R,CL
Ogawa Ippei,6,0,2,0,0,0,0,100,24.2,16,3,22,9,2,3,1,12,12,4.38,4.36,3.50,1.01,71,125,97,0.02,3.0%,22.0%,9.0%,13.0%,55.0%,20.9%,83.5%,6.6%,28.1%,90.4,Hanshin Tigers,25,R,CL
Onaka Yuya,1,0,0,0,0,0,0,11,2.0,4,0,2,1,1,0,0,2,2,9.00,2.60,3.89,2.50,35,75,108,6.40,0.0%,18.2%,9.1%,9.1%,25.0%,29.4%,64.7%,18.8%,28.1%,90.4,Hanshin Tigers,27,R,CL
Ono Taiki,5,0,0,0,0,0,0,25,5.0,7,1,7,3,0,0,0,3,1,1.80,4.70,3.20,2.00,173,135,89,-2.90,4.0%,28.0%,12.0%,16.0%,46.7%,20.8%,79.5%,8.6%,26.7%,94.6,Hanshin Tigers,28,R,CL
Oyokawa Masaki,1,0,0,0,0,0,0,4,1.0,1,1,0,0,0,0,0,1,1,9.00,16.10,4.80,1.00,35,463,133,-7.10,25.0%,0.0%,0.0%,0.0%,50.0%,25.0%,83.3%,10.0%,20.0%,90.7,Hanshin Tigers,21,L,CL
