Rank,Pitcher,Age,T,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
,<a href=https://npb.jp/bis/eng/players/11715134.html>Kyoyama Masaya</a>,25.0,R,17,0,0,1,0,0,75,18.0,17,2,15,5,0,1,1,10,9,4.50,4.24,3.47,1.22,72,110,88,0.26,2.7%,20.0%,6.7%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/33235155.html>Marcelino Hansel</a>,22.0,R,9,0,0,1,0,0,41,8.1,7,0,12,8,0,1,2,6,4,4.32,3.82,3.82,1.80,75,99,97,0.50,0.0%,29.3%,19.5%,9.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/63965159.html>Martinez Alexander</a>,21.0,R,2,0,0,0,0,0,8,2.0,1,0,1,1,0,0,0,0,0,0.00,3.96,4.80,1.00,999,103,122,-3.96,0.0%,12.5%,12.5%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/23125159.html>Matsumoto Ryoto</a>,22.0,R,32,3,0,0,0,0,143,33.1,31,0,28,13,0,5,0,12,10,2.70,3.40,3.75,1.32,120,88,95,-0.70,0.0%,19.6%,9.1%,10.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/93195153.html>Matsumoto Ryunosuke</a>,21.0,L,19,3,1,0,0,0,253,59.2,51,2,52,32,0,2,4,24,20,3.02,3.86,4.01,1.39,108,100,102,-0.84,0.8%,20.6%,12.6%,8.0%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/41245137.html>Mishima Kazuki</a>,34.0,R,29,1,1,3,0,0,162,38.0,30,2,28,14,0,1,5,9,7,1.66,3.85,3.94,1.16,196,100,100,-2.19,1.2%,17.3%,8.6%,8.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/03105155.html>Miura Ginji</a>,24.0,R,17,2,1,0,0,0,82,15.2,21,1,8,12,0,3,1,17,15,8.62,6.14,5.29,2.11,38,159,134,2.48,1.2%,9.8%,14.6%,-4.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/51855138.html>Miyagi Daita</a>,23.0,R,31,4,3,0,0,0,258,59.2,58,3,53,20,0,4,1,29,26,3.92,3.54,3.52,1.31,83,92,89,0.38,1.2%,20.5%,7.8%,12.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/01405139.html>Mori Yuito</a>,32.0,R,11,2,1,1,0,0,238,61.0,53,5,40,7,0,1,1,20,18,2.66,3.61,3.41,0.98,122,94,87,-0.95,2.1%,16.8%,2.9%,13.9%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/63165157.html>Morishita Ryudai</a>,19.0,L,13,2,2,0,0,0,258,61.1,65,1,40,15,0,5,1,18,9,1.32,3.35,3.83,1.30,246,87,97,-2.03,0.4%,15.5%,5.8%,9.7%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/21425153.html>Nakagawa Hayate</a>,25.0,R,2,2,0,0,0,0,24,6.0,7,1,2,0,0,0,0,2,2,3.00,4.96,3.97,1.17,108,129,101,-1.96,4.2%,8.3%,0.0%,8.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/21225136.html>Nakagawa Koh</a>,24.0,R,8,0,0,0,0,0,31,8.0,3,0,12,4,0,0,0,3,3,3.38,1.96,2.22,0.88,96,51,56,1.42,0.0%,38.7%,12.9%,25.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/01305138.html>Ohnuki Shinichi</a>,30.0,R,7,2,1,0,0,0,127,32.0,29,1,20,10,0,1,1,12,12,3.38,3.65,4.01,1.22,96,95,102,-0.27,0.8%,15.7%,7.9%,7.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/11015151.html>Sakamoto Yuya</a>,26.0,L,9,0,0,0,0,0,51,12.2,9,0,12,2,0,0,0,2,2,1.42,2.04,2.84,0.87,229,53,72,-0.62,0.0%,23.5%,3.9%,19.6%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/71975134.html>Sasaki Chihaya</a>,30.0,R,18,0,0,0,0,0,81,20.1,13,0,23,7,0,2,0,5,2,0.89,2.53,2.82,0.98,365,66,72,-1.64,0.0%,28.4%,8.6%,19.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/41945159.html>Shimizu Manato</a>,18.0,R,1,0,0,0,0,0,7,1.0,1,0,3,2,0,1,0,1,1,9.00,6.46,3.37,3.00,36,168,86,2.54,0.0%,42.9%,28.6%,14.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/81985159.html>Shoji Haruto</a>,23.0,L,21,8,5,0,0,0,439,107.1,96,5,73,36,0,9,5,29,28,2.35,3.96,3.96,1.23,138,103,101,-1.61,1.1%,16.6%,8.2%,8.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/01905139.html>Taira Kentaro</a>,28.0,R,6,1,1,0,0,0,98,26.1,19,0,24,2,0,0,0,4,4,1.37,1.87,2.56,0.80,237,49,65,-0.50,0.0%,24.5%,2.0%,22.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/21225153.html>Takada Takuto</a>,21.0,L,13,0,4,0,0,0,103,20.0,29,2,10,15,0,0,0,21,19,8.55,6.01,5.29,2.20,38,156,134,2.54,1.9%,9.7%,14.6%,-4.9%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/03505157.html>Watanabe Aki</a>,24.0,R,48,7,0,9,0,0,188,48.0,23,1,51,20,1,3,0,12,12,2.25,3.04,3.15,0.90,144,79,80,-0.79,0.5%,27.1%,10.6%,16.5%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/13715157.html>Wendelken J.B.</a>,31.0,R,3,0,0,0,0,0,15,3.0,6,0,5,0,0,0,0,5,0,0.00,0.13,1.47,2.00,999,3,37,-0.13,0.0%,33.3%,0.0%,33.3%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/03505159.html>Wick Rowan</a>,31.0,R,13,1,0,1,0,0,58,13.1,9,0,14,6,0,3,2,9,7,4.73,3.38,3.42,1.13,69,88,87,1.35,0.0%,24.1%,10.3%,13.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/41845130.html>Yamasaki Yasuaki</a>,31.0,R,11,2,1,2,0,0,45,11.0,9,0,10,0,0,2,0,3,0,0.00,2.19,2.58,0.82,999,57,65,-2.19,0.0%,22.2%,0.0%,22.2%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/33535157.html>Yoshino Teruki</a>,25.0,R,16,4,5,0,0,0,279,66.1,61,6,53,23,0,2,0,27,24,3.26,4.17,3.72,1.27,100,108,94,-0.91,2.2%,19.0%,8.2%,10.8%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,<a href=https://npb.jp/bis/eng/players/51155155.html>Akahoshi Yuji</a>,24.0,R,8,2,2,0,0,0,106,28.1,18,0,19,4,0,2,0,5,4,1.27,2.75,3.38,0.78,252,73,86,-1.48,0.0%,17.9%,3.8%,14.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/41445136.html>Baba Kosuke</a>,29.0,R,46,4,1,2,0,0,183,44.2,41,2,47,13,0,2,4,14,13,2.62,2.95,2.94,1.21,122,78,75,-0.33,1.1%,25.7%,7.1%,18.6%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/31835157.html>Funabasama Hiromasa</a>,27.0,R,2,0,0,0,0,0,7,2.0,1,0,3,0,0,0,0,0,0,0.00,0.46,0.51,0.50,999,12,13,-0.46,0.0%,42.9%,0.0%,42.9%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/03705157.html>Griffin Foster</a>,28.0,L,4,1,2,0,0,0,85,21.1,19,2,23,4,0,0,0,7,6,2.53,3.08,2.56,1.08,126,81,65,-0.55,2.4%,27.1%,4.7%,22.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/31635134.html>Hatake Seishu</a>,30.0,R,37,2,1,2,0,0,164,44.2,23,1,35,11,0,2,2,7,7,1.41,3.06,3.34,0.76,227,81,85,-1.65,0.6%,21.3%,6.7%,14.6%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/21825153.html>Heinai Ryuta</a>,25.0,R,14,1,1,2,0,0,55,14.0,11,2,12,2,0,1,1,5,5,3.21,4.25,2.98,0.93,100,112,76,-1.04,3.6%,21.8%,3.6%,18.2%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/21625151.html>Hotta Kenshin</a>,23.0,R,12,3,2,0,1,0,217,52.0,53,6,44,10,0,3,2,25,22,3.81,4.02,3.23,1.21,84,106,82,-0.21,2.8%,20.3%,4.6%,15.7%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/31335135.html>Imamura Nobutaka</a>,30.0,L,42,2,2,0,0,0,176,44.1,32,1,41,9,0,6,3,11,10,2.03,2.92,2.98,0.92,158,77,76,-0.89,0.6%,23.3%,5.1%,18.2%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/51355151.html>Inoue Haruto</a>,23.0,L,3,0,0,0,0,0,50,13.0,13,0,14,1,0,1,0,5,5,3.46,1.77,2.20,1.08,92,47,56,1.69,0.0%,28.0%,2.0%,26.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/91395153.html>Itoh Yusuke</a>,27.0,R,40,4,0,14,0,0,169,42.0,28,0,34,19,0,3,3,6,6,1.29,3.41,3.91,1.12,248,90,99,-2.12,0.0%,20.1%,11.2%,8.9%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/01105138.html>Izumi Keisuke</a>,27.0,R,11,1,0,1,0,0,39,11.0,5,0,10,3,0,0,0,0,0,0.00,2.46,3.01,0.73,999,65,76,-2.46,0.0%,25.6%,7.7%,17.9%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/73975155.html>Keller Kyle</a>,31.0,R,5,0,0,0,0,0,18,5.0,3,0,5,2,0,0,1,0,0,0.00,2.66,3.13,1.00,999,70,79,-2.66,0.0%,27.8%,11.1%,16.7%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/31735155.html>Kikuchi Taiki</a>,25.0,R,36,6,2,1,0,0,149,36.0,31,2,45,8,0,1,2,7,4,1.00,2.43,2.32,1.08,320,64,59,-1.43,1.3%,30.2%,5.4%,24.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,Kinoshita Motoya,22.0,R,2,0,1,0,0,0,22,4.0,7,0,5,3,0,1,1,4,2,4.50,3.96,3.89,2.50,71,104,99,0.54,0.0%,22.7%,13.6%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/81785132.html>Kondoh Taisuke</a>,33.0,R,44,3,2,3,0,0,174,40.2,37,0,51,16,0,0,0,17,16,3.54,2.13,2.79,1.30,90,56,71,1.41,0.0%,29.3%,9.2%,20.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/91795155.html>Kyomoto Makoto</a>,20.0,R,30,2,1,2,0,0,147,30.2,38,3,29,15,0,2,3,18,17,4.99,4.50,3.85,1.73,64,119,98,0.49,2.0%,19.7%,10.2%,9.5%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/03005157.html>Luciano Elvis</a>,24.0,R,10,1,0,0,0,0,36,10.0,5,1,5,4,0,0,1,2,2,1.80,4.96,4.52,0.90,178,131,115,-3.16,2.8%,13.9%,11.1%,2.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/33135159.html>Mataki Teppei</a>,25.0,L,20,5,3,0,0,0,350,87.0,76,4,70,22,0,2,1,24,20,2.07,3.28,3.43,1.13,155,86,87,-1.21,1.1%,20.0%,6.3%,13.7%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/01805157.html>Matsui Hayate</a>,23.0,R,15,2,5,0,0,0,294,67.0,62,5,50,30,0,4,1,36,29,3.90,4.46,4.12,1.37,82,118,105,-0.56,1.7%,17.0%,10.2%,6.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/93095157.html>Mendez Yohander</a>,29.0,L,22,6,5,0,0,0,461,105.0,104,3,91,38,0,13,3,48,46,3.94,3.56,3.65,1.35,81,94,93,0.38,0.7%,19.7%,8.2%,11.5%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/43345159.html>Morita Shunya</a>,27.0,L,3,1,1,0,0,0,39,10.0,9,0,7,2,0,0,1,2,2,1.80,2.66,3.52,1.10,178,70,89,-0.86,0.0%,17.9%,5.1%,12.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/81285132.html>Nakagawa Kota</a>,30.0,L,20,1,1,0,0,0,83,20.0,19,1,15,2,0,0,0,7,3,1.35,2.91,3.23,1.05,237,77,82,-1.56,1.2%,18.1%,2.4%,15.7%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/11215138.html>Naoe Daisuke</a>,24.0,R,17,2,3,0,0,0,188,45.0,51,2,23,9,0,2,2,17,16,3.20,3.75,4.06,1.33,100,99,103,-0.55,1.1%,12.2%,4.8%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/31635159.html>Nishidate Yuhi</a>,22.0,R,10,1,0,0,0,0,148,38.2,23,2,54,11,0,0,2,7,6,1.40,2.19,1.89,0.88,229,58,48,-0.79,1.4%,36.5%,7.4%,29.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/71375134.html>Ohe Ryusei</a>,25.0,L,32,0,1,0,0,0,123,28.2,23,1,36,13,0,4,0,10,10,3.14,3.18,2.93,1.26,102,84,74,-0.04,0.8%,29.3%,10.6%,18.7%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/81085155.html>Ota Taisei</a>,25.0,R,5,0,0,1,0,0,16,5.0,1,0,8,0,0,0,0,0,0,0.00,0.26,-0.20,0.20,999,7,-5,-0.26,0.0%,50.0%,0.0%,50.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/53455157.html>Ramos Eury</a>,26.0,R,2,0,0,0,0,0,8,2.0,1,0,4,0,0,0,0,0,0,0.00,-0.54,-0.20,0.50,999,-14,-5,0.54,0.0%,50.0%,0.0%,50.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/51755136.html>Suzuki Kohei</a>,30.0,R,30,0,0,0,0,0,129,30.1,21,1,26,18,0,2,3,9,8,2.37,4.15,4.18,1.29,135,109,106,-1.78,0.8%,20.2%,14.0%,6.2%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/01005136.html>Takahashi Rei</a>,28.0,R,14,2,3,0,0,0,284,64.2,78,4,38,17,0,4,1,29,21,2.92,4.06,4.06,1.47,110,107,103,-1.14,1.4%,13.4%,6.0%,7.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/61965138.html>Takahashi Yuki</a>,27.0,L,2,1,0,0,0,0,31,6.0,9,0,4,4,0,2,0,4,4,6.00,5.13,4.80,2.17,53,135,122,0.87,0.0%,12.9%,12.9%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/91095134.html>Takanashi Yuhei</a>,31.0,L,6,0,0,0,0,0,27,6.0,6,1,6,2,0,1,0,2,1,1.50,5.13,3.32,1.33,213,135,84,-3.63,3.7%,22.2%,7.4%,14.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/91095157.html>Tanaka Chiharu</a>,23.0,R,29,5,3,0,0,0,231,52.1,51,1,55,32,1,2,3,23,21,3.61,3.56,3.80,1.59,89,94,96,0.05,0.4%,23.8%,13.9%,9.9%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/91495153.html>Toda Natsuki</a>,23.0,R,29,2,2,2,0,0,132,31.0,25,0,28,16,0,0,1,12,7,2.03,3.20,3.89,1.32,158,84,99,-1.17,0.0%,21.2%,12.1%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/11415155.html>Tomida Ryu</a>,24.0,L,4,1,0,0,0,0,16,4.0,3,0,7,1,0,1,0,2,1,2.25,1.46,1.05,1.00,142,39,27,0.79,0.0%,43.8%,6.2%,37.6%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,Yamada Ryusei,23.0,R,29,2,2,0,0,0,105,27.1,14,1,32,11,0,1,3,6,5,1.65,2.91,2.80,0.91,194,77,71,-1.26,1.0%,30.5%,10.5%,20.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/81885138.html>Yokogawa Kai</a>,23.0,L,18,6,6,0,0,0,353,84.0,94,8,62,23,0,3,2,37,35,3.75,4.15,3.70,1.39,85,109,94,-0.40,2.3%,17.6%,6.5%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,<a href=https://npb.jp/bis/eng/players/23525159.html>Espada Jose</a>,27.0,R,19,0,0,3,0,0,74,19.0,9,0,27,9,0,0,3,2,2,0.95,2.04,2.37,0.95,354,51,60,-1.09,0.0%,36.5%,12.2%,24.3%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/31635132.html>Hara Juri</a>,30.0,R,26,4,4,0,0,0,228,55.0,58,3,15,13,0,2,3,26,21,3.44,4.44,4.71,1.29,98,111,120,-1.00,1.3%,6.6%,5.7%,0.9%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/11615134.html>Hasegawa Hiroki</a>,25.0,L,26,3,1,0,0,0,117,28.1,21,0,30,8,0,1,0,8,7,2.22,2.30,2.92,1.02,152,58,74,-0.08,0.0%,25.6%,6.8%,18.8%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/11815134.html>Hoshi Tomoya</a>,30.0,R,14,0,2,4,0,0,54,13.0,11,0,11,5,1,0,1,3,3,2.08,2.92,3.69,1.23,162,73,94,-0.84,0.0%,20.4%,9.3%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/41145159.html>Ishihara Yuki</a>,22.0,L,25,0,2,0,0,0,117,22.1,33,0,19,16,0,1,4,21,15,6.04,4.04,4.54,2.19,56,101,115,2.00,0.0%,16.2%,13.7%,2.5%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/11315115.html>Ishikawa Masanori</a>,44.0,L,10,2,0,0,0,0,172,40.2,40,3,27,12,0,0,2,12,11,2.43,3.98,3.93,1.28,138,100,100,-1.55,1.7%,15.7%,7.0%,8.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/21125137.html>Ishiyama Taichi</a>,35.0,R,6,2,0,1,0,0,32,7.0,7,0,6,3,0,0,0,4,1,1.29,3.03,3.86,1.43,261,76,98,-1.74,0.0%,18.8%,9.4%,9.4%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/51555136.html>Kanakubo Yuto</a>,24.0,R,16,1,1,1,0,0,187,45.2,37,3,34,15,0,1,1,22,20,3.94,3.88,3.78,1.14,85,97,96,0.06,1.6%,18.2%,8.0%,10.2%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/71775153.html>Katekaru Kouta</a>,21.0,R,18,1,1,0,0,0,99,20.2,21,2,12,14,0,2,5,17,12,5.23,5.88,5.00,1.69,64,147,127,-0.65,2.0%,12.1%,14.1%,-2.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/91595135.html>Kayama Shinya</a>,34.0,L,29,1,1,0,0,0,111,25.2,23,2,21,8,0,0,0,10,8,2.81,3.77,3.63,1.21,120,95,92,-0.96,1.8%,18.9%,7.2%,11.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/21725139.html>Konno Ryuta</a>,29.0,R,32,1,2,8,0,0,146,34.0,32,1,30,11,2,2,0,13,10,2.65,3.22,3.50,1.26,127,81,89,-0.57,0.7%,20.5%,7.5%,13.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/01705132.html>Kozawa Reiji</a>,26.0,R,2,0,0,0,0,0,12,3.0,4,0,2,0,0,0,0,1,1,3.00,2.13,3.13,1.33,112,53,79,0.87,0.0%,16.7%,0.0%,16.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/43145153.html>Maruyama Shota</a>,25.0,R,24,1,2,7,0,0,100,25.0,16,1,24,11,1,0,1,7,5,1.80,3.38,3.50,1.08,187,85,89,-1.58,1.0%,24.0%,11.0%,13.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/03105159.html>Matsumoto Kengo</a>,25.0,R,14,4,2,0,0,0,214,50.2,55,2,39,11,0,2,2,17,14,2.49,3.20,3.49,1.30,135,80,89,-0.71,0.9%,18.2%,5.1%,13.1%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/51855151.html>Miyagawa Tetsu</a>,28.0,R,38,1,2,1,0,0,171,38.2,36,5,30,17,0,2,3,24,19,4.42,5.06,4.04,1.37,76,127,103,-0.64,2.9%,17.5%,9.9%,7.6%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/11615159.html>Nishidate Kota</a>,23.0,R,5,1,1,0,0,0,41,9.0,8,0,11,7,0,0,2,5,5,5.00,3.35,3.82,1.67,67,84,97,1.65,0.0%,26.8%,17.1%,9.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/61265138.html>Numata Shohei</a>,24.0,R,28,4,5,0,0,0,269,61.1,62,6,36,27,0,1,1,31,29,4.26,4.93,4.47,1.45,79,124,113,-0.67,2.2%,13.4%,10.0%,3.4%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/11515137.html>Ogawa Yasuhiro</a>,34.0,R,8,0,3,0,0,0,159,38.2,41,4,17,6,0,0,1,19,19,4.42,4.39,4.11,1.22,76,110,104,0.03,2.5%,10.7%,3.8%,6.9%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/31735151.html>Okugawa Yasunobu</a>,23.0,R,10,2,3,1,0,0,168,41.2,31,3,19,9,0,4,0,20,15,3.24,4.42,4.20,0.96,104,111,107,-1.18,1.8%,11.3%,5.4%,5.9%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/61365134.html>Onaka Yuya</a>,29.0,R,33,0,2,1,0,0,132,32.1,28,0,24,7,0,2,0,9,6,1.67,2.81,3.51,1.08,201,70,89,-1.14,0.0%,18.2%,5.3%,12.9%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/43245157.html>Rodriguez Elvin</a>,26.0,R,17,1,0,2,0,0,181,43.0,31,0,29,14,0,2,2,13,8,1.67,3.23,3.97,1.05,201,81,101,-1.56,0.0%,16.0%,7.7%,8.3%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/81785136.html>Sakaguchi Kousuke</a>,24.0,R,20,9,3,0,0,0,414,100.2,78,6,57,36,0,4,5,31,25,2.24,4.29,4.29,1.13,150,108,109,-2.05,1.4%,13.8%,8.7%,5.1%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,<a href=https://npb.jp/bis/eng/players/81785157.html>Sakamoto Takumi</a>,19.0,L,11,0,2,0,0,0,100,20.0,23,1,13,19,0,0,2,18,18,8.10,5.66,5.40,2.10,42,142,137,2.44,1.0%,13.0%,19.0%,-6.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
