                  Pitcher   G   W  L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-   Diff    HR%      K%    BB%   K-BB%                Team League
77         Shindoh Takuya   5   0  0   0    0   0    0   24    5.1    5   1    8   3    0   0   0   3   3   5.06   4.49   2.72  1.50   79  102     73   0.57   4.2%   33.3%  12.5%   20.8%       DeNA BayStars     CL
78         Sunada Yoshiki  17   0  0   0    4   0    0   68   17.0   10   2   14   5    1   2   0   6   5   2.65   4.48   3.48  0.88  150  102     94  -1.83   2.9%   20.6%   7.4%   13.2%       DeNA BayStars     CL
79          Taira Kentaro  14   4  6   0    0   1    0  335   83.1   75   3   65  17    2   2   0  24  21   2.27   2.96   3.37  1.10  176   67     91  -0.69   0.9%   19.4%   5.1%   14.3%       DeNA BayStars     CL
80       Yamasaki Yasuaki  40   0  3   6    8   0    0  176   38.0   52   4   31  14    2   0   1  26  24   5.68   4.21   3.83  1.74   70   95    103   1.47   2.3%   17.6%   8.0%    9.6%       DeNA BayStars     CL
81       De La Rosa Rubby  35   2  0  17    5   0    0  132   31.2   23   3   28  16    0   3   1   9   9   2.56   4.63   3.89  1.23  154  106    105  -2.07   2.3%   21.2%  12.1%    9.1%      Yomiuri Giants     CL
82         Diplan Nattino   2   0  0   0    0   0    0   16    2.1    7   3    2   2    0   1   1   5   5  19.29  22.22   4.80  3.86   20  509    129  -2.93  18.8%   12.5%  12.5%    0.0%      Yomiuri Giants     CL
83       Fujioka Takahiro  12   0  0   0    0   0    0   39    8.2    7   1    6   6    1   1   1   3   3   3.12   5.90   4.80  1.50  126  135    129  -2.78   2.6%   15.4%  15.4%    0.0%      Yomiuri Giants     CL
84          Furukawa Yuri   5   0  0   0    0   0    0   26    4.2   12   1    4   1    1   0   1   6   6  11.57   5.08   3.65  2.79   34  116     98   6.49   3.8%   15.4%   3.8%   11.6%      Yomiuri Giants     CL
85          Hatake Seishu  12   4  4   0    0   1    1  265   65.2   47   5   49  23    0   4   1  22  21   2.88   4.09   3.82  1.07  137   94    103  -1.21   1.9%   18.5%   8.7%    9.8%      Yomiuri Giants     CL
86         Horioka Hayato  12   0  0   0    1   0    0   62   12.2   16   2   11   8    0   0   0  13  11   7.82   5.57   4.32  1.89   50  128    116   2.25   3.2%   17.7%  12.9%    4.8%      Yomiuri Giants     CL
87       Imamura Nobutaka  12   5  2   0    0   0    0  260   62.2   53   8   55  21    0   2   0  23  22   3.16   4.37   3.49  1.18  125  100     94  -1.21   3.1%   21.2%   8.1%   13.1%      Yomiuri Giants     CL
88           Kagiya Yohei  46   3  1   0   13   0    0  148   37.1   25   2   40  13    1   1   0  12  12   2.89   3.04   2.98  1.02  137   70     80  -0.15   1.4%   27.0%   8.8%   18.2%      Yomiuri Giants     CL
89        Kuwahara Takuya   5   1  0   0    0   0    0   32    7.0    6   0    6   5    0   1   0   5   5   6.43   4.22   4.49  1.57   61   97    121   2.21   0.0%   18.8%  15.6%    3.2%      Yomiuri Giants     CL
90           Masuda Daiki   1   0  0   0    0   0    0    3    0.2    0   0    0   1    0   0   0   0   0   0.00   7.86   8.13  1.50  999  180    219  -7.86   0.0%    0.0%  33.3%  -33.3%      Yomiuri Giants     CL
