Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,AIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
Matsumoto Kengo,23,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,,100.0%,0.0%,0.00,0.0,0.0%,,0.0%,66.7%,66.7%,100.0%,26,1,R,Yakult Swallows,CL
Matsumoto Naoki,18,36,34,0,6,1,0,0,7,0,0,0,0,0,7,2,0,0,3,0.176,0.222,0.206,0.428,29,0.030,0.222,19.4%,5.6%,0.29,-0.0,40.7%,29.0%,91.3%,46.7%,8.8%,25.0%,31,2,R,Yakult Swallows,CL
Miyamoto Takeshi,80,106,89,4,23,4,0,0,27,9,1,0,2,0,20,14,1,1,2,0.258,0.365,0.303,0.668,99,0.045,0.333,18.9%,13.2%,0.70,0.1,47.1%,22.4%,82.9%,42.8%,9.7%,32.1%,30,7,L,Yakult Swallows,CL
Mogi Eigoro,53,172,150,12,36,2,0,5,53,16,0,3,1,0,48,19,1,2,2,0.240,0.333,0.353,0.686,102,0.113,0.320,27.9%,11.0%,0.40,-1.1,50.0%,23.9%,81.2%,45.6%,12.4%,41.9%,31,5,L,Yakult Swallows,CL
Murakami Munetaka,56,224,187,34,51,7,0,22,124,47,4,2,0,3,64,32,3,2,1,0.273,0.379,0.663,1.042,199,0.390,0.279,28.6%,14.3%,0.50,-0.1,64.8%,24.6%,73.4%,47.6%,17.6%,52.7%,25,5,L,Yakult Swallows,CL
Nagaoka Hideki,67,261,247,20,60,14,2,0,78,13,1,0,3,2,21,8,1,1,6,0.243,0.267,0.316,0.583,72,0.073,0.263,8.0%,3.1%,0.38,0.1,48.7%,24.9%,93.1%,48.6%,4.5%,11.1%,23,6,L,Yakult Swallows,CL
Nakamura Yuhei,74,221,187,13,43,6,0,1,52,11,1,0,8,1,30,22,2,3,6,0.230,0.319,0.278,0.597,78,0.048,0.268,13.6%,10.0%,0.73,0.1,56.4%,17.6%,94.2%,38.5%,4.6%,24.0%,35,2,R,Yakult Swallows,CL
Nakamura Yuto,4,5,4,1,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0.250,0.400,0.250,0.650,95,0.000,1.000,60.0%,20.0%,0.33,-0.0,0.0%,23.1%,80.0%,30.8%,7.7%,80.0%,22,1,L,Yakult Swallows,CL
Namiki Hidetaka,54,128,114,26,29,6,1,3,46,10,6,2,6,0,15,6,0,2,0,0.254,0.303,0.404,0.707,107,0.150,0.271,11.7%,4.7%,0.40,0.3,51.0%,21.5%,91.6%,43.3%,7.0%,18.8%,26,8,R,Yakult Swallows,CL
Nishikawa Haruki,49,134,115,10,20,3,1,0,25,6,1,0,2,0,32,16,0,1,1,0.174,0.280,0.217,0.497,50,0.043,0.241,23.9%,11.9%,0.50,0.1,48.2%,16.3%,88.5%,36.0%,6.2%,35.8%,33,8,L,Yakult Swallows,CL
Nishimura Ruito,4,11,11,2,1,0,0,0,1,1,0,0,0,0,4,0,0,0,1,0.091,0.091,0.091,0.182,-41,0.000,0.143,36.4%,0.0%,0.00,-0.0,14.3%,46.7%,70.0%,50.0%,16.7%,36.4%,20,9,L,Yakult Swallows,CL
Ogawa Yasuhiro,13,28,22,0,1,1,0,0,2,1,0,0,5,1,10,0,0,0,0,0.045,0.043,0.091,0.134,-56,0.046,0.077,35.7%,0.0%,0.00,0.0,38.9%,27.5%,84.0%,36.7%,10.2%,35.7%,35,1,R,Yakult Swallows,CL
Ohta Kengo,44,131,118,11,27,6,0,0,33,6,0,0,1,2,28,6,0,4,0,0.229,0.285,0.280,0.565,68,0.051,0.293,21.4%,4.6%,0.21,-0.1,58.2%,22.5%,84.4%,46.8%,10.0%,26.0%,28,9,L,Yakult Swallows,CL
Okugawa Yasunobu,18,32,24,2,5,1,0,0,6,0,0,0,8,0,13,0,0,0,0,0.208,0.208,0.250,0.458,37,0.042,0.455,40.6%,0.0%,0.00,-0.0,33.3%,30.4%,76.6%,48.4%,13.5%,40.6%,24,1,R,Yakult Swallows,CL
Osuna Jose,141,574,528,38,135,22,0,14,199,67,4,1,0,5,76,40,6,1,13,0.256,0.307,0.377,0.684,101,0.121,0.273,13.2%,7.0%,0.53,0.1,57.0%,26.5%,90.8%,44.0%,7.6%,22.6%,32,3,R,Yakult Swallows,CL
Santana Domingo,60,240,212,25,58,11,0,3,78,15,1,1,0,0,65,25,0,3,4,0.274,0.358,0.368,0.726,114,0.094,0.382,27.1%,10.4%,0.38,-0.3,55.9%,22.9%,75.8%,48.6%,15.9%,38.8%,32,7,R,Yakult Swallows,CL
Sawai Ren,27,77,75,3,14,4,0,1,21,3,0,0,0,0,27,1,0,1,1,0.187,0.208,0.280,0.488,45,0.093,0.277,35.1%,1.3%,0.04,-0.0,60.9%,37.5%,74.6%,58.0%,20.3%,37.7%,25,9,L,Yakult Swallows,CL
Shimokawa Shunsuke,9,8,6,1,1,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0.167,0.167,0.333,0.500,46,0.166,0.250,25.0%,0.0%,0.00,0.0,16.7%,33.3%,100.0%,34.5%,10.3%,25.0%,25,1,R,Yakult Swallows,CL
Suzuki Kyo,2,6,6,0,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0.333,0.333,0.333,0.666,97,0.000,0.400,16.7%,0.0%,0.00,-0.3,60.0%,50.0%,75.0%,73.9%,17.4%,16.7%,19,2,R,Yakult Swallows,CL
Takahashi Keiji,8,11,8,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,0.000,54.5%,0.0%,0.00,0.0,0.0%,25.0%,60.0%,35.3%,14.7%,54.5%,28,1,L,Yakult Swallows,CL
Takanashi Hirotoshi,17,27,24,1,1,0,0,0,1,0,0,0,3,0,15,0,0,0,0,0.042,0.042,0.042,0.084,-69,0.000,0.111,55.6%,0.0%,0.00,-0.0,8.3%,37.2%,70.8%,38.1%,12.4%,55.6%,34,1,R,Yakult Swallows,CL
Takeoka Ryusei,47,119,104,6,19,5,0,1,27,5,1,0,7,1,23,7,0,0,0,0.183,0.232,0.260,0.492,47,0.077,0.222,19.3%,5.9%,0.30,0.1,44.8%,28.6%,84.2%,47.2%,12.0%,26.1%,24,UTL,L,Yakult Swallows,CL
Tanaka Haruto,6,13,13,3,4,2,0,0,6,2,0,0,0,0,3,0,0,0,0,0.308,0.308,0.462,0.770,124,0.154,0.400,23.1%,0.0%,0.00,-0.0,50.0%,35.7%,94.4%,52.8%,5.7%,23.1%,19,6,L,Yakult Swallows,CL
Uchiyama Souma,116,470,423,50,111,26,1,8,163,48,8,3,1,4,66,41,0,1,10,0.262,0.326,0.385,0.711,109,0.123,0.292,14.0%,8.7%,0.62,0.1,61.1%,19.1%,94.7%,40.6%,5.1%,24.5%,23,7,R,Yakult Swallows,CL
Yamada Tetsuto,108,377,338,25,78,17,0,12,131,37,3,1,0,4,63,33,4,2,8,0.231,0.300,0.388,0.688,101,0.157,0.247,16.7%,8.8%,0.52,0.0,64.1%,23.6%,84.9%,46.9%,11.2%,28.6%,32,4,R,Yakult Swallows,CL
Yamano Taichi,14,27,21,1,3,1,0,0,4,1,0,0,5,0,8,1,0,0,0,0.143,0.182,0.190,0.372,13,0.047,0.231,29.6%,3.7%,0.12,-0.0,22.2%,36.8%,81.2%,44.2%,7.5%,33.3%,26,1,L,Yakult Swallows,CL
Yamanobe Kakeru,17,24,19,2,4,1,0,0,5,2,2,0,2,0,2,2,1,1,0,0.211,0.318,0.263,0.581,74,0.052,0.235,8.3%,8.3%,1.00,0.3,36.8%,36.1%,72.4%,55.3%,14.5%,16.7%,31,5,R,Yakult Swallows,CL
Yoshimura Kojiro,22,46,36,1,1,1,0,0,2,0,0,0,8,0,15,2,0,0,2,0.028,0.079,0.056,0.135,-54,0.028,0.048,32.6%,4.3%,0.13,-0.0,20.7%,27.1%,80.4%,42.9%,10.9%,37.0%,27,1,R,Yakult Swallows,CL
Bright Kenta,83,157,139,17,36,10,2,3,59,20,0,2,2,0,40,13,0,3,3,0.259,0.335,0.424,0.759,140,0.165,0.344,25.5%,8.3%,0.33,-0.7,54.5%,26.6%,79.0%,45.5%,12.7%,35.7%,26,9,R,Chunichi Dragons,CL
Calixte Orlando,61,192,176,13,40,9,1,1,54,14,1,1,1,3,37,12,0,0,4,0.227,0.272,0.307,0.579,82,0.080,0.277,19.3%,6.2%,0.32,-0.2,47.9%,27.7%,83.1%,48.4%,12.6%,26.0%,33,3,R,Chunichi Dragons,CL
Chavis Michael,38,120,105,7,18,4,0,5,37,8,0,0,0,1,32,11,2,3,2,0.171,0.267,0.352,0.619,94,0.181,0.188,26.7%,9.2%,0.34,-0.0,60.8%,34.0%,79.4%,54.0%,17.7%,40.0%,29,5,R,Chunichi Dragons,CL
Fukunaga Hiroki,20,57,52,4,9,1,0,1,13,3,0,1,0,0,16,4,0,1,1,0.173,0.246,0.250,0.496,56,0.077,0.229,28.1%,7.0%,0.25,-0.4,45.7%,30.1%,93.7%,41.2%,10.0%,36.8%,28,5,R,Chunichi Dragons,CL
Gotoh Shunta,22,18,17,2,4,0,0,0,4,0,0,1,1,0,7,0,0,0,0,0.235,0.235,0.235,0.470,47,0.000,0.400,38.9%,0.0%,0.00,-0.3,30.0%,35.4%,80.8%,51.8%,19.3%,38.9%,32,7,L,Chunichi Dragons,CL
Hama Shonosuke,5,4,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,57,0.000,0.333,25.0%,0.0%,0.00,-0.0,66.7%,75.0%,100.0%,72.7%,36.4%,25.0%,25,9,L,Chunichi Dragons,CL
Higuchi Seishu,33,25,22,2,2,0,0,0,2,0,5,3,2,0,8,1,0,0,0,0.091,0.130,0.091,0.221,-34,0.000,0.143,32.0%,4.0%,0.12,-0.1,57.1%,27.0%,72.7%,47.3%,17.6%,36.0%,26,4,L,Chunichi Dragons,CL
Hosokawa Seiya,108,428,360,38,92,22,1,20,176,58,2,3,0,3,109,61,6,4,11,0.256,0.367,0.489,0.856,171,0.233,0.308,25.5%,14.3%,0.56,-0.9,62.4%,24.3%,79.1%,42.4%,13.6%,44.4%,26,7,R,Chunichi Dragons,CL
Ishibashi Kota,10,12,8,0,1,0,0,0,1,1,0,0,1,0,3,3,0,0,0,0.125,0.364,0.125,0.489,59,0.000,0.200,25.0%,25.0%,1.00,-0.0,40.0%,10.3%,82.4%,35.7%,7.1%,50.0%,24,2,R,Chunichi Dragons,CL
Ishii Yuta,85,270,235,17,52,9,0,3,70,21,0,1,16,2,63,14,1,3,6,0.221,0.272,0.298,0.570,79,0.077,0.287,23.3%,5.2%,0.22,-0.4,53.0%,30.3%,88.2%,48.4%,10.5%,29.6%,24,2,R,Chunichi Dragons,CL
Ishikawa Takaya,22,75,72,6,10,2,0,1,15,5,0,1,0,0,27,2,0,1,1,0.139,0.173,0.208,0.381,17,0.069,0.205,36.0%,2.7%,0.07,-0.4,59.1%,24.4%,84.8%,43.5%,11.2%,40.0%,24,5,R,Chunichi Dragons,CL
Itayama Yutaro,84,193,179,17,37,5,2,2,52,10,0,0,2,1,50,10,1,1,4,0.207,0.251,0.291,0.542,70,0.084,0.273,25.9%,5.2%,0.20,-0.1,54.7%,30.0%,78.4%,49.7%,15.7%,32.1%,31,4,L,Chunichi Dragons,CL
Kanemaru Yumeto,15,27,23,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,63.0%,0.0%,0.00,0.0,0.0%,32.1%,57.9%,30.1%,15.1%,63.0%,22,1,L,Chunichi Dragons,CL
Katoh Takuma,47,75,64,4,15,1,0,1,19,6,0,0,9,0,17,2,1,0,2,0.234,0.258,0.297,0.555,74,0.063,0.304,22.7%,2.7%,0.12,-0.0,40.7%,41.3%,83.2%,57.6%,15.2%,26.7%,33,2,R,Chunichi Dragons,CL
Kawagoe Seiji,28,43,37,2,7,1,0,0,8,0,0,0,0,0,12,4,0,2,0,0.189,0.302,0.216,0.518,65,0.027,0.280,27.9%,9.3%,0.33,-0.0,41.7%,23.8%,80.8%,43.1%,15.0%,37.2%,32,DH,L,Chunichi Dragons,CL
Kinoshita Takuya,38,122,112,7,27,3,0,2,36,8,0,0,2,0,20,8,2,0,3,0.241,0.292,0.321,0.613,93,0.080,0.278,16.4%,6.6%,0.40,-0.1,58.1%,34.9%,90.3%,47.3%,7.3%,24.6%,33,2,R,Chunichi Dragons,CL
Kusaka Sho,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,0.0%,100.0%,,33.3%,33.3%,100.0%,23,1,R,Chunichi Dragons,CL
Matsuba Takahiro,23,44,33,1,5,0,0,0,5,0,0,0,8,0,8,2,0,1,0,0.152,0.222,0.152,0.374,17,0.000,0.200,18.2%,4.5%,0.25,-0.0,15.6%,23.0%,89.8%,39.6%,6.9%,22.7%,34,1,L,Chunichi Dragons,CL
Matsukihira Yuta,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,0.0%,0.0%,,0.0,0.0%,,100.0%,50.0%,0.0%,0.0%,22,1,R,Chunichi Dragons,CL
Mejia Humberto,25,7,7,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0.286,0.286,0.286,0.572,81,0.000,0.500,42.9%,0.0%,0.00,-0.0,0.0%,50.0%,71.4%,52.6%,26.3%,42.9%,28,1,R,Chunichi Dragons,CL
Miura Mizuki,7,9,8,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0.125,0.222,0.125,0.347,9,0.000,0.167,22.2%,11.1%,0.50,-0.0,16.7%,22.2%,100.0%,26.7%,0.0%,33.3%,25,1,R,Chunichi Dragons,CL
Miya Taisei,3,8,7,1,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0.143,0.125,0.143,0.268,-19,0.000,0.200,37.5%,0.0%,0.00,-0.0,60.0%,57.1%,100.0%,53.6%,7.1%,37.5%,22,2,L,Chunichi Dragons,CL
Mori Shunta,6,22,20,1,4,0,1,0,6,0,0,0,0,0,8,1,0,1,0,0.200,0.273,0.300,0.573,80,0.100,0.333,36.4%,4.5%,0.12,-0.0,58.3%,47.5%,58.3%,54.2%,25.0%,40.9%,18,5,L,Chunichi Dragons,CL
Muller Kyle,18,33,28,0,2,1,0,0,3,0,0,0,3,0,13,1,0,1,1,0.071,0.133,0.107,0.240,-28,0.036,0.133,39.4%,3.0%,0.08,-0.0,38.9%,54.4%,73.0%,58.1%,17.9%,42.4%,27,1,R,Chunichi Dragons,CL
Muramatsu Kaito,54,186,158,9,28,3,1,2,39,10,2,2,9,3,39,13,0,3,1,0.177,0.249,0.247,0.496,56,0.070,0.217,21.0%,7.0%,0.33,-0.4,45.0%,33.4%,89.9%,48.3%,12.4%,29.0%,24,6,L,Chunichi Dragons,CL
Nakachi Reia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,0.0%,100.0%,,33.3%,0.0%,100.0%,24,1,R,Chunichi Dragons,CL
Nakata Sho,26,69,63,4,10,3,0,2,19,4,0,0,0,0,13,6,1,0,1,0.159,0.232,0.302,0.534,67,0.143,0.167,18.8%,8.7%,0.46,-0.0,66.0%,30.8%,86.5%,54.9%,11.7%,30.4%,36,3,R,Chunichi Dragons,CL
Neo Akira,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,0.0%,0.0%,0.0%,60.0%,60.0%,100.0%,25,1,L,Chunichi Dragons,CL
Oda Gouki,28,5,5,7,0,0,0,0,0,0,5,1,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,40.0%,0.0%,0.00,0.5,66.7%,50.0%,100.0%,64.7%,23.5%,40.0%,24,7,L,Chunichi Dragons,CL
Ohno Yudai,20,41,32,0,1,0,0,0,1,0,0,0,8,0,19,1,0,0,0,0.031,0.061,0.031,0.092,-76,0.000,0.077,46.3%,2.4%,0.05,-0.0,19.0%,20.4%,70.0%,26.8%,7.8%,48.8%,36,1,L,Chunichi Dragons,CL
Ohshima Yohei,59,98,95,8,23,0,0,0,23,4,4,0,0,0,14,3,0,0,0,0.242,0.265,0.242,0.507,60,0.000,0.284,14.3%,3.1%,0.21,0.6,41.8%,27.1%,90.0%,50.7%,7.1%,17.3%,39,7,L,Chunichi Dragons,CL
Okabayashi Yuki,143,637,578,71,168,22,8,5,221,35,17,5,4,3,57,51,10,1,1,0.291,0.348,0.382,0.730,132,0.091,0.314,8.9%,8.0%,0.89,0.9,50.3%,26.7%,95.6%,43.4%,4.0%,17.7%,23,8,L,Chunichi Dragons,CL
Okada Toshiya,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,0.0%,,0.0%,33.3%,33.3%,100.0%,33,1,L,Chunichi Dragons,CL
Rodriguez Christian,20,34,29,3,6,1,0,0,7,1,0,0,1,0,11,4,0,0,1,0.207,0.303,0.241,0.544,73,0.034,0.333,32.4%,11.8%,0.36,-0.0,36.8%,29.0%,80.4%,46.8%,14.2%,44.1%,23,6,R,Chunichi Dragons,CL
Satoh Ryusei,23,77,66,5,13,3,0,0,16,3,1,0,2,1,20,8,1,0,2,0.197,0.280,0.242,0.522,65,0.045,0.277,26.0%,10.4%,0.40,0.1,44.7%,26.6%,73.8%,46.9%,13.5%,36.4%,28,5,R,Chunichi Dragons,CL
Takahashi Hiroto,26,54,45,2,5,0,0,0,5,0,0,0,8,0,17,1,0,0,0,0.111,0.130,0.111,0.241,-27,0.000,0.179,31.5%,1.9%,0.06,-0.0,11.1%,32.9%,81.6%,46.8%,8.6%,33.3%,22,1,R,Chunichi Dragons,CL
Takahashi Shuhei,41,101,94,1,22,5,0,0,27,8,0,0,0,0,21,7,1,0,2,0.234,0.287,0.287,0.574,81,0.053,0.301,20.8%,6.9%,0.33,-0.0,58.9%,30.7%,83.6%,44.3%,9.5%,27.7%,31,5,L,Chunichi Dragons,CL
Tanaka Mikiya,95,365,315,33,85,13,1,1,103,21,12,2,22,2,35,24,1,2,2,0.270,0.324,0.327,0.651,107,0.057,0.299,9.6%,6.6%,0.69,1.2,49.5%,21.9%,91.4%,41.5%,5.0%,16.4%,24,4,R,Chunichi Dragons,CL
Tsuchida Ryuku,20,53,51,1,7,2,0,0,9,2,0,0,0,0,16,2,0,0,2,0.137,0.170,0.176,0.346,6,0.039,0.200,30.2%,3.8%,0.12,-0.0,54.3%,30.6%,71.0%,58.0%,20.0%,34.0%,22,6,L,Chunichi Dragons,CL
Tsuda Keishi,5,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,,100.0%,0.0%,0.00,0.0,0.0%,71.4%,100.0%,66.7%,41.7%,100.0%,22,6,R,Chunichi Dragons,CL
Tsujimoto Rintaro,29,56,53,3,7,3,0,0,10,1,0,0,3,0,10,0,0,0,1,0.132,0.132,0.189,0.321,-3,0.057,0.163,17.9%,0.0%,0.00,-0.0,58.7%,43.4%,86.3%,61.3%,13.3%,17.9%,23,4,R,Chunichi Dragons,CL
Uebayashi Seiji,134,517,486,52,131,21,4,17,211,52,27,5,6,1,102,20,7,4,3,0.270,0.303,0.434,0.737,132,0.164,0.310,19.7%,3.9%,0.20,2.7,62.1%,42.9%,86.4%,59.2%,14.5%,26.9%,29,9,L,Chunichi Dragons,CL
Ukai Kosuke,30,53,53,0,10,0,0,0,10,1,1,0,0,0,13,0,0,0,1,0.189,0.189,0.189,0.378,17,0.000,0.250,24.5%,0.0%,0.00,0.1,52.5%,42.9%,82.5%,61.7%,18.0%,24.5%,26,7,R,Chunichi Dragons,CL
Usami Shingo,20,41,34,2,4,0,0,0,4,1,0,0,1,0,13,6,2,0,1,0.118,0.250,0.118,0.368,17,0.000,0.190,31.7%,14.6%,0.46,-0.0,40.9%,38.1%,80.4%,49.1%,17.6%,46.3%,32,2,L,Chunichi Dragons,CL
Vosler Jason,122,493,452,37,118,33,2,13,194,58,0,1,0,5,101,30,3,6,5,0.261,0.312,0.429,0.741,133,0.168,0.306,20.5%,6.1%,0.30,-0.5,66.5%,32.1%,86.9%,48.3%,11.5%,29.2%,31,3,L,Chunichi Dragons,CL
Wakui Hideaki,12,16,15,1,2,0,0,0,2,0,0,0,0,0,10,1,0,0,0,0.133,0.188,0.133,0.321,-0,0.000,0.400,62.5%,6.2%,0.10,-0.0,75.0%,14.8%,56.2%,29.0%,13.0%,68.8%,39,1,R,Chunichi Dragons,CL
Yamamoto Yasuhiro,112,372,347,23,84,12,2,4,112,23,3,2,14,0,62,10,0,1,5,0.242,0.265,0.323,0.588,85,0.081,0.285,16.7%,2.7%,0.16,-0.3,57.7%,33.2%,87.3%,54.4%,10.2%,20.4%,31,6,R,Chunichi Dragons,CL
Yanagi Yuya,14,26,24,0,2,0,0,0,2,0,0,0,1,0,11,1,0,0,0,0.083,0.120,0.083,0.203,-40,0.000,0.154,42.3%,3.8%,0.09,-0.0,35.7%,31.8%,85.7%,42.4%,15.2%,46.2%,31,1,R,Chunichi Dragons,CL
Yoshida Seiya,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-107,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,40.0%,0.0%,0.0%,23,1,L,Chunichi Dragons,CL
Azuma Kohei,6,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,60.0%,0.0%,0.00,0.0,0.0%,0.0%,75.0%,23.5%,5.9%,60.0%,25,1,R,ORIX Buffaloes,PL
Chano Tokumasa,3,12,12,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,2,0.000,0.167,0.0%,0.0%,,-0.0,33.3%,42.9%,96.0%,75.6%,7.3%,0.0%,25,7,L,ORIX Buffaloes,PL
Diaz Jordan,50,138,127,6,29,4,0,2,39,6,0,0,0,0,31,11,0,0,5,0.228,0.290,0.307,0.597,84,0.079,0.287,22.5%,8.0%,0.35,-0.1,47.9%,34.8%,87.2%,55.7%,15.5%,31.9%,24,DH,R,ORIX Buffaloes,PL
Espinoza Anderson,23,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,0.0%,0.00,0.0,0.0%,0.0%,,0.0%,0.0%,100.0%,27,1,R,ORIX Buffaloes,PL
Fukuda Shuhei,23,64,54,2,9,1,0,0,10,3,1,0,6,0,9,4,0,0,2,0.167,0.224,0.185,0.409,27,0.018,0.200,14.1%,6.2%,0.44,0.1,38.8%,22.4%,94.6%,39.4%,4.3%,20.3%,32,8,L,ORIX Buffaloes,PL
Fukunaga Sho,39,74,66,5,10,2,1,1,17,6,0,0,1,1,23,4,0,2,1,0.152,0.219,0.258,0.477,46,0.106,0.209,31.1%,5.4%,0.17,-0.0,68.9%,26.7%,84.5%,48.8%,10.9%,37.8%,25,2,R,ORIX Buffaloes,PL
Gen Kendai,31,10,7,6,1,0,0,0,1,0,0,0,1,0,3,2,0,0,0,0.143,0.333,0.143,0.476,51,0.000,0.250,30.0%,20.0%,0.67,-0.0,40.0%,9.1%,81.8%,34.2%,5.3%,50.0%,23,7,R,ORIX Buffaloes,PL
Hirooka Taishi,118,453,402,43,102,15,1,7,140,34,9,7,8,4,90,39,0,0,9,0.254,0.317,0.348,0.665,105,0.094,0.307,19.9%,8.6%,0.43,-1.0,55.4%,25.8%,83.3%,46.4%,11.0%,30.0%,28,8,R,ORIX Buffaloes,PL
Hori Shuna,3,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.666,106,0.000,0.500,33.3%,0.0%,0.00,-0.0,50.0%,0.0%,83.3%,40.0%,6.7%,33.3%,19,2,R,ORIX Buffaloes,PL
Ishikawa Ryo,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,0.0%,0.00,0.0,0.0%,100.0%,,66.7%,66.7%,100.0%,29,2,R,ORIX Buffaloes,PL
Kita Ryoto,50,135,124,14,29,5,0,2,40,5,5,0,2,1,38,7,0,1,1,0.234,0.278,0.323,0.601,85,0.089,0.318,28.1%,5.2%,0.18,0.8,52.8%,44.5%,81.0%,56.6%,17.6%,34.8%,22,9,L,ORIX Buffaloes,PL
Kurebayashi Kotaro,116,447,400,36,104,20,1,9,153,43,1,2,4,5,57,35,2,3,15,0.260,0.321,0.383,0.704,116,0.123,0.280,12.8%,7.8%,0.61,-0.7,59.0%,27.4%,88.6%,47.9%,9.3%,22.6%,23,6,R,ORIX Buffaloes,PL
Kuri Allen,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,,0.0%,0.0%,,0.0,0.0%,0.0%,,0.0%,0.0%,0.0%,33,1,R,ORIX Buffaloes,PL
Miyagi Hiroya,23,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.250,0.000,0.250,-18,0.000,0.000,0.0%,25.0%,1.00,-0.0,33.3%,0.0%,100.0%,30.8%,0.0%,25.0%,23,1,L,ORIX Buffaloes,PL
Mori Tomoya,50,191,161,16,33,8,0,1,44,14,0,0,0,1,31,26,1,3,0,0.205,0.325,0.273,0.598,86,0.068,0.246,16.2%,13.6%,0.84,-0.1,61.5%,18.4%,81.9%,45.7%,11.9%,30.4%,29,DH,L,ORIX Buffaloes,PL
Mugitani Yusuke,79,153,134,23,31,4,2,1,42,10,12,6,1,1,39,16,0,1,0,0.231,0.316,0.313,0.629,94,0.082,0.316,25.5%,10.5%,0.41,-0.0,41.7%,28.7%,80.3%,51.6%,15.1%,36.6%,22,8,L,ORIX Buffaloes,PL
Mune Yuma,98,388,349,33,82,12,1,6,114,28,3,4,3,1,48,26,1,9,4,0.235,0.304,0.327,0.631,94,0.092,0.257,12.4%,6.7%,0.54,-1.0,54.5%,22.0%,94.0%,43.5%,5.0%,20.6%,29,5,L,ORIX Buffaloes,PL
Nakagawa Keita,119,463,433,54,123,26,1,12,187,53,10,2,5,4,49,20,1,1,9,0.284,0.314,0.432,0.746,128,0.148,0.295,10.6%,4.3%,0.41,0.8,61.3%,26.2%,93.0%,49.2%,7.4%,17.5%,29,8,R,ORIX Buffaloes,PL
Nishikawa Ryoma,96,412,387,29,120,23,1,5,160,40,4,1,4,1,60,18,2,2,5,0.310,0.343,0.413,0.756,132,0.103,0.356,14.6%,4.4%,0.30,0.1,49.7%,34.0%,88.8%,50.8%,9.0%,20.1%,30,7,L,ORIX Buffaloes,PL
Nishino Masahiro,75,252,230,27,66,9,3,7,102,35,0,0,6,0,17,15,0,1,4,0.287,0.333,0.443,0.776,138,0.156,0.286,6.7%,6.0%,0.88,-0.1,51.4%,26.4%,97.7%,42.2%,4.0%,15.5%,34,DH,L,ORIX Buffaloes,PL
Noguchi Tomoya,33,64,55,10,8,5,1,1,18,3,0,1,0,0,16,6,0,3,0,0.145,0.266,0.327,0.593,82,0.182,0.184,25.0%,9.4%,0.38,-0.4,59.0%,20.6%,83.8%,34.5%,10.7%,35.9%,25,UTL,L,ORIX Buffaloes,PL
