Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Age,Pos,B,Team,League
,Watanabe Riku,24,51,45,4,10,2,0,0,12,5,1,0,0,0,17,5,1,1,0,0.222,0.314,0.267,0.581,82,0.045,0.357,43.1%,33.3%,9.8%,0.29,24,2,L,SoftBank Hawks,PL
,Yamakawa Hotaka,78,301,273,28,55,6,0,14,103,39,0,0,0,3,81,22,3,3,5,0.201,0.266,0.377,0.643,98,0.176,0.227,38.9%,26.9%,7.3%,0.27,33,DH,R,SoftBank Hawks,PL
,Yamamoto Keita,15,44,37,6,9,1,0,1,13,4,0,0,0,0,8,5,0,2,3,0.243,0.364,0.351,0.715,123,0.108,0.286,31.8%,18.2%,11.4%,0.62,25,9,L,SoftBank Hawks,PL
,Yanagimachi Tatsuru,77,302,255,26,74,10,1,3,95,26,2,2,3,0,67,40,0,4,6,0.290,0.395,0.373,0.768,139,0.083,0.384,36.4%,22.2%,13.2%,0.60,28,9,L,SoftBank Hawks,PL
,Yanagita Yuki,11,38,35,5,10,1,0,2,17,6,0,0,0,0,7,3,1,0,1,0.286,0.342,0.486,0.828,154,0.200,0.308,31.6%,18.4%,7.9%,0.43,36,7,L,SoftBank Hawks,PL
,Abe Toshiki,43,129,105,11,23,5,1,3,39,8,1,1,1,1,31,22,0,0,1,0.219,0.352,0.371,0.723,135,0.152,0.278,43.4%,24.0%,17.1%,0.71,35,7,R,Rakuten Eagles,PL
,Asamura Hideto,72,294,246,20,59,10,1,5,86,24,1,0,0,1,63,42,4,5,8,0.240,0.361,0.350,0.711,132,0.110,0.302,37.4%,21.4%,14.3%,0.67,34,3,R,Rakuten Eagles,PL
,Franco Maikel,54,182,170,8,39,7,0,3,55,13,0,1,0,1,31,11,0,0,4,0.229,0.275,0.324,0.599,93,0.095,0.263,24.7%,17.0%,6.0%,0.35,32,DH,R,Rakuten Eagles,PL
,Fujii Masaru,13,4,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-106,0.000,0.000,25.0%,25.0%,0.0%,0.00,28,1,L,Rakuten Eagles,PL
,Gonzalez Oscar,23,98,94,10,21,2,1,2,31,8,0,1,0,1,18,2,1,1,6,0.223,0.245,0.330,0.575,84,0.107,0.253,22.4%,18.4%,2.0%,0.11,27,7,R,Rakuten Eagles,PL
