Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,Team,League
Noma Takayoshi,2,7,6,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.167,0.286,0.167,0.453,39,0.000,0.200,28.6%,14.3%,14.3%,1.00,-0.0,32,8,L,Hiroshima Carp,WL
Ohmori Minoru,6,23,23,1,2,0,0,0,2,2,1,1,0,0,5,0,0,0,0,0.087,0.087,0.087,0.174,-49,0.000,0.111,21.7%,21.7%,0.0%,0.00,-0.2,28,8,L,Hiroshima Carp,WL
Ohsera Daichi,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,0.0%,0.0%,0.0%,,0.0,34,1,R,Hiroshima Carp,WL
Ramirez Moises,50,161,152,6,28,6,1,3,45,12,0,0,0,1,54,6,0,2,5,0.184,0.224,0.296,0.520,57,0.112,0.260,39.1%,33.5%,3.7%,0.11,-0.0,23,5,R,Hiroshima Carp,WL
Roberto Nelson,37,99,97,9,15,8,0,2,29,3,1,1,0,0,43,1,0,1,2,0.155,0.172,0.299,0.471,42,0.144,0.250,46.5%,43.4%,1.0%,0.02,-0.2,24,9,R,Hiroshima Carp,WL
Saitoh Yuta,29,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,66.7%,66.7%,0.0%,0.00,0.0,21,1,L,Hiroshima Carp,WL
Sakakura Shogo,5,14,13,2,3,1,0,0,4,2,0,0,0,0,1,1,0,0,0,0.231,0.286,0.308,0.594,81,0.077,0.250,14.3%,7.1%,7.1%,1.00,-0.0,27,2,L,Hiroshima Carp,WL
Sasaki Tai,9,27,25,2,14,2,0,1,19,4,1,0,0,0,0,2,0,0,0,0.560,0.593,0.760,1.353,314,0.200,0.542,11.1%,0.0%,7.4%,1.00,0.2,22,5,R,Hiroshima Carp,WL
Sato Keisuke,76,239,215,25,53,7,0,2,66,21,2,0,4,1,28,19,0,0,7,0.247,0.306,0.307,0.613,87,0.060,0.274,20.5%,11.7%,7.9%,0.68,0.2,24,4,L,Hiroshima Carp,WL
Sato Ryunosuke,14,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,66.7%,66.7%,0.0%,0.00,0.0,22,1,L,Hiroshima Carp,WL
Shimizu Kanato,48,131,116,9,22,4,0,0,26,3,0,1,4,1,23,9,0,1,3,0.190,0.252,0.224,0.476,45,0.034,0.234,24.4%,17.6%,6.9%,0.39,-0.4,20,2,L,Hiroshima Carp,WL
Suekane Shota,2,8,8,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-25,0.000,0.167,25.0%,25.0%,0.0%,0.00,-0.0,29,7,R,Hiroshima Carp,WL
Suzuki Kenya,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,0.0,27,1,L,Hiroshima Carp,WL
Taka Taichi,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,23,1,L,Hiroshima Carp,WL
Takagi Shoto,27,45,39,5,8,0,0,0,8,1,0,0,2,0,7,4,0,0,0,0.205,0.279,0.205,0.484,48,0.000,0.250,24.4%,15.6%,8.9%,0.57,-0.0,21,2,R,Hiroshima Carp,WL
Takahashi Kouya,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,0.0%,0.0%,0.0%,,0.0,26,1,L,Hiroshima Carp,WL
Takita Kazuki,24,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,0.0,23,1,L,Hiroshima Carp,WL
Tamamura Shogo,5,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,33.3%,33.3%,0.0%,0.00,0.0,24,1,L,Hiroshima Carp,WL
Tamura Shunsuke,60,209,183,19,41,7,0,1,51,15,3,1,0,0,52,23,1,3,7,0.224,0.321,0.279,0.600,83,0.055,0.308,36.4%,24.9%,11.0%,0.44,0.1,21,9,L,Hiroshima Carp,WL
Tanaka Kosuke,53,201,160,29,51,6,4,1,68,15,5,2,0,0,21,38,0,3,1,0.319,0.458,0.425,0.883,171,0.106,0.362,29.9%,10.4%,18.9%,1.81,0.1,35,6,L,Hiroshima Carp,WL
Tsunehiro Hayato,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,1.000,0.000,1.000,216,0.000,,100.0%,0.0%,100.0%,1.00,-0.0,23,1,R,Hiroshima Carp,WL
Uchida Shodai,74,240,227,12,45,11,0,2,62,18,0,2,4,1,59,6,0,2,8,0.198,0.225,0.273,0.498,51,0.075,0.257,27.9%,24.6%,2.5%,0.10,-0.7,20,5,R,Hiroshima Carp,WL
Uemoto Takashi,27,96,81,9,25,3,1,0,30,5,1,2,1,0,15,10,0,4,2,0.309,0.411,0.370,0.781,139,0.061,0.379,26.0%,15.6%,10.4%,0.67,-0.5,34,6,R,Hiroshima Carp,WL
Ugusa Koki,41,86,78,8,17,1,3,0,24,7,2,2,0,1,23,6,0,1,1,0.218,0.279,0.308,0.587,79,0.090,0.304,33.7%,26.7%,7.0%,0.26,-0.4,28,DH,L,Hiroshima Carp,WL
Watanabe Yuto,46,162,152,7,36,8,0,1,47,12,0,0,0,0,27,7,0,3,10,0.237,0.284,0.309,0.593,80,0.072,0.282,21.6%,16.7%,4.3%,0.26,-0.1,22,5,R,Hiroshima Carp,WL
Yamaashi Tatsuya,46,133,114,18,28,3,1,1,36,11,2,0,4,1,8,14,0,0,5,0.246,0.326,0.316,0.642,96,0.070,0.255,17.3%,6.0%,10.5%,1.75,0.3,31,6,R,Hiroshima Carp,WL
Yano Masaya,1,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,26,6,L,Hiroshima Carp,WL
Yasutake Toshiki,14,18,15,2,2,1,0,0,3,0,0,0,1,0,5,2,0,0,2,0.133,0.235,0.200,0.435,32,0.067,0.200,38.9%,27.8%,11.1%,0.40,-0.0,24,2,R,Hiroshima Carp,WL
Aibara Ryunosuke,45,84,73,11,13,1,0,1,17,4,5,0,1,1,12,9,0,0,2,0.178,0.265,0.233,0.498,50,0.055,0.197,26.2%,14.3%,10.7%,0.75,0.8,21,7,L,DeNA BayStars,EL
Austin Tyler,7,24,20,5,8,1,1,1,14,3,0,0,0,0,3,4,0,0,1,0.400,0.500,0.700,1.200,258,0.300,0.438,33.3%,12.5%,16.7%,1.33,-0.0,33,DH,R,DeNA BayStars,EL
Azuma Junpei,61,204,181,19,43,12,0,3,64,20,6,1,2,2,50,15,0,4,4,0.238,0.307,0.354,0.661,98,0.116,0.308,33.3%,24.5%,7.4%,0.30,0.6,23,8,R,DeNA BayStars,EL
Chino Naoto,76,195,173,24,41,9,1,4,64,18,10,4,1,0,33,20,0,1,5,0.237,0.320,0.370,0.690,107,0.133,0.272,29.2%,16.9%,10.3%,0.61,0.3,26,UTL,R,DeNA BayStars,EL
Ebina Tatsuo,3,13,12,1,4,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0.333,0.385,0.333,0.718,116,0.000,0.400,15.4%,15.4%,0.0%,0.00,-0.0,27,8,R,DeNA BayStars,EL
Ford Mike,13,48,46,2,14,2,0,1,19,6,0,0,0,0,6,2,0,0,1,0.304,0.333,0.413,0.746,123,0.109,0.333,18.8%,12.5%,4.2%,0.33,-0.0,32,DH,L,DeNA BayStars,EL
Hayashi Takuma,8,27,26,7,11,1,1,2,20,6,3,2,0,0,1,1,0,0,1,0.423,0.444,0.769,1.213,261,0.346,0.391,14.8%,3.7%,3.7%,1.00,-0.2,24,6,L,DeNA BayStars,EL
Inoue Kento,84,356,327,33,78,14,3,9,125,49,5,4,2,5,59,17,0,5,7,0.239,0.282,0.382,0.664,99,0.143,0.261,23.9%,16.6%,4.8%,0.29,-0.6,25,5,L,DeNA BayStars,EL
Ishikami Taiki,28,122,101,15,33,7,1,1,45,13,4,1,1,2,17,17,0,1,2,0.327,0.421,0.446,0.867,160,0.119,0.376,28.7%,13.9%,13.9%,1.00,0.3,24,UTL,L,DeNA BayStars,EL
Itoh Hikaru,66,217,189,19,57,13,0,2,76,26,2,0,0,3,41,19,0,6,4,0.302,0.378,0.402,0.780,134,0.100,0.369,28.6%,18.9%,8.8%,0.46,0.2,36,2,R,DeNA BayStars,EL
Jackson Andre,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,,100.0%,100.0%,0.0%,0.00,0.0,29,1,R,DeNA BayStars,EL
Joko Ryota,40,86,73,9,17,3,0,3,29,11,0,0,4,0,24,9,0,0,0,0.233,0.317,0.397,0.714,114,0.164,0.304,41.9%,27.9%,10.5%,0.38,-0.0,24,2,L,DeNA BayStars,EL
Kajiwara Kouki,34,152,140,21,40,6,2,5,65,22,10,2,1,1,35,7,0,3,1,0.286,0.331,0.464,0.795,138,0.178,0.347,30.9%,23.0%,4.6%,0.20,1.0,25,8,L,DeNA BayStars,EL
Kamizato Kazuki,32,131,104,17,31,4,1,0,37,2,4,0,3,0,26,24,0,0,2,0.298,0.430,0.356,0.786,137,0.058,0.397,38.2%,19.8%,18.3%,0.92,0.6,31,8,L,DeNA BayStars,EL
Kato Hibiki,86,331,303,35,71,20,1,5,108,31,3,4,3,1,43,23,0,1,4,0.234,0.290,0.356,0.646,94,0.122,0.258,21.5%,13.0%,6.9%,0.53,-0.9,23,UTL,R,DeNA BayStars,EL
Katsumata Atsushi,71,259,240,28,63,9,1,3,83,21,4,1,3,2,30,10,0,3,9,0.263,0.298,0.346,0.644,93,0.083,0.287,16.6%,11.6%,3.9%,0.33,0.3,25,7,L,DeNA BayStars,EL
Kobari Daiki,26,77,71,4,14,1,0,0,15,7,2,1,2,0,18,3,0,1,1,0.197,0.240,0.211,0.451,36,0.014,0.264,27.3%,23.4%,3.9%,0.17,-0.0,18,8,L,DeNA BayStars,EL
Kondo Taiga,9,15,13,1,1,0,0,0,1,2,0,0,0,0,3,1,0,1,1,0.077,0.200,0.077,0.277,-15,0.000,0.100,26.7%,20.0%,6.7%,0.33,-0.0,19,2,R,DeNA BayStars,EL
Kuki Ryuhei,79,277,242,32,58,12,2,5,89,34,4,1,2,2,53,31,0,0,8,0.240,0.324,0.368,0.692,108,0.128,0.285,32.1%,19.1%,11.2%,0.58,0.2,26,2,R,DeNA BayStars,EL
Kuwahara Masayuki,2,7,6,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.167,0.286,0.167,0.453,37,0.000,0.200,14.3%,14.3%,0.0%,0.00,-0.0,31,8,R,DeNA BayStars,EL
Mashiko Kyosuke,54,173,149,13,35,6,0,3,50,17,0,1,0,2,31,20,1,2,6,0.235,0.329,0.336,0.665,100,0.101,0.274,31.2%,17.9%,11.6%,0.65,-0.4,24,3,R,DeNA BayStars,EL
Matsuo Shion,17,61,57,7,22,6,0,2,34,11,1,0,1,1,5,2,0,0,0,0.386,0.400,0.596,0.996,197,0.210,0.392,14.8%,8.2%,3.3%,0.40,0.1,20,2,R,DeNA BayStars,EL
Mimori Masaki,1,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,397,0.333,0.667,0.0%,0.0%,0.0%,,-0.0,26,5,L,DeNA BayStars,EL
Miyazaki Toshiro,3,8,8,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0.125,0.125,0.250,0.375,12,0.125,0.143,12.5%,12.5%,0.0%,0.00,0.0,36,DH,R,DeNA BayStars,EL
Mori Keito,37,154,132,17,36,2,1,0,40,9,3,4,5,1,25,16,1,0,5,0.273,0.349,0.303,0.652,96,0.030,0.333,26.6%,16.2%,10.4%,0.64,-0.9,23,6,L,DeNA BayStars,EL
Nishimaki Kenji,67,172,149,26,41,4,1,3,56,16,15,7,4,0,29,16,0,3,5,0.275,0.357,0.376,0.733,120,0.101,0.325,27.9%,16.9%,9.3%,0.55,0.2,26,4,R,DeNA BayStars,EL
Ogasawara Sou,12,15,14,1,1,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0.071,0.133,0.071,0.204,-38,0.000,0.167,60.0%,53.3%,6.7%,0.12,-0.0,19,3,L,DeNA BayStars,EL
Ohnuki Shinichi,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-100,0.000,,100.0%,100.0%,0.0%,0.00,0.0,31,1,R,DeNA BayStars,EL
Sekine Taiki,78,305,267,28,79,9,3,2,100,31,9,4,12,3,20,21,1,2,3,0.296,0.348,0.375,0.723,117,0.079,0.310,14.1%,6.6%,6.9%,1.05,0.1,30,8,L,DeNA BayStars,EL
