Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Endoh Joh,23,4,178.0,3.2,23.1,1.7,,0.6,0.9,0.5,,,ORIX Buffaloes,WL
Endoh Joh,23,5,86.0,-1.9,-28.4,-1.1,,-0.2,-0.6,-0.3,,,ORIX Buffaloes,WL
Endoh Joh,23,6,63.0,-1.3,-26.6,-1.5,,0.2,-0.1,0.5,,,ORIX Buffaloes,WL
Endoh Joh,23,7,7.0,-0.2,-36.8,-0.2,0.0,,0.0,-0.1,,,ORIX Buffaloes,WL
Endoh Joh,23,8,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,ORIX Buffaloes,WL
Endoh Joh,23,9,7.0,-0.3,-55.2,-0.6,0.3,,0.0,0.0,,,ORIX Buffaloes,WL
Endoh Joh,23,DH,4.0,,,,,,,0.0,,,ORIX Buffaloes,WL
Sakaguchi Daisuke,25,5,47.0,-0.7,-19.2,-1.1,,0.0,0.4,-0.2,,,Oisix Albirex,EL
Sakaguchi Daisuke,25,9,199.0,1.0,6.5,0.6,0.2,,0.2,-0.8,,,Oisix Albirex,EL
Sakaguchi Daisuke,25,DH,1.0,,,,,,,0.0,,,Oisix Albirex,EL
Uehara Hiroki,23,8,25.0,1.7,87.5,1.1,0.6,,0.0,0.1,,,Oisix Albirex,EL
Uehara Hiroki,23,9,59.0,-2.2,-48.0,-2.4,0.1,,0.0,-0.2,,,Oisix Albirex,EL
Uehara Hiroki,23,DH,4.0,,,,,,,0.0,,,Oisix Albirex,EL
Sawano Kiyoharu,23,4,285.1,0.8,3.6,0.1,,-0.4,1.1,0.8,,,Yakult Swallows,EL
Sawano Kiyoharu,23,5,32.0,0.5,20.1,-0.1,,0.0,0.6,-0.1,,,Yakult Swallows,EL
Sawano Kiyoharu,23,6,222.0,2.8,16.2,3.2,,0.8,-1.2,1.8,,,Yakult Swallows,EL
Sawano Kiyoharu,23,DH,1.0,,,,,,,0.0,,,Yakult Swallows,EL
Kitamura Keigo,24,3,210.0,2.3,14.1,2.8,,-0.1,-0.4,-2.4,,,Yakult Swallows,EL
Kitamura Keigo,24,4,198.0,2.8,18.2,0.6,,1.2,1.1,0.5,,,Yakult Swallows,EL
Kitamura Keigo,24,5,70.0,0.9,16.5,1.0,,-0.1,0.0,-0.3,,,Yakult Swallows,EL
Kitamura Keigo,24,7,83.1,1.2,18.5,1.2,0.0,,0.1,-0.8,,,Yakult Swallows,EL
Ukai Kosuke,26,7,319.1,-0.8,-3.2,0.8,-1.8,,0.3,-3.0,,,Chunichi Dragons,WL
Ukai Kosuke,26,8,6.0,-0.4,-85.8,-0.4,0.0,,0.0,0.0,,,Chunichi Dragons,WL
Ukai Kosuke,26,9,219.0,-4.9,-28.8,-3.3,-1.7,,0.1,-0.9,,,Chunichi Dragons,WL
Ukai Kosuke,26,DH,18.0,,,,,,,-0.2,,,Chunichi Dragons,WL
Kawano Sota,25,3,6.0,-0.2,-42.9,-0.2,,0.0,0.0,-0.1,,,ORIX Buffaloes,WL
Kawano Sota,25,4,93.0,0.5,6.9,1.1,,-0.7,0.1,0.3,,,ORIX Buffaloes,WL
Kawano Sota,25,5,32.0,-0.8,-32.2,-0.1,,0.1,-0.8,-0.1,,,ORIX Buffaloes,WL
Kawano Sota,25,6,82.0,1.9,29.8,2.2,,0.4,-0.8,0.7,,,ORIX Buffaloes,WL
Kawano Sota,25,DH,2.0,,,,,,,0.0,,,ORIX Buffaloes,WL
Tanaka Shunta,31,3,21.0,-0.5,-30.6,-0.6,,0.0,0.1,-0.2,,,Oisix Albirex,EL
Tanaka Shunta,31,4,239.2,-4.9,-26.3,-3.0,,-0.4,-1.5,0.6,,,Oisix Albirex,EL
