Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Age,T,Team,League
Wakamatsu Naoki,7,0,0,0,0,0,0,36,8.0,14,1,3,1,0,0,0,7,7,7.88,4.21,4.24,1.88,39,126,119,3.67,2.8%,8.3%,2.8%,5.6%,56.2%,10.9%,90.4%,4.8%,21.1%,92.0,25,R,DeNA BayStars,CL
Wick Rowan,37,4,1,4,19,0,0,151,39.2,24,0,44,10,0,3,0,4,4,0.91,1.73,2.55,0.86,335,52,71,-0.82,0.0%,29.1%,6.6%,22.5%,49.5%,12.4%,73.1%,13.2%,32.6%,96.3,32,R,DeNA BayStars,CL
Yamasaki Yasuaki,16,0,3,1,1,0,0,60,14.0,13,3,11,6,2,0,0,6,6,3.86,5.46,3.97,1.36,79,163,111,-1.60,5.0%,18.3%,10.0%,8.3%,41.5%,14.9%,71.4%,14.0%,29.4%,92.3,32,R,DeNA BayStars,CL
Yoshino Teruki,2,0,0,0,0,0,0,35,7.2,8,2,8,5,0,0,0,5,4,4.70,6.22,3.94,1.70,65,186,110,-1.52,5.7%,22.9%,14.3%,8.6%,45.5%,12.6%,75.7%,10.2%,28.1%,91.0,26,R,DeNA BayStars,CL
Akahoshi Yuji,22,6,9,0,0,1,1,488,121.0,110,12,88,19,3,5,0,42,36,2.68,3.39,3.39,1.07,109,106,95,-0.71,2.5%,18.0%,3.9%,14.1%,54.9%,14.0%,83.1%,7.8%,28.8%,90.9,25,R,Yomiuri Giants,CL
Baba Kosuke,8,0,0,0,0,0,0,32,7.1,6,0,5,4,0,0,1,4,3,3.68,3.24,4.49,1.36,80,101,125,0.44,0.0%,15.6%,12.5%,3.1%,50.0%,10.5%,74.5%,11.4%,23.7%,90.9,30,R,Yomiuri Giants,CL
Baldonado Alberto,18,1,0,0,6,0,0,54,12.2,7,0,12,10,0,0,1,5,5,3.55,3.44,4.43,1.34,82,107,124,0.11,0.0%,22.2%,18.5%,3.7%,38.7%,12.0%,77.5%,10.5%,22.9%,93.6,32,L,Yomiuri Giants,CL
Funabasama Hiromasa,52,2,3,0,15,0,0,173,43.1,31,7,40,14,5,1,0,14,14,2.91,4.26,3.30,1.04,101,133,92,-1.35,4.0%,23.1%,8.1%,15.0%,34.5%,14.0%,74.9%,11.6%,30.6%,90.7,28,R,Yomiuri Giants,CL
Griffin Foster,13,6,1,0,0,0,0,295,76.0,52,0,77,16,2,5,1,11,10,1.18,1.77,2.73,0.89,248,55,76,-0.59,0.0%,26.1%,5.4%,20.7%,53.1%,12.7%,73.7%,12.1%,31.0%,90.8,29,L,Yomiuri Giants,CL
Heinai Ryuta,7,0,1,0,0,0,0,39,9.2,12,0,6,0,0,0,0,8,8,7.45,1.72,3.26,1.24,39,54,91,5.73,0.0%,15.4%,0.0%,15.4%,45.5%,14.2%,84.7%,7.5%,22.5%,93.0,26,R,Yomiuri Giants,CL
Hotta Kenshin,8,0,1,0,0,0,0,99,22.1,23,4,13,11,0,1,0,13,13,5.24,5.74,4.60,1.52,56,179,129,-0.50,4.0%,13.1%,11.1%,2.0%,51.4%,15.7%,76.8%,11.3%,27.3%,90.2,24,R,Yomiuri Giants,CL
Inoue Haruto,20,4,8,0,0,0,0,453,107.0,115,15,100,19,1,2,0,48,44,3.70,3.51,3.01,1.25,79,109,84,0.19,3.3%,22.1%,4.2%,17.9%,44.0%,16.2%,76.6%,11.4%,30.0%,91.2,24,L,Yomiuri Giants,CL
