#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/11415157.html>Nabara Norihiko</a>,46,92,83,12,19,1,1,0,22,5,6,1,1,2,6,6,0,0,2,0.229,0.275,0.265,0.540,64,0.036,0.241,6.5%,6.5%,1.00,0.7,13.0%,25,8,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/41445159.html>Nakada Yuto</a>,86,278,258,16,56,8,0,0,64,21,0,0,2,2,76,14,0,2,11,0.217,0.261,0.248,0.509,55,0.031,0.304,27.3%,5.0%,0.18,-0.1,32.4%,19,3,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/01405155.html>Nakamura Kento</a>,81,289,251,31,71,10,2,5,100,21,4,0,4,0,64,31,0,3,11,0.283,0.368,0.398,0.766,134,0.115,0.363,22.1%,10.7%,0.48,0.6,34.6%,28,8,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/81285136.html>Nakamura Shosei</a>,11,30,28,3,10,2,0,0,12,3,2,1,0,0,4,2,0,0,1,0.357,0.400,0.429,0.829,153,0.072,0.417,13.3%,6.7%,0.50,-0.0,20.0%,26,8,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/61265157.html>Nakamura Takahiro</a>,78,282,251,27,69,15,0,5,99,37,4,4,0,3,62,24,1,4,9,0.275,0.344,0.394,0.738,125,0.119,0.342,22.0%,8.5%,0.39,-0.7,32.3%,25,9,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/01405151.html>Nirasawa Yuya</a>,57,137,128,10,25,4,2,1,36,10,0,1,3,0,13,6,0,0,4,0.195,0.231,0.281,0.512,55,0.086,0.211,9.5%,4.4%,0.46,-0.4,14.6%,24,UTL,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/01405130.html>Noma Takayoshi</a>,2,7,6,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0.167,0.286,0.167,0.453,39,0.000,0.200,14.3%,14.3%,1.00,-0.0,28.6%,32,8,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/21325138.html>Ohmori Minoru</a>,6,23,23,1,2,0,0,0,2,2,1,1,0,0,5,0,0,0,0,0.087,0.087,0.087,0.174,-49,0.000,0.111,21.7%,0.0%,0.00,-0.2,21.7%,28,8,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/61365139.html>Ohsera Daichi</a>,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,0.0%,0.0%,,0.0,0.0%,34,1,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/43045159.html>Ramirez Moises</a>,55,172,163,6,28,6,1,3,45,12,0,0,0,1,59,6,0,2,5,0.172,0.209,0.276,0.485,47,0.104,0.245,34.3%,3.5%,0.10,-0.0,39.5%,23,5,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/63065159.html>Roberto Nelson</a>,41,111,109,11,20,9,1,3,40,7,1,1,0,0,47,1,0,1,2,0.183,0.198,0.367,0.565,70,0.184,0.288,42.3%,0.9%,0.02,-0.2,45.9%,24,9,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/61765157.html>Saitoh Yuta</a>,30,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,75.0%,0.0%,0.00,0.0,75.0%,21,1,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/11915134.html>Sakakura Shogo</a>,5,14,13,2,3,1,0,0,4,2,0,0,0,0,1,1,0,0,0,0.231,0.286,0.308,0.594,81,0.077,0.250,7.1%,7.1%,1.00,-0.0,14.3%,27,2,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/11015150.html>Sasaki Tai</a>,9,27,25,2,14,2,0,1,19,4,1,0,0,0,0,2,0,0,0,0.560,0.593,0.760,1.353,314,0.200,0.542,0.0%,7.4%,1.00,0.2,11.1%,22,5,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71975159.html>Sato Keisuke</a>,84,270,243,29,60,9,0,2,75,23,3,0,4,1,32,22,0,0,8,0.247,0.308,0.309,0.617,88,0.062,0.276,11.9%,8.1%,0.69,0.4,20.7%,24,4,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
