#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,Nakamura Kyohei,43,0,1,0,12,0,0,181,44.1,31,5,58,17,2,2,0,16,13,2.64,3.50,2.53,1.08,146,82,69,-0.86,2.8%,32.0%,9.4%,22.7%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,30,L,CL
,Nakamura Yuta,2,0,0,0,0,0,0,32,5.2,11,3,4,5,0,0,1,8,8,12.71,11.49,5.11,2.82,30,268,139,1.22,9.4%,12.5%,15.6%,-3.1%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,23,R,CL
,Nakata Ren,8,0,0,0,0,0,0,36,5.2,8,1,4,6,0,1,1,11,6,9.53,7.96,5.36,2.47,40,186,145,1.57,2.8%,11.1%,16.7%,-5.6%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,28,R,CL
,Nakazaki Shota,36,3,3,9,5,0,0,171,35.1,44,3,23,17,2,2,0,24,16,4.08,4.78,4.45,1.73,94,112,121,-0.70,1.8%,13.5%,9.9%,3.5%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,26,R,CL
,Nomura Yusuke,18,6,5,0,0,0,0,414,95.1,96,6,65,34,2,2,0,52,43,4.06,3.96,4.05,1.36,95,92,110,0.10,1.4%,15.7%,8.2%,7.5%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,30,R,CL
,Okada Akitake,3,0,2,0,0,0,0,39,7.0,9,2,4,11,0,0,0,12,11,14.14,10.65,6.59,2.86,27,249,179,3.49,5.1%,10.3%,28.2%,-17.9%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,25,R,CL
,Osera Daichi,26,11,9,0,0,6,2,712,173.1,176,22,136,35,2,4,4,72,68,3.53,4.12,3.38,1.22,109,96,92,-0.59,3.1%,19.1%,4.9%,14.2%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,,,CL
,Regnault Kyle,52,6,3,0,15,0,0,265,59.1,53,7,67,34,7,3,0,25,22,3.34,4.51,3.55,1.47,115,105,96,-1.17,2.6%,25.3%,12.8%,12.5%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,30,L,CL
,Shimauchi Sotaro,25,0,0,0,0,0,0,127,28.2,19,1,33,19,1,2,1,15,14,4.40,3.72,3.70,1.33,87,87,100,0.68,0.8%,26.0%,15.0%,11.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,22,R,CL
,Tokoda Hiroki,25,7,6,0,0,1,0,590,139.2,131,17,101,48,3,5,2,54,46,2.96,4.64,3.90,1.28,130,108,106,-1.68,2.9%,17.1%,8.1%,9.0%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,24,L,CL
,Yabuta Kazuki,4,0,2,0,0,0,0,62,12.2,17,4,6,10,0,0,0,13,13,9.24,8.89,5.45,2.13,42,208,148,0.35,6.5%,9.7%,16.1%,-6.5%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,26,R,CL
