#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,Kubo Yuya,22,2,1,0,2,0,0,94,22.1,16,3,14,11,0,1,1,7,7,2.82,5.47,4.48,1.21,139,125,121,-2.65,3.2%,14.9%,11.7%,3.2%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,39,R,PL
,Kumabara Kento,1,0,0,0,0,0,0,17,3.1,4,1,3,3,0,0,0,2,2,5.40,8.17,4.80,2.10,73,187,130,-2.77,5.9%,17.6%,17.6%,0.0%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,25,R,PL
,Matsui Yuki,68,2,8,38,12,0,0,271,69.2,40,5,107,24,2,1,2,17,15,1.94,2.31,1.74,0.92,202,53,47,-0.37,1.8%,39.5%,8.9%,30.6%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,23,L,PL
,Mima Manabu,25,8,5,0,0,2,0,600,143.2,146,19,112,24,0,4,3,69,64,4.01,4.11,3.33,1.18,98,94,90,-0.10,3.2%,18.7%,4.0%,14.7%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,32,R,PL
,Morihara Kohei,64,4,2,0,29,0,0,255,64.0,47,3,65,18,1,1,0,15,14,1.97,2.84,2.96,1.02,199,65,80,-0.87,1.2%,25.5%,7.1%,18.4%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,27,R,PL
,Nishimiya Yusuke,14,1,0,0,1,0,0,84,16.1,18,0,21,17,0,1,0,15,14,7.71,4.10,4.32,2.14,51,94,117,3.61,0.0%,25.0%,20.2%,4.8%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,28,L,PL
,Norimoto Takahiro,12,5,5,0,0,0,0,269,68.0,58,7,67,10,0,3,1,27,21,2.78,3.31,2.68,1.00,141,76,73,-0.53,2.6%,24.9%,3.7%,21.2%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,28,R,PL
,Ono Fumiya,13,0,0,0,0,0,0,87,18.2,26,3,14,5,0,2,1,13,13,6.27,5.08,3.77,1.66,63,116,102,1.19,3.4%,16.1%,5.7%,10.3%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,22,R,PL
,Sato Yoshinori,1,0,0,0,0,0,0,3,1.0,0,0,2,0,0,0,0,0,0,0.00,-0.63,-1.87,0.00,999,-14,-51,0.63,0.0%,66.7%,0.0%,66.7%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,29,R,PL
,Shiomi Takahiro,9,3,1,0,0,0,0,197,51.1,42,6,47,9,0,0,1,18,18,3.16,3.58,2.87,0.99,124,82,78,-0.42,3.0%,23.9%,4.6%,19.3%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,30,L,PL
,Sugahara Shu,9,1,3,0,0,0,0,160,35.1,35,1,21,20,0,4,2,19,16,4.08,4.58,4.74,1.56,96,105,128,-0.50,0.6%,13.1%,12.5%,0.6%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,25,R,PL
,Sung Chia-Hao,48,3,2,0,24,0,0,186,45.1,34,2,40,23,2,0,1,14,11,2.18,3.70,3.89,1.26,180,85,105,-1.52,1.1%,21.5%,12.4%,9.1%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,26,R,PL
,Takanashi Yuhei,48,2,1,0,14,0,0,146,31.1,25,0,41,23,2,4,0,8,8,2.30,3.34,3.57,1.53,171,76,97,-1.04,0.0%,28.1%,15.8%,12.3%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,26,L,PL
,Teraoka Kanji,1,0,0,0,0,0,0,15,3.0,6,1,2,0,0,0,0,3,3,9.00,6.37,3.47,2.00,44,146,94,2.63,6.7%,13.3%,0.0%,13.3%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,26,R,PL
,Tomura Kenji,6,0,0,0,0,0,0,73,15.2,17,1,15,9,1,0,1,15,11,6.32,4.01,3.98,1.66,62,92,108,2.31,1.4%,20.5%,12.3%,8.2%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,31,R,PL
,Watanabe Yuki,1,0,0,0,0,0,0,5,1.0,0,0,3,2,0,0,0,0,0,0.00,3.37,2.80,2.00,999,77,76,-3.37,0.0%,60.0%,40.0%,20.0%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,23,L,PL
,Yuge Hayato,8,3,3,0,0,1,1,172,43.1,40,5,34,9,0,2,0,18,18,3.74,4.06,3.35,1.13,105,93,91,-0.32,2.9%,19.8%,5.2%,14.5%,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,25,L,PL
,Aiuchi Makoto,2,0,1,0,0,0,0,51,9.1,17,3,5,6,0,1,0,12,12,11.57,8.73,5.00,2.46,35,191,135,2.84,5.9%,9.8%,11.8%,-2.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,24,R,PL
,Awatsu Kaito,1,0,0,0,0,0,0,10,2.0,4,0,0,1,0,0,0,2,2,9.00,4.87,5.80,2.50,46,107,157,4.13,0.0%,0.0%,10.0%,-10.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,22,R,PL
,Enokida Daiki,13,4,3,0,0,0,0,319,69.0,86,12,33,21,0,9,2,54,50,6.52,5.98,4.42,1.55,63,131,120,0.54,3.8%,10.3%,6.6%,3.8%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,32,L,PL
,Heath Deunte,34,2,3,2,7,0,0,135,31.1,26,2,34,14,0,2,2,15,13,3.73,3.56,3.32,1.28,110,78,90,0.17,1.5%,25.2%,10.4%,14.8%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,33,R,PL
,Hirai Katsunori,81,5,4,0,36,0,0,354,82.1,77,6,66,32,3,6,4,33,32,3.50,4.10,3.84,1.32,117,90,104,-0.60,1.7%,18.6%,9.0%,9.6%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,27,R,PL
,Honda Keisuke,16,6,6,0,0,0,0,375,91.1,88,13,53,28,0,3,2,48,47,4.63,5.08,4.13,1.27,89,111,112,-0.45,3.5%,14.1%,7.5%,6.7%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,26,R,PL
,Imai Tatsuya,23,7,9,0,0,1,1,596,135.1,127,16,105,72,1,5,7,74,65,4.32,5.06,4.25,1.47,95,111,115,-0.74,2.7%,17.6%,12.1%,5.5%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,21,R,PL
,Ito Sho,6,0,0,0,0,0,0,25,6.0,7,1,2,3,0,0,0,4,4,6.00,6.37,5.20,1.67,68,140,141,-0.37,4.0%,8.0%,12.0%,-4.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,20,R,PL
,Koishi Hirotaka,8,0,0,0,0,0,0,69,15.1,15,2,6,5,0,4,0,10,10,5.87,6.04,4.66,1.30,70,132,126,-0.17,2.9%,8.7%,7.2%,1.4%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,32,L,PL
,Kokuba Tsubasa,15,1,0,0,2,0,0,62,14.2,13,3,2,7,0,0,0,6,6,3.68,7.19,5.61,1.36,111,157,152,-3.51,4.8%,3.2%,11.3%,-8.1%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,25,R,PL
,Kuo Chun-Lin,2,1,1,0,0,0,0,44,10.0,7,1,7,6,0,1,1,6,5,4.50,5.37,4.57,1.30,91,118,124,-0.87,2.3%,15.9%,13.6%,2.3%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,27,R,PL
,Liao Jen-Lei,3,0,0,0,0,0,0,14,3.0,4,1,4,0,0,1,0,1,1,3.00,6.03,1.94,1.33,137,132,53,-3.03,7.1%,28.6%,0.0%,28.6%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,25,R,PL
,Martin Kyle,41,2,5,1,10,0,0,199,41.2,40,2,36,28,1,8,4,25,17,3.67,4.86,4.40,1.63,112,106,119,-1.19,1.0%,18.1%,14.1%,4.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,28,R,PL
,Masuda Tatsushi,65,4,1,30,7,0,0,272,69.2,51,5,74,10,1,0,0,15,14,1.81,2.61,2.45,0.88,226,57,66,-0.80,1.8%,27.2%,3.7%,23.5%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,31,R,PL
,Matsumoto Naoaki,4,0,0,0,0,0,0,25,5.0,9,2,3,1,0,0,0,4,4,7.20,7.97,4.00,2.00,57,175,108,-0.77,8.0%,12.0%,4.0%,8.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,28,R,PL
,Matsumoto Wataru,16,7,4,0,0,0,0,384,85.1,87,11,65,46,1,2,8,47,43,4.54,5.21,4.31,1.56,90,114,117,-0.67,2.9%,16.9%,12.0%,4.9%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,22,R,PL
,Minamikawa Tadasuke,1,0,0,0,0,0,0,3,0.0,0,0,0,3,0,0,2,1,1,,,14.80,,0,,401,,0.0%,0.0%,100.0%,-100.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,27,R,PL
,Moriwaki Ryosuke,29,2,1,0,2,0,0,143,31.0,29,3,24,20,0,3,1,17,17,4.94,5.30,4.52,1.58,83,116,123,-0.36,2.1%,16.8%,14.0%,2.8%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,26,R,PL
,Neal Zach,17,12,1,0,0,0,0,410,100.1,103,8,51,15,0,6,2,38,32,2.87,4.02,3.92,1.18,143,88,106,-1.15,2.0%,12.4%,3.7%,8.8%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,30,R,PL
,Noda Shogo,23,2,0,0,2,0,0,84,19.2,14,1,10,9,0,3,0,8,8,3.66,4.84,4.68,1.17,112,106,127,-1.18,1.2%,11.9%,10.7%,1.2%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,26,L,PL
,Ogawa Ryuya,55,4,1,1,15,0,0,157,38.1,35,4,28,12,0,3,4,12,11,2.58,4.44,3.78,1.23,159,97,103,-1.86,2.5%,17.8%,7.6%,10.2%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,27,L,PL
,Oishi Tatsuya,2,0,0,0,0,0,0,11,2.1,4,1,5,0,0,0,0,4,4,15.43,4.65,0.25,1.71,27,102,7,10.78,9.1%,45.5%,0.0%,45.5%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,30,R,PL
,Saito Hiromasa,9,0,0,0,1,0,0,51,10.2,12,4,7,6,0,3,0,9,8,6.75,9.46,4.60,1.69,61,207,125,-2.71,7.8%,13.7%,11.8%,2.0%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,24,L,PL
,Sano Yasuo,44,2,2,0,2,0,0,297,67.2,68,4,39,32,2,4,1,34,33,4.39,4.58,4.56,1.48,93,100,124,-0.19,1.3%,13.1%,10.8%,2.4%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,26,L,PL
,Taira Kaima,26,2,1,1,6,0,0,111,24.0,29,2,23,9,0,3,3,13,9,3.38,4.03,3.54,1.58,121,88,96,-0.65,1.8%,20.7%,8.1%,12.6%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,19,R,PL
,Takagi Hayato,2,0,0,0,0,0,0,16,2.1,4,1,1,4,0,1,0,7,2,7.71,14.51,6.67,3.43,53,318,181,-6.80,6.2%,6.2%,25.0%,-18.8%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,29,R,PL
,Takahashi Kona,21,10,6,0,0,1,0,554,123.2,144,13,90,47,1,14,7,77,62,4.51,4.76,4.02,1.54,91,104,109,-0.25,2.3%,16.2%,8.5%,7.8%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,22,R,PL
,Takekuma Shota,10,1,1,0,1,0,0,68,14.2,14,1,5,12,0,1,0,11,10,6.14,6.23,5.83,1.77,67,137,158,-0.09,1.5%,7.4%,17.6%,-10.3%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,29,L,PL
,Tamura Ichiro,6,0,0,0,0,0,0,34,7.1,9,1,3,4,0,0,2,5,5,6.14,5.96,5.09,1.77,67,131,138,0.18,2.9%,8.8%,11.8%,-2.9%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,24,R,PL
,Tawata Shinsaburo,12,1,6,0,0,1,1,306,66.1,84,8,37,25,0,6,3,47,43,5.83,5.22,4.41,1.64,70,114,120,0.61,2.6%,12.1%,8.2%,3.9%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,26,R,PL
,Togame Ken,19,5,6,0,0,0,0,444,102.0,106,12,57,31,0,4,1,56,51,4.50,4.81,4.21,1.34,91,105,114,-0.31,2.7%,12.8%,7.0%,5.9%,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,31,R,PL
,Akiyoshi Ryo,53,0,5,25,7,0,0,212,51.2,38,6,48,19,3,2,0,19,17,2.96,4.24,3.43,1.10,130,99,93,-1.28,2.8%,22.6%,9.0%,13.7%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,30,R,PL
,Arihara Kohei,24,15,8,0,0,1,1,639,164.1,111,14,161,40,0,9,9,49,45,2.46,3.41,2.91,0.92,156,80,79,-0.95,2.2%,25.2%,6.3%,18.9%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,26,R,PL
,Barbato Johnny,15,2,2,0,1,0,0,147,32.0,35,5,22,21,1,1,1,23,20,5.63,6.09,4.73,1.75,68,142,128,-0.46,3.4%,15.0%,14.3%,0.7%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,26,R,PL
,Fujioka Takahiro,2,0,0,0,0,0,0,17,3.0,4,0,2,5,0,0,0,5,5,15.00,7.03,6.56,3.00,26,164,178,7.97,0.0%,11.8%,29.4%,-17.6%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,29,L,PL
,Hancock Justin,8,0,1,2,2,0,0,33,7.0,8,1,8,5,1,0,1,7,7,9.00,5.08,3.89,1.86,43,119,105,3.92,3.0%,24.2%,15.2%,9.1%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,28,R,PL
,Hori Mizuki,53,4,4,1,5,0,0,265,60.1,61,9,61,18,1,3,1,37,35,5.22,4.33,3.18,1.31,74,101,86,0.89,3.4%,23.0%,6.8%,16.2%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,21,L,PL
,Iguchi Kazutomo,32,1,0,1,7,0,0,131,32.0,28,3,19,7,1,2,0,9,9,2.53,4.24,3.88,1.09,152,99,105,-1.71,2.3%,14.5%,5.3%,9.2%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,25,R,PL
,Ishikawa Naoya,60,3,2,5,21,0,0,220,54.1,39,6,75,16,0,1,3,20,20,3.31,2.98,2.12,1.01,116,70,57,0.33,2.7%,34.1%,7.3%,26.8%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,22,R,PL
,Kagiya Yohei,18,0,0,0,1,0,0,77,16.2,16,0,16,12,1,0,0,11,11,5.94,3.61,4.28,1.68,65,84,116,2.33,0.0%,20.8%,15.6%,5.2%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,28,R,PL
,Kaneko Chihiro,26,8,7,0,2,0,0,460,109.2,106,10,75,40,0,0,2,42,37,3.04,4.28,4.04,1.33,126,100,110,-1.24,2.2%,16.3%,8.7%,7.6%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,35,R,PL
,Kato Takayuki,26,5,7,0,1,0,0,378,92.0,85,11,70,23,0,3,1,39,36,3.52,4.25,3.56,1.17,109,99,96,-0.73,2.9%,18.5%,6.1%,12.4%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,,,PL
,Kitaura Ryuji,6,1,1,0,0,0,0,78,17.1,21,1,6,6,0,0,1,11,11,5.71,4.46,4.80,1.56,67,104,130,1.25,1.3%,7.7%,7.7%,0.0%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,19,L,PL
,Kumon Katsuhiko,61,2,0,1,17,0,0,213,52.1,41,5,31,18,3,1,1,24,23,3.96,4.51,4.19,1.13,97,105,114,-0.55,2.3%,14.6%,8.5%,6.1%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,27,L,PL
,Miyanishi Naoki,55,1,2,0,43,0,0,182,47.1,32,1,51,6,0,3,1,13,9,1.71,2.06,2.33,0.80,225,48,63,-0.35,0.5%,28.0%,3.3%,24.7%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,34,L,PL
,Murata Toru,13,0,2,0,2,0,0,138,34.0,32,4,23,5,0,2,0,15,12,3.18,4.16,3.50,1.09,121,97,95,-0.98,2.9%,16.7%,3.6%,13.0%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,34,R,PL
,Nabatame Tsubasa,4,0,1,0,0,0,0,39,8.0,10,2,2,4,0,0,0,10,7,7.88,7.62,5.31,1.75,49,178,144,0.26,5.1%,5.1%,10.3%,-5.1%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,24,R,PL
,Nakamura Masaru,1,0,1,0,0,0,0,14,2.0,3,1,0,4,0,0,0,6,6,27.00,15.87,7.66,3.50,14,371,208,11.13,7.1%,0.0%,28.6%,-28.6%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,27,R,PL
,Nishimura Takahiro,35,1,0,0,3,0,0,196,44.2,40,6,55,20,0,3,3,22,19,3.83,4.20,3.01,1.34,100,98,82,-0.37,3.1%,28.1%,10.2%,17.9%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,26,R,PL
,Rodriguez Bryan,34,6,7,1,8,0,0,383,91.1,89,7,55,27,3,4,5,36,33,3.25,4.18,4.07,1.27,118,98,110,-0.93,1.8%,14.4%,7.0%,7.3%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,27,R,PL
,Saito Yuki,11,0,2,0,0,0,0,87,21.0,19,1,12,8,0,0,2,12,11,4.71,3.99,4.34,1.29,82,93,118,0.72,1.1%,13.8%,9.2%,4.6%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,31,R,PL
,Sugiura Toshihiro,14,4,4,0,0,0,0,252,65.0,52,7,50,13,0,2,1,30,27,3.74,3.92,3.33,1.00,103,92,90,-0.18,2.8%,19.8%,5.2%,14.7%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,27,R,PL
,Suzuki Ryotaro,1,0,0,0,0,0,0,9,2.0,2,0,3,1,0,0,0,0,0,0.00,1.87,2.58,1.50,999,44,70,-1.87,0.0%,33.3%,11.1%,22.2%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,23,R,PL
,Tamai Taisho,65,2,3,0,11,0,0,256,62.0,52,1,34,22,2,1,1,22,18,2.61,3.59,4.33,1.19,147,84,117,-0.98,0.4%,13.3%,8.6%,4.7%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,27,R,PL
,Tanaka Eito,1,0,1,0,0,0,0,9,2.0,2,0,1,1,0,0,1,2,2,9.00,3.87,4.80,1.50,43,90,130,5.13,0.0%,11.1%,11.1%,0.0%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,19,R,PL
,Uehara Kenta,13,1,3,0,0,0,0,195,45.1,53,7,30,9,1,0,6,31,28,5.56,4.65,3.72,1.37,69,109,101,0.91,3.6%,15.4%,4.6%,10.8%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,25,L,PL
,Urano Hiroshi,25,3,1,0,7,0,0,143,34.1,37,11,34,7,1,0,1,20,19,4.98,6.16,2.91,1.28,77,144,79,-1.18,7.7%,23.8%,4.9%,18.9%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,29,R,PL
,Uwasawa Naoyuki,11,5,3,0,0,0,0,307,71.1,69,5,64,27,1,1,3,34,25,3.15,3.66,3.59,1.35,122,86,97,-0.51,1.6%,20.8%,8.8%,12.1%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,25,R,PL
,Yoshida Kosei,4,1,3,0,0,0,0,59,11.0,18,3,13,7,0,1,0,15,15,12.27,6.73,3.78,2.27,31,157,103,5.54,5.1%,22.0%,11.9%,10.2%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,18,R,PL
,Yoshida Yuki,9,0,0,0,0,0,0,98,21.0,27,6,17,11,0,1,2,14,14,6.00,7.18,4.19,1.81,64,168,114,-1.18,6.1%,17.3%,11.2%,6.1%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,25,R,PL
,Yoshikawa Mitsuo,4,0,3,0,0,0,0,50,10.2,11,2,8,7,0,0,0,8,8,6.75,6.27,4.60,1.69,57,147,125,0.48,4.0%,16.0%,14.0%,2.0%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,31,L,PL
