Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
Miyamoto Takeshi,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,453,0.000,1.000,0.0%,0.0%,,-0.0,50.0%,0.0%,66.7%,50.0%,16.7%,0.0%,31,,L,Yakult Swallows,CL
Nagaoka Hideki,3,15,12,2,3,2,0,0,5,0,0,0,0,0,3,3,0,0,1,0.250,0.400,0.417,0.817,130,0.167,0.333,20.0%,20.0%,1.00,-0.0,11.1%,24.2%,100.0%,33.9%,6.8%,40.0%,24,6,L,Yakult Swallows,CL
Osuna Jose,3,14,12,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0.083,0.214,0.083,0.297,-9,0.000,0.091,7.1%,14.3%,2.00,-0.0,9.1%,13.3%,94.1%,37.5%,3.6%,21.4%,33,3,R,Yakult Swallows,CL
Santana Domingo,3,12,10,2,3,1,0,1,7,5,0,0,0,0,4,2,0,0,0,0.300,0.417,0.700,1.117,205,0.400,0.400,33.3%,16.7%,0.50,-0.0,0.0%,16.7%,75.0%,42.4%,13.6%,58.3%,33,7,R,Yakult Swallows,CL
Suzuki Kyo,1,5,5,1,2,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0.400,0.400,0.600,1.000,175,0.200,0.500,20.0%,0.0%,0.00,-0.0,25.0%,50.0%,81.8%,75.0%,20.0%,20.0%,20,2,R,Yakult Swallows,CL
Takanashi Hirotoshi,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,,100.0%,0.0%,0.00,0.0,,50.0%,50.0%,42.9%,28.6%,100.0%,35,1,R,Yakult Swallows,CL
Takeoka Ryusei,3,10,9,2,3,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0.333,0.400,0.333,0.733,109,0.000,0.429,20.0%,10.0%,0.50,-0.0,28.6%,16.7%,63.6%,41.2%,17.6%,30.0%,25,5,L,Yakult Swallows,CL
Tanaka Haruto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,,100.0%,0.0%,0.00,0.0,,66.7%,0.0%,75.0%,75.0%,100.0%,20,,L,Yakult Swallows,CL
Yamano Taichi,1,3,3,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0.333,0.333,0.333,0.666,89,0.000,1.000,66.7%,0.0%,0.00,-0.0,0.0%,40.0%,50.0%,46.2%,23.1%,66.7%,27,1,L,Yakult Swallows,CL
Yoshimura Kojiro,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-93,0.000,0.000,50.0%,0.0%,0.00,0.0,0.0%,,100.0%,20.0%,0.0%,50.0%,28,1,R,Yakult Swallows,CL
