Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,Team,League
Hosokawa Ryohei,9,23,18,1,7,0,0,0,7,6,2,0,0,1,3,4,0,0,1,0.389,0.478,0.389,0.867,159,0.000,0.438,13.0%,17.4%,1.33,0.3,30.4%,24,UTL,L,Nipponham Fighters,E
Imagawa Yuma,8,26,26,5,10,5,0,1,18,8,0,0,0,0,6,0,0,0,1,0.385,0.385,0.692,1.077,216,0.307,0.474,23.1%,0.0%,0.00,-0.0,26.9%,29,7,R,Nipponham Fighters,E
Kamikawabata Daigo,3,13,11,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0.091,0.231,0.091,0.322,2,0.000,0.100,7.7%,15.4%,2.00,-0.0,23.1%,29,4,L,Nipponham Fighters,E
Kiyomiya Kotaro,5,20,15,6,5,1,0,3,15,6,0,0,0,0,3,4,0,1,0,0.333,0.500,1.000,1.500,336,0.667,0.222,15.0%,20.0%,1.33,-0.0,50.0%,27,3,L,Nipponham Fighters,E
Lin Lyle Chia-Cheng,4,9,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.111,0.000,0.111,-59,0.000,0.000,11.1%,11.1%,1.00,-0.0,22.2%,29,2,R,Nipponham Fighters,E
Mannami Chusei,5,20,19,4,11,2,1,0,15,1,0,0,0,0,2,1,0,0,0,0.579,0.600,0.789,1.389,307,0.210,0.647,10.0%,5.0%,0.50,-0.0,15.0%,26,9,R,Nipponham Fighters,E
Miyazaki Kazuki,9,30,28,4,9,2,1,1,16,3,0,1,0,0,4,2,0,0,1,0.321,0.367,0.571,0.938,177,0.250,0.348,13.3%,6.7%,0.50,-0.3,23.3%,24,7,R,Nipponham Fighters,E
Myose Ryosuke,8,28,28,1,6,1,0,1,10,3,1,0,0,0,9,0,0,0,2,0.214,0.214,0.357,0.571,71,0.143,0.278,32.1%,0.0%,0.00,0.2,35.7%,20,4,R,Nipponham Fighters,E
Nakashima Takuya,5,16,15,0,1,0,0,0,1,0,1,0,0,0,6,1,0,0,0,0.067,0.125,0.067,0.192,-36,0.000,0.111,37.5%,6.2%,0.17,0.2,43.8%,35,4,L,Nipponham Fighters,E
Ohtsuka Ruan,8,31,29,5,9,2,0,1,14,6,0,0,0,1,8,1,0,0,0,0.310,0.323,0.483,0.806,139,0.173,0.381,25.8%,3.2%,0.12,-0.0,32.3%,22,6,L,Nipponham Fighters,E
