                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%     BB%    K-BB%    GB% Chase%   Con% SwStr%   CSW%  FB Velo                Team Age  T League
33            Fujii Reira   5   0   0   0    0   0    0   32    5.2   11   1    7   3    0   1   0   8   8  12.71   5.09   3.55  2.47   27  135     97    7.62   3.1%   21.9%    9.4%    12.5%  42.9%  19.4%  79.1%   9.6%  24.0%     89.7      Hiroshima Carp  21  R     CL
34           Horie Atsuya  51   5   4   0   17   0    0  202   42.1   48   4   29  25    2   1   3  25  20   4.25   4.85   4.60  1.72   81  128    126   -0.60   2.0%   14.4%   12.4%     2.0%  59.6%  25.3%  73.1%  12.6%  26.1%     92.1      Hiroshima Carp  24  L     CL
35           Kemna Makoto  40   2   2   0   12   0    0  175   39.1   45   4   28  15    1   2   2  20  20   4.58   4.35   4.06  1.53   75  115    111    0.23   2.3%   16.0%    8.6%     7.4%  61.5%  20.5%  84.1%   7.2%  23.6%     92.5      Hiroshima Carp  26  R     CL
36       Kikuchi Yasunori  33   2   1   0    3   0    0  140   31.2   31   3   25  13    2   3   0   7   6   1.71   4.32   3.94  1.39  201  114    108   -2.61   2.1%   17.9%    9.3%     8.6%  41.1%  25.7%  77.0%  10.8%  25.5%     89.1      Hiroshima Carp  31  R     CL
37      Kobayashi Tatsuto   1   0   0   0    0   0    0   20    3.2    6   0    6   2    0   0   1   6   4   9.82   1.52   2.80  2.18   35   40     77    8.30   0.0%   30.0%   10.0%    20.0%  41.7%  20.5%  73.2%  13.1%  26.2%     90.5      Hiroshima Carp            CL
38              Kuri Aren  25  13   9   0    0   2    0  647  149.0  150  18  102  51    1   8   4  73  63   3.81   4.54   4.01  1.35   90  120    110   -0.73   2.8%   15.8%    7.9%     7.9%   nan%   nan%   nan%   nan%   nan%      NaN      Hiroshima Carp  29  R     CL
39      Kuribayashi Ryoji  53   0   1  37    0   0    0  201   52.1   23   1   81  28    2   1   1   5   5   0.86   1.97   2.16  0.97  400   52     59   -1.11   0.5%   40.3%   13.9%    26.4%  53.8%  30.5%  61.5%  18.5%  32.6%     92.7      Hiroshima Carp            CL
40       Morishita Masato  24   8   7   0    0   1    1  672  163.1  144  16  132  52    3   3   6  55  54   2.98   3.82   3.61  1.20  115  101     99   -0.84   2.4%   19.6%    7.7%    11.9%  47.9%  22.8%  78.8%  10.4%  26.7%     92.1      Hiroshima Carp  23  R     CL
41        Moriura Daisuke  54   3   3   0   17   0    0  206   48.1   39   3   41  21    1   4   3  18  17   3.17   3.82   3.83  1.24  108  101    105   -0.65   1.5%   19.9%   10.2%     9.7%  61.3%  22.4%  70.0%  13.6%  28.4%     89.2      Hiroshima Carp            CL
42          Nakamura Yuta   3   0   3   0    0   0    0   65   13.0   21   3    6   5    0   0   0  17  16  11.08   6.38   4.65  2.00   31  169    127    4.70   4.6%    9.2%    7.7%     1.5%  37.0%  23.7%  89.7%   4.8%  22.1%     84.9      Hiroshima Carp  25  R     CL
43             Nakata Ren  23   0   0   0    6   0    0   89   19.0   20   3   16  12    0   1   2  14  10   4.74   5.57   4.35  1.68   73  147    119   -0.83   3.4%   18.0%   13.5%     4.5%  41.7%  20.5%  76.9%   9.4%  26.0%     88.6      Hiroshima Carp  30  R     CL
44         Nakazaki Shota   4   0   0   0    0   0    0   24    4.0    9   0    1   2    0   0   0   8   6  13.50   4.15   5.22  2.75   25  110    143    9.35   0.0%    4.2%    8.3%    -4.2%  50.0%  10.8%  90.2%   4.3%  23.4%     89.3      Hiroshima Carp  28  R     CL
45    Neverauskas Dovydas   1   0   1   0    0   0    0   15    2.2    3   0    2   5    0   0   1   3   3  10.13   7.28   6.80  3.00   34  192    186    2.85   0.0%   13.3%   33.3%   -20.0%  12.5%  10.9%  84.6%   5.0%  20.0%     92.2      Hiroshima Carp            CL
46          Nomura Yusuke   8   0   4   0    0   0    0  171   35.2   48   6   29  17    2   2   2  25  25   6.31   5.31   4.10  1.82   55  140    112    1.00   3.5%   17.0%    9.9%     7.0%  43.5%  17.1%  79.9%   7.8%  27.2%     84.2      Hiroshima Carp  32  R     CL
47         Ohmichi Haruki  24   4   4   0    3   0    0  230   53.0   50   4   35  25    0   2   1  30  28   4.75   4.34   4.37  1.42   72  115    120    0.41   1.7%   15.2%   10.9%     4.3%  48.5%  22.4%  81.6%   7.7%  26.5%     89.5      Hiroshima Carp            CL
48          Ohsera Daichi  23  10   5   0    0   1    1  600  146.2  136  12  102  31    2   5   1  57  50   3.07   3.56   3.62  1.14  112   94     99   -0.49   2.0%   17.0%    5.2%    11.8%  45.9%  28.7%  77.6%  11.1%  25.6%     90.3      Hiroshima Carp  30  R     CL
49       Shimauchi Sotaro  51   0   2   0   15   0    0  205   49.0   44   4   51  14    0   0   2  20  17   3.12   2.99   3.00  1.18  110   79     82    0.13   2.0%   24.9%    6.8%    18.0%  39.6%  30.6%  74.9%  13.5%  25.8%     93.8      Hiroshima Carp  24  R     CL
50        Takahashi Kouya  15   5   7   0    0   0    0  326   73.1   85   9   54  24    0   2   1  44  43   5.28   4.34   3.88  1.49   65  115    106    0.94   2.8%   16.6%    7.4%     9.2%  40.8%  24.6%  80.7%   8.9%  26.7%     88.0      Hiroshima Carp  22  L     CL
51       Takahashi Mikiya  27   0   0   0    0   0    0  108   26.1   20   3   16  10    0   1   1  10   4   1.37   4.67   4.24  1.14  251  124    116   -3.30   2.8%   14.8%    9.3%     5.6%  37.8%  19.4%  87.6%   5.3%  23.7%     88.3      Hiroshima Carp  24  L     CL
52         Tamamura Shogo  17   4   7   0    0   0    0  432  101.0   95  13   67  40    2   1   0  47  43   3.83   4.72   4.17  1.34   90  125    115   -0.89   3.0%   15.5%    9.3%     6.2%  38.4%  21.4%  84.2%   7.2%  25.3%     88.0      Hiroshima Carp  20  L     CL
53          Tokoda Hiroki  16   5   4   0    1   1    1  374   87.1   91   5   80  24    0   2   1  32  31   3.19   2.96   3.30  1.32  108   78     91    0.23   1.3%   21.4%    6.4%    15.0%  43.5%  28.5%  75.8%  11.5%  27.3%     89.7      Hiroshima Carp  26  L     CL
54          Yabuta Kazuki   1   0   0   0    0   0    0   20    4.2    3   0    2   5    0   0   1   2   2   3.86   5.51   6.30  1.71   89  146    173   -1.65   0.0%   10.0%   25.0%   -15.0%  61.5%  13.3%  86.7%   6.5%  16.1%     88.9      Hiroshima Carp  28  R     CL
55          Yasaki Takuya   4   0   0   0    0   0    0   34    7.0    7   1    6   7    0   0   0   9   9  11.57   6.30   5.09  2.00   30  167    140    5.27   2.9%   17.6%   20.6%    -2.9%  47.6%  19.0%  80.7%   7.2%  25.0%     91.8      Hiroshima Carp  26  R     CL
56          Ariyoshi Yuki   1   0   1   0    0   0    0   27    6.2    8   1    3   0    0   0   0   2   2   2.70   4.20   3.69  1.20  133  106    101   -1.50   3.7%   11.1%    0.0%    11.1%  70.8%  43.1%  87.0%   6.2%  26.0%     87.9       DeNA BayStars            CL
57          Azuma Katsuki   3   1   2   0    0   0    0   75   19.2   10   1   20   4    0   0   0   5   5   2.29   2.39   2.67  0.71  157   60     73   -0.10   1.3%   26.7%    5.3%    21.3%  37.3%  28.9%  77.7%  10.2%  32.0%     88.1       DeNA BayStars  25  L     CL
58          Escobar Edwin  61   4   4   1   32   0    0  229   58.2   39   7   50  11    0   4   0  23  22   3.38   3.77   3.10  0.85  106   95     85   -0.39   3.1%   21.8%    4.8%    17.0%  48.2%  31.7%  74.5%  14.1%  28.0%     95.3       DeNA BayStars  29  L     CL
59     Hamaguchi Haruhiro  17   5   7   0    0   1    1  387   91.1   73   8   84  52    1   3   5  42  40   3.94   4.26   3.97  1.37   91  108    109   -0.32   2.1%   21.7%   13.4%     8.3%  50.6%  23.3%  72.8%  10.4%  29.7%     87.8       DeNA BayStars  26  L     CL
60          Hirata Shingo  38   2   0   1    3   0    0  185   41.2   41   6   34  21    1   2   1  21  19   4.10   5.05   4.10  1.49   88  128    112   -0.95   3.2%   18.4%   11.4%     7.0%  43.0%  21.6%  83.1%   7.3%  26.5%     90.6       DeNA BayStars  31  R     CL
61             Ikeya Sota   6   0   0   0    0   0    0   25    6.2    2   0    2   2    0   1   0   0   0   0.00   3.90   4.80  0.60  999   99    132   -3.90   0.0%    8.0%    8.0%     0.0%  55.0%  22.9%  85.7%   6.0%  25.0%     87.8       DeNA BayStars            CL
62          Imanaga Shota  19   5   5   0    0   1    0  476  120.0   97  16  110  26    3   4   0  43  41   3.08   3.80   3.04  1.02  117   96     83   -0.72   3.4%   23.1%    5.5%    17.6%  44.1%  29.2%  72.1%  13.4%  29.8%     90.3       DeNA BayStars  27  L     CL
63            Irie Taisei   4   0   4   0    0   0    0   80   18.1   22   4   14   5    0   1   1  18  16   7.85   5.44   3.67  1.47   46  138    101    2.41   5.0%   17.5%    6.2%    11.2%  55.9%  30.4%  83.6%   7.9%  26.8%     91.2       DeNA BayStars            CL
