                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%     BB%    K-BB%    GB% Chase%   Con% SwStr%   CSW%  FB Velo                Team Age  T League
192          Vargas Cesar   5   1   1   0    1   0    0   45    9.0   13   4    7   4    0   1   2  11  11  11.00   9.04   4.13  1.89   31  239    113    1.96   8.9%   15.6%    8.9%     6.7%  42.4%  34.4%  70.2%  14.8%  29.6%     92.2      ORIX Buffaloes            PL
193      Yamada Nobuyoshi  43   1   0   0    9   0    0  186   43.2   38   2   35  19    2   1   0  14  11   2.27   3.52   3.94  1.31  152   93    108   -1.25   1.1%   18.8%   10.2%     8.6%  36.6%  24.5%  76.5%  10.2%  27.8%     86.8      ORIX Buffaloes  29  L     PL
194    Yamamoto Yoshinobu  26  18   5   0    0   6    4  736  193.2  124   7  206  40    1   2   3  37  30   1.39   2.15   2.54  0.85  247   57     70   -0.76   1.0%   28.0%    5.4%    22.6%  59.1%  32.1%  70.9%  14.4%  31.5%     94.5      ORIX Buffaloes  22  R     PL
195       Yamaoka Taisuke  12   3   4   0    0   0    0  297   69.1   64   7   74  20    0   3   1  30  30   3.89   3.33   2.98  1.21   88   88     82    0.56   2.4%   24.9%    6.7%    18.2%  49.2%  23.9%  78.5%   8.9%  30.2%     90.3      ORIX Buffaloes  25  R     PL
196      Yamasaki Sachiya  22   8  10   0    0   0    0  473  116.1  111  13   75  24    0   6   2  47  46   3.56   4.09   3.72  1.16   97  108    102   -0.53   2.7%   15.9%    5.1%    10.8%  47.1%  25.2%  79.8%   9.0%  30.4%     87.7      ORIX Buffaloes  28  L     PL
197     Yamazaki Soichiro   9   2   2   0    0   0    0  169   39.0   32   1   29  20    0   5   0  16  16   3.69   3.92   4.27  1.33   93  104    117   -0.23   0.6%   17.2%   11.8%     5.3%  35.1%  22.9%  81.2%   8.2%  24.1%     92.1      ORIX Buffaloes  23  R     PL
198           Yoshida Ryo  18   1   1   0    4   0    0   62   17.0    7   3   17   4    0   0   0   5   4   2.12   4.15   2.70  0.65  162  110     74   -2.03   4.8%   27.4%    6.5%    21.0%  43.9%  27.9%  66.7%  14.8%  32.4%     89.6      ORIX Buffaloes  24  R     PL
199          Azuma Yusuke  37   1   0   0    4   0    0  149   34.1   38   4   29   9    0   2   2  16  11   2.88   3.94   3.46  1.37  127   98     95   -1.06   2.7%   19.5%    6.0%    13.4%  57.4%  27.8%  76.5%  11.4%  27.2%     91.4       Lotte Marines  25  R     PL
200            Dohi Seiya   1   0   1   0    0   0    0   11    2.0    6   1    0   0    0   0   0   3   3  13.50   9.65   4.80  3.00   27  239    132    3.85   9.1%    0.0%    0.0%     0.0%  36.4%  28.6%  90.0%   5.4%  10.8%     86.4       Lotte Marines  25  L     PL
201            Doi Hideto  14   0   0   0    0   0    0   65   14.1   15   3   10  11    0   1   0  12  12   7.53   6.99   4.95  1.81   49  173    136    0.54   4.6%   15.4%   16.9%    -1.5%  44.2%  15.5%  82.1%   7.7%  24.7%     90.7       Lotte Marines  21  R     PL
202           Flores Jose  10   1   0   0    0   0    0   52   13.0    9   0   11   5    1   0   2   3   2   1.38   2.61   3.65  1.08  266   65    100   -1.23   0.0%   21.2%    9.6%    11.5%  48.5%  27.3%  82.2%   9.1%  22.6%     92.7       Lotte Marines  32  R     PL
203           Futaki Kota  22   5   7   0    0   0    0  494  117.0  119  24   77  28    1   4   3  61  57   4.38   5.32   3.81  1.26   84  132    104   -0.94   4.9%   15.6%    5.7%     9.9%  37.4%  27.9%  82.0%   8.3%  26.8%     86.7       Lotte Marines  25  R     PL
204        Herrmann Frank  45   1   1   0   24   0    0  189   43.1   47   7   38  13    1   1   3  26  25   5.19   4.47   3.48  1.38   71  111     95    0.72   3.7%   20.1%    6.9%    13.2%  39.4%  25.4%  82.7%   8.1%  26.6%     91.5       Lotte Marines  37  R     PL
205        Ishikawa Ayumu  12   6   3   0    0   2    0  310   80.0   73  10   42   9    0   0   0  30  30   3.38   4.07   3.74  1.02  109  101    102   -0.69   3.2%   13.5%    2.9%    10.6%  50.2%  31.6%  81.5%   9.2%  27.7%     89.1       Lotte Marines  33  R     PL
206        Iwashita Daiki  23   8   8   0    1   0    0  514  120.0  110  14   87  46    1   2   7  59  59   4.43   4.42   4.00  1.30   83  110    110    0.01   2.7%   16.9%    8.9%     8.0%  41.1%  24.9%  79.8%   9.1%  26.5%     91.2       Lotte Marines  24  R     PL
207         Karakawa Yuki  38   4   2   0   22   0    0  150   36.1   29   4   26  13    0   1   1  11  11   2.72   4.31   3.93  1.16  135  107    108   -1.59   2.7%   17.3%    8.7%     8.7%  34.5%  22.6%  76.4%  11.7%  26.6%     89.8       Lotte Marines  31  R     PL
208       Kawamura Tokito  20   4   1   0    0   0    0  178   41.2   39   4   28  17    3   0   0  16  16   3.46   4.28   4.18  1.34  106  106    115   -0.82   2.2%   15.7%    9.6%     6.2%  49.2%  23.1%  81.4%   8.4%  25.1%     88.7       Lotte Marines            PL
209        Kuniyoshi Yuki  25   2   0   2   17   0    0  106   25.0   18   0   19  17    2   0   2   4   4   1.44   3.67   4.61  1.40  255   91    126   -2.23   0.0%   17.9%   16.0%     1.9%  44.6%  20.7%  82.2%   7.8%  24.6%     93.5       Lotte Marines            PL
210          Masuda Naoya  67   3   6  38    0   0    0  248   64.1   43   5   68  15    1   0   2  17  16   2.24   2.75   2.66  0.90  164   68     73   -0.51   2.0%   27.4%    6.0%    21.4%  39.8%  31.0%  73.8%  13.4%  26.8%     92.1       Lotte Marines  31  R     PL
211           Mima Manabu  21   6   7   0    0   0    0  506  115.1  139  15   92  32    1   4   4  72  63   4.92   4.18   3.61  1.48   75  104     99    0.74   3.0%   18.2%    6.3%    11.9%  46.1%  29.6%  78.5%  10.6%  26.7%     90.2       Lotte Marines  34  R     PL
212         Minami Masaki   1   0   0   0    1   0    0    1    0.1    0   0    1   0    0   0   0   0   0   0.00  -2.85  -5.20  0.00  999  -71   -143    2.85   0.0%  100.0%    0.0%   100.0%   0.0%  33.3%  50.0%  28.6%  42.9%     90.7       Lotte Marines  32  R     PL
213        Motomae Fumiya   8   1   2   0    0   0    0  164   37.2   41   7   17  15    0   2   0  20  20   4.78   6.02   4.68  1.49   77  149    128   -1.24   4.3%   10.4%    9.1%     1.2%  40.0%  21.2%  87.8%   5.4%  22.7%     88.9       Lotte Marines  23  L     PL
214      Nakamura Toshiya  14   0   2   0    0   0    0  172   38.0   40   3   27  18    1   1   3  19  13   3.08   4.26   4.28  1.53  119  106    117   -1.18   1.7%   15.7%   10.5%     5.2%  37.3%  22.3%  78.6%   9.4%  25.5%     87.8       Lotte Marines  24  L     PL
215         Narita Kakeru   3   0   0   0    0   0    0   14    3.0    3   0    3   2    0   0   0   0   0   0.00   3.15   4.09  1.67  999   78    112   -3.15   0.0%   21.4%   14.3%     7.1%  33.3%  10.7%  70.0%  10.9%  29.1%     85.2       Lotte Marines  23  L     PL
216           Ohmine Yuta   8   1   1   0    0   0    0   51   11.0   15   1    7   2    0   0   2   6   5   4.09   3.61   3.82  1.55   90   89    105    0.48   2.0%   13.7%    3.9%     9.8%  52.4%  26.4%  85.9%   6.3%  25.4%     90.9       Lotte Marines  33  R     PL
217          Ojima Kazuya  24  10   4   0    0   3    2  606  146.0  123  16   92  51    1   6   2  65  61   3.76   4.49   4.12  1.19   98  111    113   -0.73   2.6%   15.2%    8.4%     6.8%  53.2%  21.1%  80.2%   8.9%  25.5%     89.2       Lotte Marines  24  L     PL
218            Ono Fumiya  49   0   3   0    8   0    0  220   51.2   37   4   56  26    1   2   5  25  20   3.48   3.62   3.44  1.22  105   90     94   -0.14   1.8%   25.5%   11.8%    13.6%  52.2%  25.6%  73.9%  11.7%  28.3%     94.3       Lotte Marines  24  R     PL
219           Romero Enny   4   1   0   0    0   0    0   95   23.1   19   2   20   9    0   0   1   4   4   1.54   3.71   3.64  1.20  238   92    100   -2.17   2.1%   21.1%    9.5%    11.6%  56.1%  25.6%  75.0%  11.6%  26.8%     93.0       Lotte Marines            PL
220        Sasaki Chihaya  54   8   1   1   26   0    0  222   57.0   36   4   28  14    1   2   0  13   8   1.26   3.92   4.17  0.88  291   97    114   -2.66   1.8%   12.6%    6.3%     6.3%  52.0%  23.1%  81.1%   8.6%  28.2%     86.9       Lotte Marines  27  R     PL
221           Sasaki Roki  11   3   2   0    0   0    0  258   63.1   51   5   68  16    1   0   3  24  16   2.27   2.79   2.78  1.06  162   69     76   -0.52   1.9%   26.4%    6.2%    20.2%  51.2%  27.6%  77.8%  10.8%  29.6%     94.8       Lotte Marines  19  R     PL
222          Suzuki Shota  23   1   4   0    1   0    0  341   79.1   78  10   76  28    0   2   2  38  36   4.08   4.01   3.39  1.34   90   99     93    0.07   2.9%   22.3%    8.2%    14.1%  51.1%  22.6%  78.9%   9.1%  27.5%     90.2       Lotte Marines            PL
223       Tanaka Yasuhiro  38   1   2   0   10   0    0  156   33.2   42   3   20  13    5   2   3  18  17   4.54   4.46   4.35  1.63   81  111    119    0.08   1.9%   12.8%    8.3%     4.5%  53.3%  24.5%  81.0%   9.1%  23.0%     90.3       Lotte Marines  34  R     PL
224            Tojo Taiki   5   0   0   0    1   0    0   20    3.1    7   0    0   5    0   0   0   2   2   5.40   7.65   7.30  3.60   68  190    200   -2.25   0.0%    0.0%   25.0%   -25.0%  40.0%  13.5%  88.0%   4.1%  24.7%     88.0       Lotte Marines  29  R     PL
225       Yokoyama Rikuto  10   0   0   0    0   0    0   48    9.2   14   1   11   3    0   2   0   6   5   4.66   3.77   3.13  1.76   79   94     86    0.89   2.1%   22.9%    6.2%    16.7%  43.8%  25.3%  75.3%  11.8%  28.7%     91.7       Lotte Marines  19  R     PL
226           Bandoh Yugo  44   0   2   1   16   0    0  165   39.1   28   4   41  17    1   2   1  13  11   2.52   3.84   3.35  1.14  141   98     92   -1.32   2.4%   24.8%   10.3%    14.5%  51.0%  30.1%  72.6%  12.7%  27.8%     92.3      SoftBank Hawks  25  R     PL
227           Furuya Yuto  13   1   1   0    2   0    0   56   13.1    7   0   13   7    0   1   0   4   3   2.03   3.00   3.73  1.05  176   77    102   -0.97   0.0%   23.2%   12.5%    10.7%  71.4%  17.4%  74.5%  11.1%  25.5%     93.4      SoftBank Hawks  22  L     PL
228       Higashihama Nao  14   4   4   0    0   0    0  326   75.1   85   7   61  22    0   3   0  36  31   3.70   3.74   3.60  1.42   96   95     99   -0.04   2.1%   18.7%    6.7%    12.0%  47.9%  25.2%  77.7%  10.5%  26.5%     90.9      SoftBank Hawks  31  R     PL
229        Ishikawa Shuta  28   6   9   0    0   0    0  653  156.1  135  22  134  51    0  17   3  70  59   3.40   4.57   3.53  1.19  105  117     97   -1.17   3.4%   20.5%    7.8%    12.7%  41.6%  24.3%  75.9%  11.1%  28.9%     90.2      SoftBank Hawks  29  R     PL
230           Iwasaki Sho  48   2   5   6   14   0    0  179   45.1   37   7   56  11    2   0   1  21  21   4.17   3.42   2.29  1.06   85   87     63    0.75   3.9%   31.3%    6.1%    25.1%  52.5%  34.7%  68.5%  16.9%  30.1%     94.9      SoftBank Hawks  31  R     PL
231         Izumi Keisuke  31   1   2   0    6   0    0  111   26.1   20   4   30  13    0   3   2  10   8   2.73   4.67   3.27  1.25  131  119     90   -1.94   3.6%   27.0%   11.7%    15.3%  47.7%  24.7%  71.0%  12.6%  29.0%     92.5      SoftBank Hawks  24  R     PL
232         Kaino Hiroshi  22   0   2   1    4   0    0   88   20.2   16   3   25  10    0   2   1  10  10   4.35   4.36   3.10  1.26   82  111     85   -0.01   3.4%   28.4%   11.4%    17.0%  51.0%  31.3%  62.4%  17.5%  31.1%     95.7      SoftBank Hawks  24  R     PL
233       Kasaya Shunsuke  16   3   4   0    0   0    0  262   59.0   52  12   64  35    0   2   0  30  28   4.27   5.51   3.69  1.47   83  141    101   -1.24   4.6%   24.4%   13.4%    11.1%  49.1%  23.5%  74.5%  10.7%  29.0%     91.5      SoftBank Hawks  24  L     PL
234     Kawahara Hiroyuki   3   0   0   0    0   0    0   14    2.1    3   0    2   3    0   1   0   2   2   7.71   6.58   5.51  2.57   46  168    151    1.13   0.0%   14.3%   21.4%    -7.1%  62.5%  17.2%  80.0%   8.5%  23.7%     91.7      SoftBank Hawks  29  L     PL
235         Kayama Shinya  58   1   0   0   19   0    0  121   28.2   22   2   27  13    1   1   0  16  15   4.71   3.64   3.64  1.22   76   93    100    1.07   1.7%   22.3%   10.7%    11.6%  37.7%  24.7%  72.6%  12.3%  30.9%     88.8      SoftBank Hawks  31  L     PL
236         Martinez Nick  21   9   4   0    0   0    0  553  140.2  108   6  138  38    0   5   1  25  25   1.60   2.66   2.99  1.04  223   68     82   -1.06   1.1%   25.0%    6.9%    18.1%  50.3%  29.0%  71.8%  13.7%  29.7%     93.9      SoftBank Hawks            PL
237        Matsumoto Yuki  33   3   3   0    4   0    0  306   73.2   64   9   59  28    1   2   0  33  31   3.79   4.36   3.79  1.25   94  111    104   -0.57   2.9%   19.3%    9.2%    10.1%  45.6%  21.9%  80.6%   8.6%  25.9%     90.6      SoftBank Hawks  25  R     PL
238         Moinelo Livan  33   1   0   5   14   0    0  128   31.1   15   2   42  19    2   1   0   6   4   1.15   3.22   3.00  1.09  310   82     82   -2.07   1.6%   32.8%   14.8%    18.0%  45.2%  33.1%  62.5%  19.1%  33.2%     94.8      SoftBank Hawks  25  L     PL
239            Mori Yuito  30   1   3  15    0   0    0  118   29.0   20   6   26  10    0   0   0  13  13   4.03   5.08   3.44  1.03   88  130     94   -1.05   5.1%   22.0%    8.5%    13.6%  37.0%  27.3%  74.5%  11.8%  29.0%     90.5      SoftBank Hawks  29  R     PL
240            Niho Akira   2   0   1   0    0   0    0   53   11.1   12   0    8   5    0   1   0   7   6   4.76   3.33   4.23  1.50   75   85    116    1.43   0.0%   15.1%    9.4%     5.7%  52.6%  20.0%  81.2%   8.2%  23.0%     90.2      SoftBank Hawks  31  R     PL
241           Ogata Shuto   8   0   0   0    0   0    0   34   10.1    3   1    9   2    0   0   0   1   1   0.87   3.25   2.74  0.48  410   83     75   -2.38   2.9%   26.5%    5.9%    20.6%  34.8%  39.3%  73.2%  14.1%  33.3%     91.4      SoftBank Hawks  22  R     PL
242        Ohtake Koutaro   2   0   1   0    1   0    0   22    4.0    7   0    1   3    0   0   0   7   7  15.75   4.90   5.71  2.50   23  125    157   10.85   0.0%    4.5%   13.6%    -9.1%  29.4%  19.6%  92.7%   3.2%  19.1%     84.3      SoftBank Hawks  26  L     PL
243       Ohzeki Tomohisa  12   0   0   0    0   0    0   88   23.0   12   1   13  10    0   2   0   6   6   2.35   4.15   4.46  0.96  152  106    122   -1.80   1.1%   14.8%   11.4%     3.4%  47.6%  18.1%  88.7%   4.7%  24.3%     90.1      SoftBank Hawks  23  L     PL
244             Rea Colin   6   3   1   0    0   1    1  150   40.0   22   3   38  13    0   3   0  10   9   2.03   3.43   3.13  0.88  176   88     86   -1.40   2.0%   25.3%    8.7%    16.7%  43.8%  29.6%  76.6%  10.6%  30.5%     92.2      SoftBank Hawks            PL
245          Senga Koudai  13  10   3   0    0   0    0  340   84.2   60   2   90  27    0   2   7  25  25   2.66   2.36   2.95  1.03  134   60     81    0.30   0.6%   26.5%    7.9%    18.5%  51.8%  28.5%  72.4%  12.2%  29.5%     95.8      SoftBank Hawks  28  R     PL
246    Stewart Jr. Carter  11   0   2   0    1   0    0  112   23.2   21   0   36  21    0   1   4  18  16   6.08   2.90   3.46  1.77   59   74     95    3.18   0.0%   32.1%   18.8%    13.4%  40.7%  22.1%  69.2%  11.9%  31.6%     94.3      SoftBank Hawks  21  R     PL
247       Sugiyama Kazuki  15   2   2   0    1   0    0  117   25.1   13   1   29  31    0   2   1   9   9   3.20   5.28   4.97  1.74  111  135    136   -2.08   0.9%   24.8%   26.5%    -1.7%  41.8%  21.0%  72.7%  10.3%  26.9%     94.4      SoftBank Hawks  23  R     PL
248      Takahashi Jumpei  10   1   1   0    2   0    0   46   11.0    6   0    9   6    0   1   2   1   0   0.00   3.43   4.15  1.09  999   87    114   -3.43   0.0%   19.6%   13.0%     6.5%  46.7%  22.4%  75.0%  10.3%  24.6%     92.9      SoftBank Hawks  24  R     PL
249         Takahashi Rei  11   1   1   0    0   0    0  168   34.0   31   3   14  32    0   6   0  25  22   5.82   6.83   5.87  1.85   61  174    161   -1.01   1.8%    8.3%   19.0%   -10.7%  61.2%  11.9%  86.6%   5.1%  22.8%     80.3      SoftBank Hawks  25  R     PL
250          Takeda Shota  12   4   5   0    0   1    0  314   77.1   66   7   73  24    0   2   2  23  23   2.68   3.45   3.24  1.16  133   88     89   -0.77   2.2%   23.2%    7.6%    15.6%  50.7%  25.4%  75.1%  10.8%  28.4%     90.1      SoftBank Hawks  28  R     PL
251          Tanaka Seigi  18   0   0   0    1   0    0   67   16.2    9   2   14   8    0   0   3   5   4   2.16   4.47   3.90  1.02  165  114    107   -2.31   3.0%   20.9%   11.9%     9.0%  44.4%  24.3%  79.8%   8.7%  25.7%     93.7      SoftBank Hawks  26  R     PL
252        Taura Fumimaru  19   1   0   0    1   0    0   90   21.1   22   1   17   7    1   0   2   8   8   3.38   3.15   3.69  1.36  105   80    101    0.23   1.1%   18.9%    7.8%    11.1%  56.5%  19.6%  81.9%   7.5%  27.5%     87.5      SoftBank Hawks  21  L     PL
253          Tsumori Yuki  45   1   0   0   11   0    0  132   33.0   24   2   43   8    1   2   0   8   8   2.18   2.24   2.15  0.97  163   57     59   -0.06   1.5%   32.6%    6.1%    26.5%  50.0%  22.9%  73.7%  12.7%  29.2%     92.0      SoftBank Hawks  23  R     PL
254         Wada Tsuyoshi  18   5   6   0    0   0    0  396   94.1   95  14   83  27    1   3   0  49  47   4.48   4.28   3.39  1.29   80  109     93    0.20   3.5%   21.0%    6.8%    14.1%  45.5%  24.1%  76.1%  11.7%  28.9%     87.8      SoftBank Hawks  40  L     PL
255         Watanabe Yuta   6   0   0   0    1   0    0   18    4.0    6   0    4   1    0   0   0   2   2   4.50   1.90   3.13  1.75   79   49     86    2.60   0.0%   22.2%    5.6%    16.7%  46.2%  22.2%  73.3%  10.4%  35.1%     84.7      SoftBank Hawks  29  L     PL
256       Anraku Tomohiro  58   3   3   2   22   0    0  240   56.1   45   4   50  33    0   2   1  13  13   2.08   4.16   4.09  1.38  167  109    112   -2.08   1.7%   20.8%   13.8%     7.1%  49.0%  23.3%  75.8%  10.6%  27.1%     89.9      Rakuten Eagles  24  R     PL
257         Busenitz Alan  31   1   0   0    4   0    0  124   29.0   32   1   23   9    0   0   2  16  16   4.97   2.95   3.67  1.41   70   77    101    2.02   0.8%   18.5%    7.3%    11.3%  64.1%  20.4%  80.3%   8.5%  28.6%     94.9      Rakuten Eagles  30  R     PL
258            Fukui Yuya  19   0   0   0    0   0    0   82   20.1   17   3   21   6    0   0   1  10  10   4.43   3.89   2.97  1.13   78  102     81    0.54   3.7%   25.6%    7.3%    18.3%  40.0%  33.9%  73.0%  14.2%  27.9%     90.5      Rakuten Eagles  33  R     PL
259     Fukuyama Hiroyuki  24   0   2   0    4   0    0  101   22.2   23   3   13  12    0   0   0   6   6   2.38   5.31   4.70  1.54  146  139    129   -2.93   3.0%   12.9%   11.9%     1.0%  50.7%  24.1%  82.4%   8.0%  25.3%     88.2      Rakuten Eagles  32  R     PL
260     Hayakawa Takahisa  24   9   7   0    0   1    1  565  137.2  132  11  127  30    1   2   2  59  59   3.86   3.04   3.08  1.18   90   80     85    0.82   1.9%   22.5%    5.3%    17.2%  47.2%  24.4%  78.0%  10.8%  28.9%     90.1      Rakuten Eagles            PL
261       Ishibashi Ryota   3   0   1   0    0   0    0   56   13.0   12   2    4   6    0   1   2   5   5   3.46   6.15   5.16  1.38  100  161    141   -2.69   3.6%    7.1%   10.7%    -3.6%  40.0%  25.6%  87.4%   5.1%  23.6%     89.5      Rakuten Eagles  30  R     PL
262       Kamata Yoshinao   1   0   0   0    0   0    0   19    4.0    8   1    2   1    0   0   0   5   5  11.25   6.15   4.27  2.25   31  161    117    5.10   5.3%   10.5%    5.3%     5.3%  37.5%  22.2%  81.8%   9.5%  23.8%     89.6      Rakuten Eagles  27  R     PL
263        Kishi Takayuki  25   9  10   0    0   1    1  620  149.0  149  17  131  34    0   1   1  62  57   3.44   3.58   3.24  1.23  101   94     89   -0.14   2.7%   21.1%    5.5%    15.6%  37.8%  24.3%  78.0%  10.0%  29.8%     88.3      Rakuten Eagles  36  R     PL
264       Makita Kazuhisa  17   0   0   0    2   0    0   72   16.1   17   2    5   3    0   1   0  10   6   3.31   4.87   4.52  1.22  105  127    124   -1.56   2.8%    6.9%    4.2%     2.8%  41.3%   9.8%  92.6%   3.4%  26.2%     80.0      Rakuten Eagles  36  R     PL
265           Matsui Yuki  43   0   2  24    0   0    0  172   43.0   22   1   59  21    1   1   1   3   3   0.63   2.25   2.59  1.00  552   59     71   -1.62   0.6%   34.3%   12.2%    22.1%  47.8%  32.5%  64.8%  17.5%  33.1%     91.0      Rakuten Eagles  25  L     PL
266        Morihara Kohei  34   0   0   0    3   0    0  132   32.1   29   3   30   8    2   0   0  10  10   2.78   3.25   3.13  1.14  125   85     86   -0.47   2.3%   22.7%    6.1%    16.7%  40.2%  24.9%  79.1%  11.5%  24.9%     91.9      Rakuten Eagles  29  R     PL
267      Nishiguchi Naoto  33   5   2   0    3   0    0  239   57.2   46   7   55  23    2   2   1  23  21   3.28   4.12   3.46  1.20  106  108     95   -0.84   2.9%   23.0%    9.6%    13.4%  33.3%  22.8%  77.2%  10.4%  27.3%     91.9      Rakuten Eagles  24  R     PL
268     Norimoto Takahiro  23  11   5   0    0   2    1  584  144.2  123  18  152  35    0   3   3  56  51   3.17   3.46   2.80  1.09  110   91     77   -0.29   3.1%   26.0%    6.0%    20.0%  50.9%  28.8%  75.1%  11.6%  29.1%     93.0      Rakuten Eagles  30  R     PL
269        Sakai Tomohito  54   4   3   3   28   0    0  206   51.1   33   3   44  24    1   0   1  15  13   2.28   3.60   3.83  1.11  152   94    105   -1.32   1.5%   21.4%   11.7%     9.7%  49.6%  27.7%  70.5%  13.9%  27.6%     89.4      Rakuten Eagles  28  R     PL
270       Shiomi Takahiro   1   0   0   0    0   0    0   21    5.0    5   0    4   1    0   0   0   2   2   3.60   2.15   3.37  1.20   97   56     92    1.45   0.0%   19.0%    4.8%    14.3%  56.2%  24.2%  80.0%  10.3%  26.9%     86.4      Rakuten Eagles  32  L     PL
271          Sugahara Shu   1   0   0   0    0   0    0   16    2.2    2   0    0   5    0   1   1   5   5  16.88   9.90   7.92  2.63   21  259    217    6.98   0.0%    0.0%   31.2%   -31.2%  50.0%  10.8%  77.8%   6.2%  24.6%     89.9      Rakuten Eagles  27  R     PL
272         Sung Chia-Hao  63   3   3   7   24   0    0  246   60.2   46   2   49  23    2   2   1  18  15   2.23   3.20   3.74  1.14  156   84    103   -0.97   0.8%   19.9%    9.3%    10.6%  54.1%  22.3%  75.6%  12.1%  26.5%     92.5      Rakuten Eagles  28  R     PL
273           Suzuki Sora   5   0   0   0    0   0    0   19    4.1    3   0    5   4    0   0   1   0   0   0.00   3.61   4.27  1.62  999   95    117   -3.61   0.0%   26.3%   21.1%     5.3%  50.0%  21.4%  67.9%  12.2%  29.7%     90.2      Rakuten Eagles  24  L     PL
274         Takada Koichi   3   0   0   0    0   0    0   28    6.2    6   1    6   1    0   1   0   2   1   1.35   4.20   3.01  1.05  257  110     83   -2.85   3.6%   21.4%    3.6%    17.9%  40.0%  23.4%  83.3%   8.3%  28.3%     90.7      Rakuten Eagles            PL
275          Takata Hosei   4   0   1   0    0   0    0   39    7.2   13   1    8   5    0   0   1   9   8   9.39   4.72   4.03  2.35   37  124    111    4.67   2.6%   20.5%   12.8%     7.7%  42.3%  29.5%  75.3%  10.8%  29.9%     90.2      Rakuten Eagles  22  R     PL
276        Takinaka Ryota  20  10   5   0    0   0    0  427  103.2   97  10   75  27    0   4   0  40  37   3.21   3.86   3.68  1.20  108  101    101   -0.65   2.3%   17.6%    6.3%    11.2%  37.7%  23.3%  79.7%   9.6%  27.0%     87.6      Rakuten Eagles  26  R     PL
277       Tanaka Masahiro  23   4   9   0    0   1    0  624  155.2  131  17  126  29    0   5   6  54  52   3.01   3.61   3.25  1.03  115   94     89   -0.60   2.7%   20.2%    4.6%    15.5%  50.1%  32.1%  77.1%  11.6%  28.5%     91.4      Rakuten Eagles            PL
278      Tsurusaki Taisei  11   0   0   0    1   0    0   47   10.2   11   0    7   5    1   0   0   6   6   5.06   3.25   4.37  1.50   69   85    120    1.81   0.0%   14.9%   10.6%     4.3%  56.7%  21.9%  82.6%   7.5%  27.5%     91.0      Rakuten Eagles  23  R     PL
279         Uchima Takuma  11   0   0   0    0   0    0   45   10.2    9   0   16   4    0   1   0   7   7   5.91   1.56   2.13  1.22   59   41     59    4.35   0.0%   35.6%    8.9%    26.7%  37.5%  16.7%  67.1%  14.5%  31.6%     93.0      Rakuten Eagles            PL
280         Wakui Hideaki  21   6   8   0    0   0    0  420   96.1  110   7   76  26    0   2   4  57  54   5.04   3.39   3.61  1.41   69   89     99    1.65   1.7%   18.1%    6.2%    11.9%  42.9%  21.4%  80.3%   9.2%  26.3%     88.3      Rakuten Eagles  35  R     PL
281         Watanabe Yuki   9   0   0   0    2   0    0   23    5.0    5   1    4   2    0   2   0   3   3   5.40   6.55   3.93  1.40   64  172    108   -1.15   4.3%   17.4%    8.7%     8.7%  33.3%  21.7%  76.9%   9.5%  28.4%     86.5      Rakuten Eagles  25  L     PL
282           Yuge Hayato   5   1   1   0    0   0    0   65   13.2   20   0    6   6    0   1   0  11  11   7.24   3.81   4.80  1.90   48  100    132    3.43   0.0%    9.2%    9.2%     0.0%  53.8%  17.7%  80.4%   8.8%  24.4%     86.9      Rakuten Eagles  27  L     PL
283          Dermody Matt  11   0   2   0    0   0    0  151   33.1   46   2   22  13    0   0   0  22  19   5.13   3.78   4.20  1.77   70   95    115    1.35   1.3%   14.6%    8.6%     6.0%  54.3%  23.9%  81.2%   9.0%  25.2%     91.4         Seibu Lions            PL
284          Garrett Reed  61   4   3   2   17   0    0  258   57.1   57   6   59  33    0   0   3  28  24   3.77   4.18   3.79  1.57   96  105    104   -0.41   2.3%   22.9%   12.8%    10.1%  56.7%  25.9%  71.3%  12.0%  29.3%     95.8         Seibu Lions            PL
285          Hamaya Shota   8   1   6   0    0   0    0  174   36.2   39   8   26  26    0   4   4  27  27   6.63   7.03   4.80  1.77   55  177    132   -0.40   4.6%   14.9%   14.9%     0.0%  44.3%  20.2%  77.7%   8.5%  25.8%     88.0         Seibu Lions            PL
286       Hirai Katsunori  25   4   4   0    2   0    0  327   74.2   85   7   55  19    0   6   2  40  35   4.22   3.90   3.70  1.39   86   98    101    0.32   2.1%   16.8%    5.8%    11.0%  39.3%  28.5%  77.4%  10.2%  28.0%     88.8         Seibu Lions  29  R     PL
287         Honda Keisuke   6   0   3   0    0   0    0  111   25.2   23   3    9  14    0   0   2  14  12   4.21   5.61   5.25  1.44   86  141    144   -1.40   2.7%    8.1%   12.6%    -4.5%  37.5%  22.2%  84.0%   6.7%  23.4%     87.3         Seibu Lions  28  R     PL
288          Imai Tatsuya  25   8   8   0    0   3    1  682  158.1  123  15  137  99    1  11  11  66  58   3.30   4.74   4.24  1.40  110  119    116   -1.44   2.2%   20.1%   14.5%     5.6%  52.1%  22.9%  75.6%  10.2%  26.6%     93.5         Seibu Lions  23  R     PL
