PlayerNum,jpPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
99,二俣　翔一,https://npb.jp/bis/players/91895153.html,2002.10.21,180,74,右,右,,Hiroshima Carp
9,秋山　翔吾,https://npb.jp/bis/players/31135133.html,1988.04.16,184,86,右,左,,Hiroshima Carp
37,野間　峻祥,https://npb.jp/bis/players/01405130.html,1993.01.28,182,85,右,左,,Hiroshima Carp
38,宇草　孔基,https://npb.jp/bis/players/41345151.html,1997.04.17,185,84,右,左,,Hiroshima Carp
50,中村　健人,https://npb.jp/bis/players/01405155.html,1997.05.21,183,97,右,右,,Hiroshima Carp
52,末包　昇大,https://npb.jp/bis/players/51055155.html,1996.05.27,188,112,右,右,,Hiroshima Carp
55,松山　竜平,https://npb.jp/bis/players/01405116.html,1985.09.18,176,96,右,左,,Hiroshima Carp
56,久保　修,https://npb.jp/bis/players/81585157.html,2000.09.29,181,83,右,右,,Hiroshima Carp
59,大盛　穂,https://npb.jp/bis/players/21325138.html,1996.08.31,179,80,右,左,,Hiroshima Carp
60,田村　俊介,https://npb.jp/bis/players/61265155.html,2003.08.25,178,97,左,左,,Hiroshima Carp
96,中村　奨成,https://npb.jp/bis/players/81285136.html,1999.06.06,181,84,右,右,,Hiroshima Carp
97,中村　貴浩,https://npb.jp/bis/players/61265157.html,2000.04.09,177,87,右,左,,Hiroshima Carp
120,杉田　健,https://npb.jp/bis/players/51055159.html,2001.08.28,188,83,右,右,,Hiroshima Carp
122,坂田　怜,https://npb.jp/bis/players/91995155.html,1999.09.13,188,91,右,右,,Hiroshima Carp
125,辻　大雅,https://npb.jp/bis/players/81085157.html,2004.08.29,182,82,左,左,,Hiroshima Carp
126,新家　颯,https://npb.jp/bis/players/31035155.html,2003.08.14,182,83,左,左,,Hiroshima Carp
128,杉原　望来,https://npb.jp/bis/players/71075159.html,2005.09.23,175,74,左,左,,Hiroshima Carp
129,藤井　黎來,https://npb.jp/bis/players/21625136.html,1999.09.17,182,90,右,右,,Hiroshima Carp
127,前川　誠太,https://npb.jp/bis/players/41845155.html,2003.04.04,176,69,右,右,,Hiroshima Carp
130,ラミレス,https://npb.jp/bis/players/43045159.html,2002.02.01,191,124,右,右,3/1 育成選手登録,Hiroshima Carp
121,名原　典彦,https://npb.jp/bis/players/11415157.html,2000.06.24,182,80,右,右,,Hiroshima Carp
131,ロベルト,https://npb.jp/bis/players/63065159.html,2000.10.27,191,104,右,右,3/1 育成選手登録,Hiroshima Carp
81,三浦　大輔,1973.12.25,,,DeNA BayStars
11,東　克樹,https://npb.jp/bis/players/51155136.html,1995.11.29,170,80,左,左,,DeNA BayStars
13,伊勢　大夢,https://npb.jp/bis/players/41145151.html,1998.03.07,183,94,右,右,,DeNA BayStars
14,石田　健大,https://npb.jp/bis/players/11315130.html,1993.03.01,180,85,左,左,,DeNA BayStars
15,徳山　壮磨,https://npb.jp/bis/players/81285155.html,1999.06.06,183,87,右,右,,DeNA BayStars
16,大貫　晋一,https://npb.jp/bis/players/01305138.html,1994.02.03,181,73,右,右,,DeNA BayStars
17,三嶋　一輝,https://npb.jp/bis/players/41245137.html,1990.05.07,175,80,右,左右,,DeNA BayStars
