Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Shoemaker Matt,18,4,8,0,0,1,1,406,95.1,92,13,65,30,0,5,1,50,45,4.25,4.61,3.94,1.28,79,123,109,-0.36,3.2%,16.0%,7.4%,8.6%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Sugano Tomoyuki,23,10,7,0,0,0,0,596,147.0,138,15,104,26,1,6,2,52,51,3.12,3.67,3.49,1.12,107,98,97,-0.55,2.5%,17.4%,4.4%,13.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Takagi Kyosuke,17,0,1,0,2,0,0,86,19.1,19,1,13,8,0,0,1,9,6,2.79,3.67,4.22,1.40,120,98,117,-0.88,1.2%,15.1%,9.3%,5.8%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Takahashi Yuki,10,1,5,0,0,0,0,130,26.2,34,1,21,18,0,0,1,20,16,5.40,4.04,4.57,1.95,62,108,127,1.36,0.8%,16.2%,13.8%,2.4%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Takanashi Yuhei,59,2,0,0,25,0,0,195,46.1,32,1,44,19,2,4,1,13,11,2.14,2.97,3.52,1.10,156,79,98,-0.83,0.5%,22.6%,9.7%,12.9%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Toda Natsuki,14,1,0,0,0,0,0,104,22.0,33,6,15,6,0,1,1,17,16,6.55,6.24,3.93,1.77,51,167,109,0.31,5.8%,14.4%,5.8%,8.6%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Togo Shosei,25,12,8,0,0,3,1,702,171.2,146,11,154,51,1,8,3,52,50,2.62,3.17,3.33,1.15,128,85,92,-0.55,1.6%,21.9%,7.3%,14.6%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Tone Chiaki,9,0,0,0,0,0,0,63,14.1,16,4,9,3,0,1,0,8,8,5.02,6.31,3.85,1.33,67,169,107,-1.29,6.3%,14.3%,4.8%,9.5%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Vieira Thyago,9,0,2,0,0,0,0,39,7.1,9,3,8,8,0,1,0,9,8,9.82,9.92,4.80,2.32,34,266,133,-0.10,7.7%,20.5%,20.5%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Yamaguchi Shun,1,0,0,0,0,0,0,8,2.0,0,0,4,2,0,0,0,0,0,0.00,2.10,2.30,1.00,999,56,64,-2.10,0.0%,50.0%,25.0%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Yamamoto Itsuki,2,0,0,0,0,0,0,10,2.0,2,0,0,1,0,0,0,1,0,0.00,4.60,5.80,1.50,999,123,161,-4.60,0.0%,0.0%,10.0%,-10.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Yamasaki Iori,20,5,5,0,1,0,0,410,97.1,95,6,55,20,1,9,0,37,34,3.14,3.67,3.95,1.18,107,98,110,-0.53,1.5%,13.4%,4.9%,8.5%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Yokogawa Kai,1,0,1,0,0,0,0,17,3.0,7,0,0,1,0,0,0,5,5,15.00,4.10,5.39,2.67,22,110,150,10.90,0.0%,0.0%,5.9%,-5.9%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Cole A.J.,34,2,0,0,6,0,0,145,36.0,25,3,32,14,1,1,2,13,11,2.75,3.66,3.56,1.08,125,95,99,-0.91,2.1%,22.1%,9.7%,12.4%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Hara Juri,22,8,7,0,0,0,0,476,107.2,132,14,52,32,1,5,1,59,58,4.85,4.86,4.38,1.52,71,126,122,-0.01,2.9%,10.9%,6.7%,4.2%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Hoshi Tomoya,7,0,1,0,0,0,0,56,12.1,14,2,12,6,0,1,0,6,6,4.38,4.97,3.73,1.62,79,129,104,-0.59,3.6%,21.4%,10.7%,10.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Ichikawa Yuta,6,0,0,0,0,0,0,58,12.0,17,1,6,6,0,1,2,10,10,7.50,4.94,4.80,1.92,46,128,133,2.56,1.7%,10.3%,10.3%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Ishikawa Masanori,16,6,4,0,0,0,0,357,84.0,93,16,39,15,2,3,1,45,42,4.50,5.29,4.13,1.29,77,138,115,-0.79,4.5%,10.9%,4.2%,6.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Ishiyama Taichi,38,2,0,0,16,0,0,148,36.0,27,0,35,14,2,2,2,7,7,1.75,2.49,3.38,1.14,197,65,94,-0.74,0.0%,23.6%,9.5%,14.1%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Kanakubo Yuto,3,1,1,0,0,0,0,43,9.1,13,3,4,2,1,0,0,8,8,7.71,7.07,4.33,1.61,45,184,120,0.64,7.0%,9.3%,4.7%,4.6%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Kizawa Naofumi,55,9,3,0,8,0,0,284,70.1,57,3,52,21,1,3,5,28,23,2.94,3.20,3.71,1.11,117,83,103,-0.26,1.1%,18.3%,7.4%,10.9%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Konno Ryuta,51,1,2,1,16,0,0,198,46.0,45,4,37,16,1,2,2,22,19,3.72,3.80,3.74,1.33,93,99,104,-0.08,2.0%,18.7%,8.1%,10.6%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Kozawa Reiji,10,2,1,0,0,0,0,200,46.0,48,4,44,17,1,6,2,21,21,4.11,3.82,3.45,1.41,84,99,96,0.29,2.0%,22.0%,8.5%,13.5%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Kubo Takuma,29,1,0,0,7,0,0,107,26.2,19,1,19,13,2,2,1,8,8,2.70,3.85,4.24,1.20,128,100,118,-1.15,0.9%,17.8%,12.1%,5.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
McGough Scott,55,2,2,38,4,0,0,215,53.2,39,5,59,13,2,1,2,16,14,2.35,2.90,2.66,0.97,147,75,74,-0.55,2.3%,27.4%,6.0%,21.4%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Miyadai Kohei,2,0,0,0,0,0,0,12,2.1,4,0,4,1,0,0,1,5,5,19.29,0.96,2.30,2.14,18,25,64,18.33,0.0%,33.3%,8.3%,25.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Ogawa Yasuhiro,25,8,8,0,0,1,1,621,153.1,145,16,91,32,1,3,2,50,48,2.82,3.96,3.85,1.15,122,103,107,-1.14,2.6%,14.7%,5.2%,9.5%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Ohnishi Hiroki,43,3,2,0,3,0,0,260,58.2,74,8,42,15,4,2,1,34,29,4.45,4.31,3.76,1.52,77,112,104,0.14,3.1%,16.2%,5.8%,10.4%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Ohshita Yuma,10,0,0,0,1,0,0,62,15.0,16,4,11,3,0,0,0,10,7,4.20,5.70,3.51,1.27,82,148,97,-1.50,6.5%,17.7%,4.8%,12.9%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Okugawa Yasunobu,1,0,0,0,0,0,0,15,4.0,2,1,3,1,0,0,0,1,1,2.25,5.60,3.47,0.75,153,146,96,-3.35,6.7%,20.0%,6.7%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Sakamoto Koshiro,7,0,1,0,0,0,0,59,10.2,15,4,11,9,0,1,2,14,11,9.28,8.73,4.46,2.25,37,227,124,0.55,6.8%,18.6%,15.3%,3.3%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Shibata Daichi,1,0,0,0,0,0,0,10,1.0,5,0,2,1,0,0,1,5,1,9.00,2.10,3.80,6.00,38,55,106,6.90,0.0%,20.0%,10.0%,10.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Shimizu Noboru,50,5,4,0,28,0,0,173,46.2,23,1,43,14,3,1,0,6,6,1.16,2.50,3.12,0.79,297,65,87,-1.34,0.6%,24.9%,8.1%,16.8%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Sneed Cy,23,9,6,0,0,0,0,553,132.1,140,17,96,26,0,5,3,66,52,3.54,4.02,3.53,1.25,97,105,98,-0.48,3.1%,17.4%,4.7%,12.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Suarez Andrew,6,0,0,0,0,0,0,102,21.2,27,4,16,7,0,0,2,17,15,6.23,5.00,3.92,1.57,55,130,109,1.23,3.9%,15.7%,6.9%,8.8%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Sugiyama Koki,1,0,0,0,0,0,0,4,0.2,2,0,0,0,0,0,0,0,0,0.00,3.10,4.80,3.00,999,81,133,-3.10,0.0%,0.0%,0.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Taguchi Kazuto,45,1,1,2,18,0,0,143,36.0,30,0,31,8,2,3,1,7,5,1.25,2.30,3.19,1.06,276,60,89,-1.05,0.0%,21.7%,5.6%,16.1%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Takahashi Keiji,17,8,2,0,0,2,1,416,102.2,75,9,113,37,3,9,1,32,30,2.63,3.39,2.97,1.09,131,88,82,-0.76,2.2%,27.2%,8.9%,18.3%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Takanashi Hirotoshi,20,7,9,0,0,1,1,447,102.2,103,11,84,41,1,6,2,51,49,4.30,4.23,3.84,1.40,80,110,107,0.07,2.5%,18.8%,9.2%,9.6%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Takeyama Hyuga,1,0,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.10,1.47,0.00,999,29,41,-1.10,0.0%,33.3%,0.0%,33.3%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Umeno Yugo,41,4,3,0,16,0,0,168,39.0,37,6,26,15,2,1,3,15,13,3.00,5.00,4.15,1.33,115,130,115,-2.00,3.6%,15.5%,8.9%,6.6%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Yamamoto Daiki,5,0,0,0,0,0,0,27,5.2,10,3,4,1,0,0,0,5,5,7.94,9.10,3.69,1.94,43,237,102,-1.16,11.1%,14.8%,3.7%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Yamashita Hikaru,2,1,1,0,0,0,0,54,12.1,14,0,3,5,0,1,0,2,2,1.46,4.08,5.17,1.54,236,106,144,-2.62,0.0%,5.6%,9.3%,-3.7%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Yoshida Daiki,2,0,1,0,0,0,0,44,9.0,14,1,7,5,0,0,0,3,3,3.00,4.66,4.35,2.11,115,121,121,-1.66,2.3%,15.9%,11.4%,4.5%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Fujishima Kento,50,2,1,0,10,0,0,201,50.2,39,3,43,11,0,1,0,12,12,2.13,2.89,3.21,0.99,144,84,89,-0.76,1.5%,21.4%,5.5%,15.9%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Fuku Hiroto,36,2,2,0,3,0,0,123,27.2,25,3,25,12,2,2,1,15,14,4.55,4.22,3.74,1.34,68,123,104,0.33,2.4%,20.3%,9.8%,10.5%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Fukutani Koji,5,1,3,0,0,0,0,119,23.0,42,3,14,9,0,0,4,27,23,9.00,4.76,4.38,2.22,34,139,122,4.24,2.5%,11.8%,7.6%,4.2%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Hashimoto Yuki,4,0,0,0,0,0,0,39,8.1,12,2,5,3,0,3,0,9,9,9.72,7.18,4.29,1.80,32,210,119,2.54,5.1%,12.8%,7.7%,5.1%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Ishida KentoMarc,2,0,0,0,0,0,0,15,3.0,5,0,0,2,0,0,0,4,4,12.00,5.10,6.13,2.33,26,149,170,6.90,0.0%,0.0%,13.3%,-13.3%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Iwasaki Sho,1,0,0,0,0,0,0,1,0.0,0,0,0,1,0,0,0,1,1,,,14.80,,0,,411,,0.0%,0.0%,100.0%,-100.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Kasahara Shotaro,4,1,2,0,0,0,0,75,17.0,18,4,8,9,1,1,0,10,10,5.29,6.99,4.93,1.59,58,204,137,-1.70,5.3%,10.7%,12.0%,-1.3%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Katsuno Akiyoshi,8,0,4,0,0,0,0,183,43.2,46,6,36,13,0,1,0,24,22,4.53,4.20,3.54,1.35,68,123,98,0.33,3.3%,19.7%,7.1%,12.6%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Martinez Raidel,56,4,3,39,5,0,0,213,55.2,30,2,62,12,2,4,0,6,6,0.97,2.20,2.45,0.75,317,64,68,-1.23,0.9%,29.1%,5.6%,23.5%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Matsuba Takahiro,19,6,7,0,0,0,0,404,100.0,96,4,51,18,2,2,0,38,37,3.33,3.20,3.98,1.14,92,93,111,0.13,1.0%,12.6%,4.5%,8.1%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Mori Hiroto,30,1,0,0,0,0,0,133,30.1,29,4,23,14,1,3,1,9,9,2.67,4.98,4.12,1.42,115,145,114,-2.31,3.0%,17.3%,10.5%,6.8%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Neo Akira,25,0,0,0,1,0,0,124,29.0,23,2,22,12,1,3,1,12,11,3.41,4.03,3.99,1.21,90,118,111,-0.62,1.6%,17.7%,9.7%,8.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Ogasawara Shinnosuke,22,10,8,0,0,0,0,592,146.2,127,9,142,39,1,1,4,47,45,2.76,2.78,3.06,1.13,111,81,85,-0.02,1.5%,24.0%,6.6%,17.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Ohno Yudai,23,8,8,0,0,4,2,625,157.0,126,7,108,37,1,6,1,50,43,2.46,3.13,3.66,1.04,125,91,102,-0.67,1.1%,17.3%,5.9%,11.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Okada Toshiya,2,0,2,0,0,0,0,29,6.0,9,1,5,4,0,0,0,6,6,9.00,5.60,4.46,2.17,34,163,124,3.40,3.4%,17.2%,13.8%,3.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Okano Yuichiro,4,1,3,0,0,0,0,64,12.1,20,3,7,7,0,1,1,17,17,12.41,7.08,4.80,2.19,25,207,133,5.33,4.7%,10.9%,10.9%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Rodriguez Yariel,56,6,2,0,39,0,0,218,54.2,32,0,60,18,2,4,1,9,7,1.15,2.12,2.87,0.91,267,62,80,-0.97,0.0%,27.5%,8.3%,19.2%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Satoh Yu,4,0,0,0,0,0,0,21,4.0,7,1,3,2,0,0,0,5,5,11.25,6.35,4.32,2.25,27,185,120,4.90,4.8%,14.3%,9.5%,4.8%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Shimizu Tatsuya,54,3,3,1,32,0,0,194,50.1,28,1,51,17,1,1,2,17,17,3.04,2.41,3.05,0.89,101,70,85,0.63,0.5%,26.3%,8.8%,17.5%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Sobue Daisuke,46,4,3,1,17,0,0,179,42.2,42,3,32,13,2,1,1,21,18,3.80,3.50,3.74,1.29,81,102,104,0.30,1.7%,17.9%,7.3%,10.6%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Suzuki Hiroshi,3,0,1,0,1,0,0,55,13.0,11,0,9,5,0,1,0,6,6,4.15,3.10,4.07,1.23,74,90,113,1.05,0.0%,16.4%,9.1%,7.3%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Tajima Shinji,21,0,0,0,1,0,0,97,21.2,22,2,9,8,0,1,1,13,11,4.57,4.72,4.70,1.38,67,138,131,-0.15,2.1%,9.3%,8.2%,1.1%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Takahashi Hiroto,19,6,7,0,0,0,0,462,116.2,79,8,134,42,3,4,1,34,32,2.47,2.88,2.81,1.04,124,84,78,-0.41,1.7%,29.0%,9.1%,19.9%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Tanimoto Keisuke,34,0,0,1,6,0,0,134,31.0,30,3,21,12,4,0,0,9,9,2.61,4.17,4.13,1.35,118,122,115,-1.56,2.2%,15.7%,9.0%,6.7%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Tavarez Yohan,3,0,0,0,0,0,0,15,3.0,4,0,4,2,0,1,0,2,2,6.00,3.44,3.47,2.00,51,100,96,2.56,0.0%,26.7%,13.3%,13.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Ueda Kotaro,8,1,5,0,0,0,0,169,41.1,34,2,33,17,1,3,1,15,13,2.83,3.59,3.85,1.23,109,105,107,-0.76,1.2%,19.5%,10.1%,9.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Yamamoto Takumi,30,1,0,0,4,0,0,131,30.0,24,2,19,17,1,1,1,13,12,3.60,4.50,4.65,1.37,85,131,129,-0.90,1.5%,14.5%,13.0%,1.5%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Yanagi Yuya,25,9,11,0,0,3,1,648,153.1,154,17,124,37,1,5,8,64,62,3.64,3.75,3.46,1.25,84,109,96,-0.11,2.6%,19.1%,5.7%,13.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Abe Shota,44,1,0,3,22,0,0,166,44.0,22,1,42,10,2,2,0,3,3,0.61,2.31,2.87,0.73,520,65,80,-1.70,0.6%,25.3%,6.0%,19.3%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Azuma Kohei,4,1,0,0,0,0,0,60,13.0,17,1,7,5,1,1,0,8,7,4.85,4.41,4.47,1.69,65,125,124,0.44,1.7%,11.7%,8.3%,3.4%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Biddle Jesse,35,4,5,0,13,0,0,184,40.1,36,4,45,20,1,7,2,20,18,4.02,4.17,3.44,1.39,79,118,96,-0.15,2.2%,24.5%,10.9%,13.6%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Cho Yaku,15,0,0,0,0,0,0,101,22.2,23,0,20,10,0,2,0,9,6,2.38,2.93,3.81,1.46,133,83,106,-0.55,0.0%,19.8%,9.9%,9.9%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Higa Motoki,30,5,0,1,5,0,0,85,21.1,20,1,24,2,0,2,0,7,6,2.53,2.02,2.21,1.03,125,57,61,0.51,1.2%,28.2%,2.4%,25.8%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Hirano Yoshihisa,48,3,2,28,8,0,0,175,46.0,25,3,42,12,0,2,1,8,8,1.57,3.04,3.09,0.80,202,86,86,-1.47,1.7%,24.0%,6.9%,17.1%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Honda Hitomi,42,2,3,2,14,0,0,186,43.2,39,3,40,16,1,4,1,18,17,3.50,3.54,3.51,1.26,91,100,97,-0.04,1.6%,21.5%,8.6%,12.9%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Kogita Atsuya,16,0,0,0,5,0,0,63,14.1,16,1,13,6,0,0,1,5,5,3.14,3.45,3.69,1.53,101,98,102,-0.31,1.6%,20.6%,9.5%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Kondoh Taisuke,32,1,4,2,15,0,0,121,30.0,25,3,27,7,1,1,1,7,7,2.10,3.40,3.15,1.07,151,96,88,-1.30,2.5%,22.3%,5.8%,16.5%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Kuroki Yuta,27,2,2,1,5,0,0,106,26.2,20,3,21,9,0,0,2,8,7,2.36,4.00,3.67,1.09,134,113,102,-1.64,2.8%,19.8%,8.5%,11.3%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Masui Hirotoshi,2,0,2,0,0,0,0,42,9.1,13,0,11,4,0,0,2,4,4,3.86,2.03,3.13,1.82,82,57,87,1.83,0.0%,26.2%,9.5%,16.7%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Miyagi Hiroya,24,11,8,0,0,2,1,612,148.1,137,11,127,30,1,6,0,57,52,3.16,3.08,3.22,1.13,100,87,89,0.08,1.8%,20.8%,4.9%,15.9%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Mukunoki Ren,4,2,1,0,0,0,0,69,17.2,8,0,21,8,0,1,2,2,2,1.02,2.25,2.92,0.91,311,64,81,-1.23,0.0%,30.4%,11.6%,18.8%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Muranishi Ryota,22,1,1,0,8,0,0,113,24.1,23,4,27,17,3,1,1,13,12,4.44,5.24,3.92,1.64,71,148,109,-0.80,3.5%,23.9%,15.0%,8.9%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Nakamura Masaru,3,0,1,0,0,0,0,33,6.1,12,0,4,3,0,1,0,6,6,8.53,3.73,4.50,2.37,37,105,125,4.80,0.0%,12.1%,9.1%,3.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Nohmi Atsushi,5,0,0,0,1,0,0,15,3.2,2,0,2,2,0,0,0,1,1,2.45,3.65,4.80,1.09,129,103,133,-1.20,0.0%,13.3%,13.3%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Saitoh Koki,5,0,0,0,0,0,0,24,5.1,7,0,5,1,0,0,0,4,4,6.75,1.79,3.13,1.50,47,51,87,4.96,0.0%,20.8%,4.2%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Suzuki Kohei,14,0,1,0,2,0,0,51,12.0,12,3,13,3,0,0,2,9,9,6.75,4.94,2.84,1.25,47,140,79,1.81,5.9%,25.5%,5.9%,19.6%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Tajima Daiki,20,9,3,0,0,1,1,513,125.0,115,12,92,37,0,2,3,41,37,2.66,3.82,3.73,1.22,119,108,104,-1.16,2.3%,17.9%,7.2%,10.7%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Takeyasu Daichi,6,2,0,0,0,0,0,111,26.0,27,1,20,10,0,0,2,13,11,3.81,3.22,3.90,1.42,83,91,108,0.59,0.9%,18.0%,9.0%,9.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Tomiyama Ryoga,8,0,0,0,3,0,0,38,7.1,10,3,7,3,0,0,0,9,9,11.05,7.74,3.75,1.77,29,219,104,3.31,7.9%,18.4%,7.9%,10.5%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Udagawa Yuki,19,2,1,0,3,0,0,87,22.1,10,1,32,12,2,0,0,2,2,0.81,2.43,2.50,0.99,391,69,69,-1.62,1.1%,36.8%,13.8%,23.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Vargas Cesar,8,0,1,0,2,0,0,66,13.2,18,1,11,8,0,0,0,11,10,6.59,4.20,4.35,1.90,48,119,121,2.39,1.5%,16.7%,12.1%,4.6%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Waguespack Jacob,32,2,6,5,7,0,0,309,72.2,63,4,81,29,0,4,1,28,24,2.97,2.95,3.12,1.27,107,83,87,0.02,1.3%,26.2%,9.4%,16.8%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Yamada Nobuyoshi,12,1,0,0,2,0,0,44,10.1,11,0,14,4,0,1,1,5,5,4.35,1.84,2.53,1.45,73,52,70,2.51,0.0%,31.8%,9.1%,22.7%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Yamamoto Yoshinobu,26,15,5,0,0,4,2,747,193.0,137,6,205,42,0,5,0,42,36,1.68,2.11,2.62,0.93,189,60,73,-0.43,0.8%,27.4%,5.6%,21.8%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Yamaoka Taisuke,22,6,8,0,1,2,1,518,128.0,118,6,99,27,0,7,2,42,37,2.60,2.96,3.41,1.13,122,84,95,-0.36,1.2%,19.1%,5.2%,13.9%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Yamasaki Sachiya,24,5,8,0,2,0,0,475,114.2,112,13,91,27,0,6,4,58,44,3.45,3.85,3.45,1.21,92,109,96,-0.40,2.7%,19.2%,5.7%,13.5%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Yamazaki Soichiro,15,0,2,1,6,0,0,145,36.0,30,2,29,10,1,1,0,15,12,3.00,3.13,3.49,1.11,106,89,97,-0.13,1.4%,20.0%,6.9%,13.1%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Yoshida Ryo,6,1,1,0,2,0,0,15,3.1,5,1,3,1,0,0,0,3,3,8.10,6.10,3.47,1.80,39,173,96,2.00,6.7%,20.0%,6.7%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Azuma Yusuke,3,0,0,0,0,0,0,21,4.0,9,2,1,2,0,0,1,4,3,6.75,10.60,5.28,2.75,50,280,147,-3.85,9.5%,4.8%,9.5%,-4.7%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
Dohi Seiya,1,1,0,0,0,0,0,6,1.0,2,0,0,1,0,0,0,0,0,0.00,6.10,6.47,3.00,999,161,180,-6.10,0.0%,0.0%,16.7%,-16.7%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
