     Player  Age  Pos     Inn   TZR  TZR/143  RngR  ARM  DPR  ErrR  Pos Adj  Framing  Blocking                Team League
163     NaN   28  9.0   105.0  -1.3    -15.9  -1.0 -0.4  NaN   0.0     -0.4      NaN       NaN      ORIX Buffaloes     PL
164     NaN   28  NaN   433.1   NaN      NaN   NaN  NaN  NaN   NaN     -5.2      NaN       NaN      ORIX Buffaloes     PL
165     NaN   24  4.0     9.0  -1.3   -185.9  -0.4  NaN -0.3  -0.7      0.0      NaN       NaN      ORIX Buffaloes     PL
166     NaN   24  6.0    14.1  -0.2    -18.0  -0.3  NaN  0.0   0.1      0.1      NaN       NaN      ORIX Buffaloes     PL
167     NaN   24  8.0    19.2  -0.3    -19.6  -0.1 -0.2  NaN   0.0      0.1      NaN       NaN      ORIX Buffaloes     PL
168     NaN   24  9.0    31.1  -0.4    -16.4   0.1 -0.6  NaN   0.0     -0.1      NaN       NaN      ORIX Buffaloes     PL
169     NaN   24  NaN     2.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN      ORIX Buffaloes     PL
170     NaN   27  7.0    93.2   0.0      0.0  -0.4  0.3  NaN   0.1     -0.9      NaN       NaN      Hiroshima Carp     CL
171     NaN   27  NaN    14.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.2      NaN       NaN      Hiroshima Carp     CL
172     NaN   24  4.0   173.0   1.4     10.4   1.3  NaN  0.1  -0.1      0.5      NaN       NaN  Nipponham Fighters     PL
173     NaN   24  5.0   119.1   0.5      5.4   0.1  NaN -0.2   0.6     -0.5      NaN       NaN  Nipponham Fighters     PL
174     NaN   24  6.0   132.0   1.0      9.8   1.6  NaN -0.6   0.0      1.1      NaN       NaN  Nipponham Fighters     PL
175     NaN   27  3.0     1.0   0.0      0.0   0.0  NaN  0.0   0.0      0.0      NaN       NaN      SoftBank Hawks     PL
176     NaN   27  4.0    94.0  -0.8    -11.0  -1.3  NaN  0.1   0.3      0.3      NaN       NaN      SoftBank Hawks     PL
177     NaN   27  5.0    15.0  -0.5    -42.9   0.1  NaN  0.0  -0.6     -0.1      NaN       NaN      SoftBank Hawks     PL
178     NaN   27  6.0    31.0  -0.6    -24.9  -0.8  NaN  0.0   0.2      0.3      NaN       NaN      SoftBank Hawks     PL
179     NaN   27  NaN     2.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN      SoftBank Hawks     PL
180     NaN   24  7.0    20.2   0.6     37.3   0.6  0.0  NaN   0.0     -0.2      NaN       NaN      SoftBank Hawks     PL
181     NaN   24  8.0   110.2   1.8     20.9   1.9 -0.2  NaN   0.0      0.4      NaN       NaN      SoftBank Hawks     PL
182     NaN   24  9.0   219.2   1.9     11.1   2.8 -1.0  NaN   0.1     -0.9      NaN       NaN      SoftBank Hawks     PL
183     NaN   24  NaN     4.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN      SoftBank Hawks     PL
184     NaN   30  7.0    16.0   1.1     88.5   1.1  0.0  NaN   0.0     -0.2      NaN       NaN       DeNA BayStars     CL
185     NaN   30  8.0   657.2   2.0      3.9   3.3 -1.4  NaN   0.1      2.2      NaN       NaN       DeNA BayStars     CL
186     NaN   39  7.0   107.0   4.0     48.1   3.4  0.5  NaN   0.1     -1.0      NaN       NaN      Yomiuri Giants     CL
187     NaN   39  9.0     7.0  -1.0   -183.9  -0.6 -0.4  NaN   0.0      0.0      NaN       NaN      Yomiuri Giants     CL
188     NaN   39  NaN     8.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN      Yomiuri Giants     CL
189     NaN   24  3.0     1.0   0.2    257.4   0.2  NaN  0.0   0.0      0.0      NaN       NaN     Yakult Swallows     CL
190     NaN   24  4.0    40.2  -1.8    -56.9  -2.0  NaN  0.0   0.2      0.1      NaN       NaN     Yakult Swallows     CL
191     NaN   24  5.0     4.0  -0.3    -96.5  -0.3  NaN  0.0   0.0      0.0      NaN       NaN     Yakult Swallows     CL
192     NaN   24  7.0    24.0   1.1     59.0   1.0  0.1  NaN   0.0     -0.2      NaN       NaN     Yakult Swallows     CL
193     NaN   24  8.0    40.1  -1.0    -31.9  -1.0  0.0  NaN   0.0      0.1      NaN       NaN     Yakult Swallows     CL
194     NaN   24  9.0    32.1  -1.4    -55.8  -0.6 -0.8  NaN   0.0     -0.1      NaN       NaN     Yakult Swallows     CL
195     NaN   28  3.0    21.0   0.0      0.0  -0.1  NaN  0.0   0.0     -0.2      NaN       NaN  Nipponham Fighters     PL
196     NaN   28  NaN   758.0   NaN      NaN   NaN  NaN  NaN   NaN     -9.1      NaN       NaN  Nipponham Fighters     PL
197     NaN   35  7.0   293.2   3.9     17.1   4.9 -1.2  NaN   0.3     -2.8      NaN       NaN      Yomiuri Giants     CL
198     NaN   35  8.0   274.2  -2.5    -11.7  -2.2 -0.3  NaN   0.0      0.9      NaN       NaN      Yomiuri Giants     CL
199     NaN   35  9.0   587.1  -0.4     -0.9  -0.3 -0.4  NaN   0.2     -2.3      NaN       NaN      Yomiuri Giants     CL
200     NaN   26  2.0   333.2  -0.5     -1.9   NaN  0.2  NaN  -0.7      4.8     -3.9       0.2      SoftBank Hawks     PL
201     NaN   25  3.0     3.0   0.0      0.0   0.0  NaN  0.0   0.0      0.0      NaN       NaN     Yakult Swallows     CL
202     NaN   25  7.0     6.0   0.0      0.0   0.0  0.0  NaN   0.0     -0.1      NaN       NaN     Yakult Swallows     CL
203     NaN   25  8.0    16.0  -2.2   -177.0  -1.6 -0.6  NaN   0.0      0.1      NaN       NaN     Yakult Swallows     CL
204     NaN   25  9.0   138.2   3.3     30.6   3.2  0.0  NaN   0.1     -0.5      NaN       NaN     Yakult Swallows     CL
205     NaN   27  4.0   494.1   5.4     14.1   3.1  NaN  1.3   0.9      1.3      NaN       NaN  Nipponham Fighters     PL
