                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER     ERA    FIP  kwERA   WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB%     GB% Chase%    Con% SwStr%   CSW%  FB Velo                Team League
80         Wendelken J.B.  28   1   1   0   16   0    0  109   26.1   20   1   25   9    0   2   0   5   5    1.71   2.94   3.33   1.10  177   86     92   -1.23   0.9%  22.9%   8.3%   14.7%    nan%   nan%    nan%   nan%   nan%      NaN       DeNA BayStars     CL
81             Wick Rowan  43   5   1   1   11   0    0  193   45.0   36   3   50  20    1   1   3  16  13    2.60   3.13   3.25   1.24  116   92     89   -0.53   1.6%  25.9%  10.4%   15.5%   48.5%  28.2%   72.2%  13.5%  32.9%     96.2       DeNA BayStars     CL
82       Yamasaki Yasuaki  38   3   5   4   11   0    0  163   37.2   35   4   29  11    0   3   1  18  14    3.35   4.04   3.70   1.22   90  118    102   -0.69   2.5%  17.8%   6.7%   11.0%   40.9%  29.0%   73.1%  13.0%  29.1%     92.1       DeNA BayStars     CL
83         Yoshino Teruki   7   3   2   0    0   0    0  137   31.1   34   5   29  11    0   1   1  15  15    4.31   4.46   3.49   1.44   70  130     96   -0.15   3.6%  21.2%   8.0%   13.1%   45.5%  23.9%   75.7%  10.2%  28.1%     91.0       DeNA BayStars     CL
84          Akahoshi Yuji  21   1   7   0    1   0    0  291   75.0   66   8   43  10    0   2   1  28  26    3.12   3.81   3.67   1.01   94  115    101   -0.69   2.7%  14.8%   3.4%   11.3%   54.9%  30.1%   83.1%   7.8%  28.8%     90.9      Yomiuri Giants     CL
85            Baba Kosuke   1   0   0   0    0   0    0    3    0.2    1   0    1   0    0   0   0   0   0    0.00   0.09   1.47   1.50  999    3     40   -0.09   0.0%  33.3%   0.0%   33.3%   50.0%  20.0%   74.5%  11.4%  23.7%     90.9      Yomiuri Giants     CL
86      Baldonado Alberto  58   2   3   9   26   0    0  220   51.2   40   1   63  28    1   0   2  15  14    2.44   2.53   3.21   1.32  120   76     88   -0.09   0.5%  28.6%  12.7%   15.9%   35.3%  22.9%   77.5%  10.5%  22.5%     93.3      Yomiuri Giants     CL
87    Funabasama Hiromasa  51   4   0   0   22   0    0  150   38.0   28   4   23   8    2   3   0  12  10    2.37   4.11   3.80   0.95  124  124    104   -1.74   2.7%  15.3%   5.3%   10.0%   34.1%  30.1%   75.6%  11.4%  30.3%     90.6      Yomiuri Giants     CL
88         Griffin Foster  20   6   4   0    0   0    0  468  116.2   99   9  126  23    0   4   0  40  39    3.01   2.63   2.60   1.05   97   79     71    0.38   1.9%  26.9%   4.9%   22.0%   52.4%  26.7%   74.1%  11.8%  30.8%     90.8      Yomiuri Giants     CL
89          Hatake Seishu   1   0   0   0    0   0    0   10    3.0    1   1    3   0    0   0   0   1   1    3.00   5.42   1.80   0.33   98  163     49   -2.42  10.0%  30.0%   0.0%   30.0%    nan%   nan%    nan%   nan%   nan%      NaN      Yomiuri Giants     CL
90           Heinai Ryuta  31   1   2   0    2   0    0  140   33.1   35   4   22   6    1   1   2  11   8    2.16   3.96   3.66   1.23  136  119    101   -1.80   2.9%  15.7%   4.3%   11.4%   41.5%  26.2%   81.2%   9.2%  22.8%     92.9      Yomiuri Giants     CL
91          Hotta Kenshin  17   3   3   0    0   0    0  200   51.1   43   2   30  13    0   2   0  14  14    2.45   3.30   3.95   1.09  120   99    109   -0.85   1.0%  15.0%   6.5%    8.5%   51.4%  31.1%   76.8%  11.3%  27.3%     90.2      Yomiuri Giants     CL
92       Imamura Nobutaka   7   0   0   0    0   0    0   30    8.0    6   0    7   1    0   1   0   2   2    2.25   2.09   2.80   0.88  130   63     77    0.16   0.0%  23.3%   3.3%   20.0%    nan%   nan%    nan%   nan%   nan%      NaN      Yomiuri Giants     CL
93           Inoue Haruto  25   8   5   0    2   0    0  413  101.0   87   5   99  27    1   3   3  33  31    2.76   2.66   3.06   1.13  106   80     84    0.10   1.2%  24.0%   6.5%   17.4%   44.0%  33.4%   76.6%  11.4%  30.0%     91.2      Yomiuri Giants     CL
