      Player  Age  Pos    Inn   TZR  TZR/143  RngR  ARM  DPR  ErrR  Pos Adj  Framing  Blocking                Team League
120      NaN   23  NaN   72.2   NaN      NaN   NaN  NaN  NaN   NaN     -0.9      NaN       NaN       DeNA BayStars     EL
121      NaN   23  7.0  379.2   7.9     26.8   9.7 -1.3  NaN  -0.5     -3.6      NaN       NaN     HAYATE Ventures     WL
122      NaN   23  8.0   52.0  -3.6    -89.1  -2.4 -0.4  NaN  -0.8      0.2      NaN       NaN     HAYATE Ventures     WL
123      NaN   23  9.0  112.2  -5.0    -57.1  -6.7  1.6  NaN   0.1     -0.4      NaN       NaN     HAYATE Ventures     WL
124      NaN   23  NaN   40.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.5      NaN       NaN     HAYATE Ventures     WL
125      NaN   33  4.0   11.0   0.1     11.7  -0.5  NaN  0.5   0.2      0.0      NaN       NaN      ORIX Buffaloes     WL
126      NaN   33  5.0    7.0  -0.2    -36.8  -0.2  NaN  0.0   0.0      0.0      NaN       NaN      ORIX Buffaloes     WL
127      NaN   33  NaN   28.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.3      NaN       NaN      ORIX Buffaloes     WL
128      NaN   23  7.0   28.0  -1.9    -87.3  -1.6 -0.3  NaN   0.0     -0.3      NaN       NaN    Chunichi Dragons     WL
129      NaN   23  8.0   35.0   0.8     29.4   0.7  0.1  NaN   0.0      0.1      NaN       NaN    Chunichi Dragons     WL
130      NaN   23  9.0   10.0   0.9    115.8   0.9  0.0  NaN   0.0      0.0      NaN       NaN    Chunichi Dragons     WL
131      NaN   23  NaN    3.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN    Chunichi Dragons     WL
132      NaN   21  4.0   33.0   1.1     42.9   0.6  NaN  0.1   0.4      0.1      NaN       NaN    Chunichi Dragons     WL
133      NaN   21  5.0   44.1   0.0      0.0  -0.3  NaN -0.1   0.5     -0.2      NaN       NaN    Chunichi Dragons     WL
134      NaN   21  6.0  151.2   2.5     21.2   1.4  NaN -0.1   1.2      1.2      NaN       NaN    Chunichi Dragons     WL
135      NaN   21  NaN    3.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN    Chunichi Dragons     WL
136      NaN   24  7.0   99.0   1.9     24.7   0.1  1.8  NaN   0.1     -0.9      NaN       NaN         Seibu Lions     EL
137      NaN   24  8.0   59.0   0.6     13.1  -0.1  0.7  NaN   0.0      0.2      NaN       NaN         Seibu Lions     EL
138      NaN   24  9.0   68.2   2.5     46.8   2.5 -0.1  NaN   0.1     -0.3      NaN       NaN         Seibu Lions     EL
139      NaN   23  7.0   79.0  -5.3    -86.3  -4.5 -0.8  NaN   0.0     -0.8      NaN       NaN         Seibu Lions     EL
140      NaN   23  8.0    9.0   0.3     42.9   0.3  0.0  NaN   0.0      0.0      NaN       NaN         Seibu Lions     EL
141      NaN   23  9.0  310.2   4.5     18.6   5.0 -0.7  NaN   0.2     -1.2      NaN       NaN         Seibu Lions     EL
142      NaN   23  NaN   30.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.4      NaN       NaN         Seibu Lions     EL
143      NaN   25  3.0   51.1   0.3      7.5  -0.2  NaN  0.1   0.4     -0.6      NaN       NaN  Nipponham Fighters     EL
144      NaN   25  4.0    8.0  -1.7   -273.5  -1.8  NaN  0.0   0.0      0.0      NaN       NaN  Nipponham Fighters     EL
145      NaN   25  5.0  161.1   0.4      3.2  -0.7  NaN -0.1   1.2     -0.6      NaN       NaN  Nipponham Fighters     EL
146      NaN   25  7.0   31.1  -1.0    -41.1  -1.5  0.5  NaN   0.0     -0.3      NaN       NaN  Nipponham Fighters     EL
147      NaN   25  NaN   31.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.4      NaN       NaN  Nipponham Fighters     EL
148      NaN   24  7.0    4.0  -0.5   -160.9  -0.5  0.0  NaN   0.0      0.0      NaN       NaN     Yakult Swallows     EL
