                   Player    G   PA   AB   R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%    BB%  BB/K   wSB PullAIR%  Chase%  Z-Con%  Swing% SwStr%    TTO% Age  Pos  B                Team League
306            Ohno Shota    1    1    1   0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000  0.000    0.0%   0.0%         0.0     0.0%    0.0%  100.0%   50.0%   0.0%    0.0%  36    2  R    Chunichi Dragons     CL
307            Ohno Yudai    1    2    2   0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000  0.000   50.0%   0.0%  0.00   0.0     0.0%    0.0%   66.7%   37.5%  12.5%   50.0%  34    1  L    Chunichi Dragons     CL
308         Ohshima Yohei  130  494  470  34  136  17   2   0  157   23   6   1   1   3   43   15    1   5    7  0.289  0.316  0.334  0.650   103  0.045  0.316    8.7%   3.0%  0.35   0.6    15.7%   29.7%   94.7%   46.1%   4.5%   11.7%  37    7  L    Chunichi Dragons     CL
309       Okabayashi Yuki  143  633  584  61  163  21  10   3  213   31  12   8   9   1   89   39    1   0   11  0.279  0.324  0.365  0.689   115  0.086  0.325   14.1%   6.2%  0.44  -0.7    13.1%   25.0%   93.6%   42.7%   5.5%   20.7%  21    8  L    Chunichi Dragons     CL
310        Okano Yuichiro   15    1    0   0    0   0   0   0    0    0   0   0   1   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000           0.0%   0.0%         0.0     0.0%                    0.0%   0.0%    0.0%  29    1  R    Chunichi Dragons     CL
315        Suzuki Hiroshi    9    4    4   0    0   0   0   0    0    0   0   0   0   0    2    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000  0.000   50.0%   0.0%  0.00   0.0     0.0%   27.3%   90.9%   50.0%   7.1%   50.0%  26    1  R    Chunichi Dragons     CL
317      Takahashi Hiroto   25   46   37   1    6   0   0   0    6    2   0   0   7   0   16    2    0   0    0  0.162  0.205  0.162  0.367    13  0.000  0.286   34.8%   4.3%  0.12  -0.0     0.0%   36.7%   72.6%   50.9%  14.5%   39.1%  20    1  R    Chunichi Dragons     CL
318      Takahashi Shuhei   86  172  158   1   34   6   0   0   40   14   1   0   2   0   41   11    1   1    5  0.215  0.271  0.253  0.524    63  0.038  0.291   23.8%   6.4%  0.27   0.2     5.9%   27.8%   82.9%   47.5%  11.5%   30.2%  29    5  L    Chunichi Dragons     CL
319      Takamatsu Wataru   23    1    1   8    0   0   0   0    0    0   2   1   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000  0.000    0.0%   0.0%         0.0     0.0%          100.0%  100.0%   0.0%    0.0%  23  UTL  L    Chunichi Dragons     CL
321        Tsuchida Ryuku  114  304  273  16   51   3   2   1   61   18   2   1  12   2   59   15    2   2    5  0.187  0.233  0.223  0.456    41  0.036  0.233   19.4%   4.9%  0.25  -0.0     4.8%   34.0%   91.3%   55.3%  10.1%   24.7%  20    6  L    Chunichi Dragons     CL
322           Ueda Kotaro   13    1    1   0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -107  0.000         100.0%   0.0%  0.00   0.0            50.0%  100.0%   40.0%  20.0%  100.0%  20    1  L    Chunichi Dragons     CL
323           Ukai Kosuke   41   94   91   7   13   1   0   3   23    5   1   1   0   0   31    2    0   1    1  0.143  0.170  0.253  0.423    28  0.110  0.175   33.0%   2.1%  0.06  -0.2    18.6%   41.4%   76.9%   64.3%  20.5%   38.3%  24    7  R    Chunichi Dragons     CL
324          Umetsu Kodai    3    5    5   0    1   0   0   0    1    0   0   0   0   0    1    0    0   0    1  0.200  0.200  0.200  0.400    22  0.000  0.250   20.0%   0.0%  0.00  -0.0     0.0%    0.0%  100.0%   46.7%   0.0%   20.0%  26    1  R    Chunichi Dragons     CL
325          Usami Shingo   69  226  206  12   58   6   0   3   73   14   0   0   2   0   47   17    1   1    4  0.282  0.339  0.354  0.693   117  0.072  0.353   20.8%   7.5%  0.36  -0.0    10.6%   28.8%   88.7%   49.8%   9.9%   29.6%  30    2  L    Chunichi Dragons     CL
326         Viciedo Dayan   91  347  315  20   77   9   0   6  104   23   0   0   0   1   41   27    1   4    8  0.244  0.311  0.330  0.641   100  0.086  0.264   11.8%   7.8%  0.66  -0.0    12.7%   29.3%   92.3%   47.5%   8.1%   21.3%  34    3  R    Chunichi Dragons     CL
