Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Kriske Brooks,14,0,2,1,0,0,.000,64,15,,9,1,9,0,0,30,4,0,7,7,4.20,DeNA BayStars,
Kyoyama Masaya,7,2,2,0,1,0,.500,193,43,.2,38,2,19,0,6,33,2,0,19,17,3.50,DeNA BayStars,
Marcelino Hansel,1,0,0,0,0,0,.000,4,1,,0,0,1,0,0,0,1,0,0,0,0.00,DeNA BayStars,
Mikami Tomoya,9,0,0,1,0,0,.000,33,8,.2,4,0,2,0,0,6,0,0,1,1,1.04,DeNA BayStars,
Mishima Kazuki,11,0,0,0,0,0,.000,48,11,.2,10,3,2,0,1,14,0,0,5,4,3.09,DeNA BayStars,
Miura Ginji,28,1,5,1,0,0,.167,200,49,.1,37,4,17,0,1,51,4,0,19,19,3.47,DeNA BayStars,
Miyagi Daita,27,2,0,1,0,0,1.000,138,32,.2,21,0,18,0,5,41,1,0,9,9,2.48,DeNA BayStars,
Miyaguni Ryosuke,15,1,2,0,0,0,.333,134,32,,38,3,7,0,1,28,3,0,13,12,3.38,DeNA BayStars,
Morihara Kohei,5,1,0,0,0,0,1.000,21,5,,4,1,1,0,1,10,0,0,1,1,1.80,DeNA BayStars,
Nakagawa Koh,32,2,1,8,0,0,.667,154,34,.2,30,1,21,0,0,38,4,0,14,11,2.86,DeNA BayStars,
Peoples Michael,6,0,3,0,0,0,.000,80,17,.1,22,1,8,0,0,8,0,0,14,10,5.19,DeNA BayStars,
Romero Fernando,5,0,3,0,0,0,.000,119,26,,26,4,16,0,3,22,0,0,14,9,3.12,DeNA BayStars,
Sakaguchi Kousuke,19,6,7,0,0,0,.462,453,105,.2,93,7,50,0,6,91,10,0,42,34,2.90,DeNA BayStars,
Sakamoto Yuya,10,2,2,0,0,0,.500,205,45,.1,55,7,17,0,0,41,1,0,29,22,4.37,DeNA BayStars,
Sakurai Shuto,13,1,1,2,0,0,.500,64,15,.2,8,0,12,0,0,17,2,0,5,4,2.30,DeNA BayStars,
Sunada Yoshiki,21,0,1,1,0,0,.000,108,24,,28,3,6,0,2,21,2,0,12,11,4.13,DeNA BayStars,
Taira Kentaro,4,1,0,0,0,0,1.000,58,15,,11,2,2,0,0,20,1,0,8,8,4.80,DeNA BayStars,
Takada Takuto,26,0,3,0,0,0,.000,147,32,,31,1,26,0,1,18,5,0,21,18,5.06,DeNA BayStars,
Tanaka Kenjiro,5,0,0,0,0,0,.000,20,4,.2,6,1,1,0,0,5,0,0,2,2,3.86,DeNA BayStars,
Tokuyama Souma,17,2,6,0,0,0,.250,346,77,.1,79,6,44,0,5,58,7,0,36,30,3.49,DeNA BayStars,
Yamasaki Yasuaki,1,0,0,0,0,0,.000,4,1,,0,0,2,0,0,2,0,0,0,0,0.00,DeNA BayStars,
Akahoshi Yuji,4,2,0,0,0,0,1.000,71,18,,17,2,2,0,1,11,0,0,6,6,3.00,Yomiuri Giants,
Andriese Matt,10,5,0,0,0,0,1.000,178,44,.1,40,1,10,0,1,38,2,0,12,10,2.03,Yomiuri Giants,
De La Rosa Rubby,10,1,0,1,0,0,1.000,47,11,,14,0,1,0,0,9,0,0,4,4,3.27,Yomiuri Giants,
Hatake Seishu,6,1,0,0,0,0,1.000,43,11,,8,0,3,0,0,8,0,0,3,3,2.45,Yomiuri Giants,
Heinai Ryuta,5,1,0,0,0,0,1.000,22,4,,8,0,0,0,0,4,1,0,5,5,11.25,Yomiuri Giants,
Horioka Hayato,30,3,3,1,0,0,.500,192,41,.1,44,0,26,0,1,48,1,0,20,13,2.83,Yomiuri Giants,
Hotta Kenshin,13,2,6,0,0,0,.250,256,59,,58,5,32,0,2,53,4,0,31,31,4.73,Yomiuri Giants,
Imamura Nobutaka,1,0,0,0,0,0,.000,4,1,,1,0,0,0,0,1,0,0,0,0,0.00,Yomiuri Giants,
Inoh Shoichi,28,4,2,0,0,0,.667,206,51,.1,43,2,11,0,1,50,1,0,25,21,3.68,Yomiuri Giants,
Inoue Haruto,7,0,1,0,0,0,.000,131,30,,35,3,6,0,2,36,2,0,16,16,4.80,Yomiuri Giants,
Ishita Hayato,2,0,0,0,0,0,.000,23,4,,6,0,6,0,0,5,1,0,5,5,11.25,Yomiuri Giants,
Kagiya Yohei,13,0,1,0,0,0,.000,51,11,.2,12,0,4,0,0,11,0,0,6,6,4.63,Yomiuri Giants,
Kamouchi Eiji,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
Kasashima Naoki,16,0,1,0,0,0,.000,77,16,.2,22,0,10,0,2,6,1,1,10,9,4.86,Yomiuri Giants,
Kawasaki Haruto,2,0,2,0,0,0,.000,22,4,,8,1,4,0,0,3,0,0,4,4,9.00,Yomiuri Giants,
Kikuchi Taiki,39,2,0,11,0,0,1.000,179,44,.2,32,2,15,0,0,66,1,0,12,12,2.42,Yomiuri Giants,
Kinoshita Motoya,14,3,5,0,0,0,.375,266,59,,67,4,25,0,4,42,0,1,33,31,4.73,Yomiuri Giants,
Krol Ian,2,0,0,0,0,0,.000,6,2,,0,0,0,0,0,2,0,0,0,0,0.00,Yomiuri Giants,
Kuwahara Takuya,3,0,0,0,0,0,.000,13,3,,2,0,1,0,1,3,1,0,2,2,6.00,Yomiuri Giants,
Kyomoto Makoto,1,1,0,0,0,0,1.000,17,5,,1,0,2,0,0,3,0,0,0,0,0.00,Yomiuri Giants,
Mercedes Cristopher Crisostomo,1,0,0,0,0,0,.000,7,2,,2,0,0,0,0,3,0,0,0,0,0.00,Yomiuri Giants,
Missaki Daniel,5,0,1,0,0,0,.000,45,11,,6,1,6,0,2,13,0,0,3,3,2.45,Yomiuri Giants,
Naoe Daisuke,17,3,1,0,0,0,.750,291,64,.2,80,5,22,0,3,40,2,0,43,38,5.29,Yomiuri Giants,
Numata Shohei,26,2,4,3,0,0,.333,108,26,,21,2,7,0,2,30,0,0,14,11,3.81,Yomiuri Giants,
Ohe Ryusei,38,0,0,0,0,0,.000,134,30,.1,24,1,21,0,5,39,1,0,12,12,3.56,Yomiuri Giants,
