#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/41045137.html>Fujinami Shintaro</a>,1,0,1,0,0,0,15,3.0,2,0,6,3,0,1,0,2,1,3.00,3.62,2.80,1.67,101,92,74,-0.62,0.0%,40.0%,20.0%,20.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,32,R,C
,<a href=https://npb.jp/bis/eng/players/61665155.html>Fukazawa Osuke</a>,1,0,0,0,0,0,18,5.0,2,0,5,1,0,0,0,1,0,0.00,2.22,2.58,0.60,999,57,68,-2.22,0.0%,27.8%,5.6%,22.2%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,22,R,C
,<a href=https://npb.jp/bis/eng/players/71675134.html>Hamachi Masumi</a>,3,2,0,0,0,0,11,3.0,1,0,3,0,0,0,0,1,0,0.00,1.62,2.07,0.33,999,41,55,-1.62,0.0%,27.3%,0.0%,27.3%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,28,R,C
,<a href=https://npb.jp/bis/eng/players/71875134.html>Horioka Hayato</a>,4,1,0,1,0,0,14,4.0,1,0,1,1,0,0,0,1,0,0.00,3.87,4.80,0.50,999,99,127,-3.87,0.0%,7.1%,7.1%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,27,R,C
,<a href=https://npb.jp/bis/eng/players/61365153.html>Irie Taisei</a>,1,0,0,0,0,0,20,5.0,5,0,7,1,0,0,0,1,1,1.80,1.42,1.80,1.20,169,36,48,0.38,0.0%,35.0%,5.0%,30.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,27,R,C
,<a href=https://npb.jp/bis/eng/players/11315130.html>Ishida Kenta</a>,3,0,0,0,0,0,22,6.0,4,0,4,0,0,0,0,0,0,0.00,2.29,2.98,0.67,999,58,79,-2.29,0.0%,18.2%,0.0%,18.2%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,33,L,C
,<a href=https://npb.jp/bis/eng/players/21125159.html>Ishida Yutaro</a>,1,1,0,0,0,0,20,6.0,1,0,5,0,0,0,0,0,0,0.00,1.95,2.30,0.17,999,50,61,-1.95,0.0%,25.0%,0.0%,25.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,24,R,C
,<a href=https://npb.jp/bis/eng/players/81385153.html>Iwata Masaki</a>,4,0,0,0,0,0,6,2.2,1,0,2,0,0,0,0,0,0,0.00,2.12,1.47,0.38,999,54,39,-2.12,0.0%,33.3%,0.0%,33.3%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,28,L,C
,<a href=https://npb.jp/bis/eng/players/41545150.html>Kanabuchi Koki</a>,2,0,0,0,0,0,25,6.0,6,0,5,1,0,0,0,1,0,0.00,2.45,3.20,1.17,999,63,85,-2.45,0.0%,20.0%,4.0%,16.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,19,L,C
,<a href=https://npb.jp/bis/eng/players/61565152.html>Katayama Hiromi</a>,2,1,0,0,0,0,28,8.0,3,1,6,1,0,0,0,1,1,1.13,4.12,3.01,0.50,269,105,80,-2.99,3.6%,21.4%,3.6%,17.9%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,27,L,C
,<a href=https://npb.jp/bis/eng/players/23125159.html>Matsumoto Ryoto</a>,4,0,0,0,0,0,16,4.0,4,0,4,1,0,0,0,0,0,0.00,2.37,2.92,1.25,999,61,78,-2.37,0.0%,25.0%,6.2%,18.8%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,24,R,C
,<a href=https://npb.jp/bis/eng/players/93195153.html>Matsumoto Ryunosuke</a>,1,0,0,0,0,0,15,4.0,1,0,2,2,0,1,0,0,0,0.00,4.87,4.80,0.75,999,124,127,-4.87,0.0%,13.3%,13.3%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,23,L,C
