Batter,Team,Bats,PA,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,sHPT,sST,sSeager,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Muramatsu Kaito,Chunichi,L,58,15.51724138,12.06896552,3.448275862,44.39834025,63.55932203,25.80645161,77.57009346,90.66666667,46.875,9.958506224,22.42990654,27.38589212,31.85185185,55.08982036,23.23796851,56.43153527,53.65853659,34.14634146,12.19512195,34.14634146,0.0,46.34146341,0.0,0.0,31.70731707,53.65853659,14.63414634,14.63414634
Murabayashi Itsuki,Rakuten,R,57,21.05263158,1.754385965,19.29824561,48.32535885,62.60869565,30.85106383,81.18811881,88.88888889,62.06896552,9.090909091,18.81188119,28.70813397,39.81481481,47.44525547,7.63044066,62.67942584,70.45454545,20.45454545,9.090909091,20.45454545,0.0,29.54545455,1.754385965,11.11111111,27.27272727,45.45454545,27.27272727,9.090909091
Dalbec Bobby,Yomiuri,R,56,35.71428571,12.5,23.21428571,44.0,63.49206349,24.19354839,70.0,77.5,50.0,13.2,30.0,31.6,32.85714286,54.02298851,21.16584565,58.4,46.42857143,35.71428571,17.85714286,28.57142857,7.142857143,53.57142857,3.571428571,20.0,35.71428571,46.42857143,17.85714286,17.85714286
Kurebayashi Kotaro,ORIX,R,55,9.090909091,3.636363636,5.454545455,51.24378109,67.67676768,35.29411765,74.75728155,79.10447761,66.66666667,12.93532338,25.24271845,28.35820896,32.65306122,49.62406015,16.97099893,61.19402985,35.41666667,52.08333333,12.5,39.58333333,12.5,64.58333333,1.818181818,4.0,35.41666667,45.83333333,18.75,14.58333333
Shuto Ukyo,SoftBank,L,55,14.54545455,9.090909091,5.454545455,41.39534884,60.34482759,19.19191919,85.39325843,87.14285714,78.94736842,6.046511628,14.60674157,26.51162791,36.50793651,53.33333333,16.82539683,57.20930233,53.65853659,43.90243902,2.43902439,34.14634146,9.756097561,46.34146341,1.818181818,5.555555556,41.46341463,29.26829268,29.26829268,17.07317073
Lin An-Ko,Seibu,L,54,22.22222222,5.555555556,16.66666667,45.67307692,64.64646465,28.44036697,75.78947368,85.9375,54.83870968,11.05769231,24.21052632,27.88461538,30.97345133,54.92957746,23.95612614,56.73076923,36.11111111,55.55555556,8.333333333,41.66666667,13.88888889,63.88888889,1.851851852,5.0,38.88888889,36.11111111,25.0,24.32432432
Sasaki Tai,Hiroshima,R,54,14.81481481,3.703703704,11.11111111,49.23857868,63.73626374,36.79245283,84.53608247,93.10344828,71.79487179,7.614213198,15.46391753,24.87309645,33.0,53.6,20.6,60.91370558,44.18604651,46.51162791,9.302325581,25.58139535,20.93023256,55.81395349,1.851851852,5.0,41.86046512,44.18604651,13.95348837,20.93023256
Polanco Gregory,Lotte,L,54,14.81481481,5.555555556,9.259259259,50.48076923,73.73737374,29.09090909,72.38095238,83.56164384,46.875,13.94230769,27.61904762,25.96153846,25.0,51.65562914,26.65562914,56.73076923,30.23255814,62.79069767,6.976744186,37.20930233,25.58139535,69.76744186,1.851851852,3.703703704,44.18604651,37.20930233,18.60465116,27.90697674
Nakamura Shosei,Hiroshima,R,54,11.11111111,3.703703704,7.407407407,40.34334764,52.84552846,26.36363636,88.29787234,93.84615385,75.86206897,4.721030043,11.70212766,27.46781116,41.72661871,55.47945205,13.75283335,61.80257511,56.52173913,43.47826087,0.0,19.56521739,23.91304348,43.47826087,0.0,0.0,13.04347826,52.17391304,34.7826087,6.52173913
Mizuno Tatsuki,Nipponham,L,53,9.433962264,5.660377358,3.773584906,48.35164835,70.52631579,24.13793103,80.68181818,88.05970149,57.14285714,9.340659341,19.31818182,23.07692308,29.78723404,49.62406015,19.83682611,56.04395604,36.36363636,54.54545455,9.090909091,52.27272727,2.272727273,63.63636364,0.0,0.0,43.18181818,29.54545455,27.27272727,13.33333333
Genda Sosuke,Seibu,L,52,13.46153846,11.53846154,1.923076923,49.28909953,64.1025641,30.85106383,89.42307692,94.66666667,75.86206897,5.213270142,10.57692308,24.17061611,39.25233645,46.42857143,7.17623498,63.98104265,57.89473684,36.84210526,5.263157895,28.94736842,7.894736842,42.10526316,0.0,0.0,28.94736842,44.73684211,26.31578947,10.25641026
Nakashima Daisuke,Rakuten,L,52,17.30769231,5.769230769,11.53846154,45.85635359,62.5,27.05882353,74.69879518,78.33333333,65.2173913,11.60220994,25.30120482,30.38674033,36.73469388,50.81967213,14.08497825,59.66850829,46.15384615,48.71794872,5.128205128,30.76923077,17.94871795,53.84615385,1.923076923,5.263157895,38.46153846,35.8974359,25.64102564,15.0
Tamiya Yua,Nipponham,L,51,19.60784314,5.882352941,13.7254902,51.26903553,67.36842105,36.2745098,73.26732673,79.6875,62.16216216,13.70558376,26.73267327,28.93401015,32.29166667,50.3875969,18.09593023,59.89847716,48.64864865,32.43243243,18.91891892,24.32432432,8.108108108,51.35135135,3.921568627,16.66666667,32.43243243,32.43243243,35.13513514,10.52631579
Fabian Sandro,Hiroshima,R,51,15.68627451,0.0,15.68627451,50.0,60.91954023,40.4040404,81.72043011,96.22641509,62.5,9.139784946,18.27956989,27.41935484,36.55913978,52.67857143,16.11943164,61.29032258,40.0,52.5,7.5,27.5,25.0,60.0,3.921568627,9.523809524,50.0,25.0,25.0,21.42857143
Kinami Seiya,Hanshin,L,51,25.49019608,5.882352941,19.60784314,45.61403509,63.1147541,25.47169811,78.84615385,81.81818182,70.37037037,9.649122807,21.15384615,29.38596491,36.29032258,50.64102564,14.35070306,58.33333333,70.58823529,20.58823529,8.823529412,11.76470588,8.823529412,29.41176471,1.960784314,14.28571429,32.35294118,50.0,17.64705882,2.941176471
Kozono Kaito,Hiroshima,L,50,14.0,8.0,6.0,45.50561798,60.22727273,31.11111111,79.01234568,88.67924528,60.71428571,9.550561798,20.98765432,28.08988764,36.08247423,53.91304348,17.83056925,61.79775281,51.28205128,41.02564103,7.692307692,30.76923077,10.25641026,48.71794872,0.0,0.0,33.33333333,41.02564103,25.64102564,10.25641026
