Pitcher,G,W,L,SV,CG,SHO,NBBG,PCT,BF,IP,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Nakachi Reia,2,2,0,0,0,0,0,1.000,47,11.2,8,1,7,0,0,7,0,0,1,1,0.77,Chunichi Dragons,
Saitoh Kohki,2,0,0,0,0,0,0,.000,6,2,0,0,0,0,0,4,0,0,0,0,0.00,Chunichi Dragons,
Takahashi Kosuke,2,0,1,0,0,0,0,.000,23,4,11,1,1,0,0,1,0,0,6,6,13.50,Chunichi Dragons,
Umeno Yugo,1,0,0,0,0,0,0,.000,3,1,1,0,0,0,0,1,0,0,0,0,0.00,Chunichi Dragons,
Wakui Hideaki,2,0,2,0,0,0,0,.000,46,11,13,0,3,0,0,2,0,0,7,6,4.91,Chunichi Dragons,
Yoshida Seiya,3,1,0,0,0,0,0,1.000,38,8.2,10,0,4,0,1,3,0,0,5,5,5.19,Chunichi Dragons,
Abe Shota,6,0,0,0,0,0,0,.000,23,5,5,1,0,0,3,1,0,0,1,1,1.80,ORIX Buffaloes,
Ashida Taketo,4,0,0,0,0,0,0,.000,25,6.1,5,0,1,0,0,5,0,0,0,0,0.00,ORIX Buffaloes,
Espinoza Anderson,1,1,0,0,0,0,0,1.000,22,5,6,0,1,0,0,6,0,0,2,2,3.60,ORIX Buffaloes,
Gonda Ryusei,5,2,0,1,0,0,0,1.000,25,6,3,1,1,0,2,9,0,0,2,1,1.50,ORIX Buffaloes,
Hjelle Sean,1,0,0,0,0,0,0,.000,9,2,2,0,1,0,0,5,0,0,0,0,0.00,ORIX Buffaloes,
Inui Kento,1,1,0,0,0,0,0,1.000,5,1,4,0,0,0,0,0,0,0,1,1,9.00,ORIX Buffaloes,
Iriyama Kaito,7,1,0,2,0,0,0,1.000,32,6.2,9,1,3,0,0,3,0,0,7,7,9.45,ORIX Buffaloes,
Iwasaki Sho,2,0,1,0,0,0,0,.000,11,1.1,7,0,0,0,0,0,0,0,4,4,27.00,ORIX Buffaloes,
Katayama Raiku,2,0,0,0,0,0,0,.000,29,7,7,0,0,0,1,6,0,0,1,1,1.29,ORIX Buffaloes,
Kawase Kento,5,0,0,1,0,0,0,.000,33,5.2,10,1,5,0,1,7,1,0,7,7,11.12,ORIX Buffaloes,
Kotajima Seiryu,1,0,0,0,0,0,0,.000,1,0.1,0,0,0,0,0,0,0,0,0,0,0.00,ORIX Buffaloes,
Machado Andres,1,0,0,0,0,0,0,.000,5,1,2,0,0,0,0,2,0,0,1,1,9.00,ORIX Buffaloes,
Miyaguni Riku,3,1,1,0,0,0,0,.500,68,16.2,15,0,6,0,0,7,0,0,8,6,3.24,ORIX Buffaloes,
Mukunoki Ren,1,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,ORIX Buffaloes,
Satoh Kazuma,2,0,0,0,0,0,0,.000,18,4.2,3,0,1,0,0,5,0,0,3,3,5.79,ORIX Buffaloes,
Shapiro Matthewichiro,1,0,0,0,0,0,0,.000,4,1,2,0,0,0,0,0,0,0,1,0,0.00,ORIX Buffaloes,
Sotani Ryuhei,1,0,1,0,0,0,0,.000,12,2.1,5,1,0,0,0,1,0,0,3,3,11.57,ORIX Buffaloes,
Suga Hiroto,1,0,0,0,0,0,0,.000,3,1,2,0,0,0,0,0,0,0,0,0,0.00,ORIX Buffaloes,
Suzuki Hiroshi,3,0,1,0,0,0,0,.000,31,5.1,12,1,3,0,0,1,0,1,11,10,16.88,ORIX Buffaloes,
Tajima Daiki,1,0,1,0,0,0,0,.000,29,6,6,1,4,0,0,4,0,0,2,2,3.00,ORIX Buffaloes,
Takaya Shu,1,0,0,0,0,0,0,.000,8,2,1,0,0,0,0,2,0,0,0,0,0.00,ORIX Buffaloes,
Teranishi Naruki,1,0,0,0,0,0,0,.000,7,2,1,0,0,0,0,0,0,0,0,0,0.00,ORIX Buffaloes,
Tomiyama Ryoga,4,0,0,0,0,0,0,.000,17,5,2,0,0,0,0,4,0,0,0,0,0.00,ORIX Buffaloes,
Toumatsu Kaisei,1,0,0,0,0,0,0,.000,4,1,0,0,2,0,0,0,0,0,0,0,0.00,ORIX Buffaloes,
Yamada Nobuyoshi,4,0,0,0,0,0,0,.000,16,4.1,2,0,1,0,0,5,0,0,0,0,0.00,ORIX Buffaloes,
Yamaguchi Reo,2,0,2,0,0,0,0,.000,29,4.1,12,1,4,0,0,2,0,0,13,13,27.00,ORIX Buffaloes,
Yamaoka Taisuke,2,0,1,0,0,0,0,.000,50,11,13,0,4,0,0,10,1,0,8,4,3.27,ORIX Buffaloes,
Yamazaki Soichiro,1,0,0,0,0,0,0,.000,6,1,2,0,0,0,1,2,0,0,1,1,9.00,ORIX Buffaloes,
Yokoyama Kaede,1,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,0,0,0,0,0,0.00,ORIX Buffaloes,
Yoshida Kosei,2,0,0,0,0,0,0,.000,8,2,1,0,1,0,0,3,0,0,0,0,0.00,ORIX Buffaloes,
Akiyama Seiun,2,0,1,0,0,0,0,.000,31,7,10,1,1,0,0,7,0,0,4,4,5.14,Lotte Marines,
Azuma Yusuke,5,1,1,0,0,0,0,.500,23,5.1,5,0,3,1,0,6,0,0,3,2,3.38,Lotte Marines,
Fuji Hayato,1,1,0,0,0,0,0,1.000,9,2,3,0,1,0,0,0,0,0,0,0,0.00,Lotte Marines,
Ishikawa Shuta,2,0,1,0,0,0,0,.000,42,9.2,8,1,5,0,0,12,0,0,6,5,4.66,Lotte Marines,
Karakawa Yuki,2,0,2,0,0,0,0,.000,41,10,11,2,0,0,0,7,0,0,7,7,6.30,Lotte Marines,
Kawamura Tokito,3,1,1,0,0,0,0,.500,70,15.2,19,2,7,0,0,9,1,0,7,6,3.45,Lotte Marines,
Kikuchi Riku,4,0,0,0,0,0,0,.000,25,5.1,3,0,2,0,1,5,2,0,4,0,0.00,Lotte Marines,
Kimura Yuto,1,0,0,0,0,0,0,.000,15,4,2,0,1,0,0,4,0,0,0,0,0.00,Lotte Marines,
Miyazaki Hayato,1,0,0,0,0,0,0,.000,7,2,1,0,0,0,0,2,1,0,0,0,0.00,Lotte Marines,
Mori Ryotaro,2,1,1,0,0,0,0,.500,39,9.1,8,1,3,0,0,12,0,0,4,4,3.86,Lotte Marines,
Motomae Fumiya,3,0,0,0,0,0,0,.000,15,4,1,0,1,0,1,4,0,0,1,1,2.25,Lotte Marines,
Nagashima Kosuke,3,0,0,0,0,0,0,.000,22,4.2,7,1,3,0,0,4,1,0,5,5,9.64,Lotte Marines,
Nakamori Shunsuke,2,0,0,0,0,0,0,.000,7,2,1,0,1,0,0,0,0,0,0,0,0.00,Lotte Marines,
Nakamura Ryota,2,0,0,0,0,0,0,.000,39,9,12,0,0,0,0,6,1,0,3,3,3.00,Lotte Marines,
Nishino Yuji,1,0,0,0,0,0,0,.000,18,5,3,0,1,0,0,5,0,0,0,0,0.00,Lotte Marines,
