Batter,Team,Bats,PA,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Fushimi Torai,Hanshin,R,7,0.0,14.28571429,-14.28571429,37.5,69.23076923,0.0,88.88888889,88.88888889,,4.166666667,11.11111111,20.83333333,50.0,80.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,60.0,20.0,20.0,0.0
Genda Sosuke,Seibu,L,7,28.57142857,0.0,28.57142857,61.53846154,66.66666667,50.0,81.25,83.33333333,75.0,11.53846154,18.75,34.61538462,73.07692308,60.0,40.0,0.0,20.0,20.0,40.0,0.0,0.0,80.0,20.0,0.0,40.0
Hashimoto Seiya,Yakult,L,7,14.28571429,14.28571429,0.0,33.33333333,36.36363636,30.76923077,87.5,100.0,75.0,4.166666667,12.5,29.16666667,58.33333333,60.0,40.0,0.0,20.0,20.0,40.0,0.0,0.0,80.0,20.0,0.0,40.0
Watarai Ryuki,DeNA,L,7,14.28571429,0.0,14.28571429,54.54545455,66.66666667,40.0,100.0,100.0,100.0,0.0,0.0,18.18181818,59.09090909,16.66666667,83.33333333,0.0,66.66666667,16.66666667,83.33333333,14.28571429,20.0,33.33333333,66.66666667,0.0,33.33333333
Castro Rodolfo,Nipponham,R,7,42.85714286,0.0,42.85714286,63.63636364,53.84615385,77.77777778,50.0,71.42857143,28.57142857,31.81818182,50.0,63.63636364,86.36363636,0.0,100.0,0.0,100.0,0.0,100.0,14.28571429,50.0,100.0,0.0,0.0,100.0
Takizawa Natsuo,Seibu,L,6,16.66666667,0.0,16.66666667,50.0,54.54545455,44.44444444,90.0,83.33333333,100.0,5.0,10.0,30.0,75.0,80.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,40.0,40.0,0.0
Kobukata Hiroto,Rakuten,L,6,50.0,0.0,50.0,34.7826087,46.66666667,12.5,62.5,71.42857143,0.0,13.04347826,37.5,47.82608696,65.2173913,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,33.33333333,33.33333333,33.33333333,33.33333333
Matsuo Shion,DeNA,R,5,0.0,0.0,0.0,35.71428571,33.33333333,40.0,100.0,100.0,100.0,0.0,0.0,42.85714286,64.28571429,60.0,40.0,0.0,20.0,20.0,40.0,0.0,0.0,20.0,60.0,20.0,20.0
Akahane Yoshihiro,Yakult,R,5,60.0,0.0,60.0,52.38095238,44.44444444,58.33333333,54.54545455,100.0,28.57142857,23.80952381,45.45454545,47.61904762,66.66666667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,0.0,50.0,0.0
Sakamoto Seishiro,Hanshin,R,5,0.0,20.0,-20.0,50.0,83.33333333,35.71428571,80.0,80.0,80.0,10.0,20.0,15.0,40.0,25.0,50.0,25.0,25.0,25.0,75.0,0.0,0.0,25.0,75.0,0.0,25.0
Suzuki Kyo,Yakult,R,5,20.0,0.0,20.0,75.0,91.66666667,50.0,73.33333333,81.81818182,50.0,20.0,26.66666667,25.0,70.0,0.0,50.0,50.0,25.0,25.0,100.0,0.0,0.0,25.0,25.0,50.0,25.0
Nomura Yuki,Nipponham,R,5,40.0,0.0,40.0,50.0,70.0,30.0,80.0,100.0,33.33333333,10.0,20.0,25.0,55.0,0.0,100.0,0.0,66.66666667,33.33333333,100.0,20.0,33.33333333,66.66666667,0.0,33.33333333,66.66666667
Ikeda Raito,Lotte,R,5,0.0,0.0,0.0,70.58823529,80.0,57.14285714,100.0,100.0,100.0,0.0,0.0,11.76470588,82.35294118,20.0,80.0,0.0,40.0,40.0,80.0,0.0,0.0,40.0,0.0,60.0,20.0
Tomosugi Atsuki,Lotte,R,4,50.0,0.0,50.0,35.29411765,50.0,22.22222222,50.0,75.0,0.0,17.64705882,50.0,41.17647059,52.94117647,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0
Masuda Shu,Yakult,R,4,0.0,25.0,-25.0,42.85714286,85.71428571,0.0,100.0,100.0,,0.0,0.0,7.142857143,50.0,33.33333333,66.66666667,0.0,66.66666667,0.0,66.66666667,0.0,0.0,0.0,66.66666667,33.33333333,0.0
Tsutsugoh Yoshitomo,DeNA,L,4,0.0,0.0,0.0,38.88888889,45.45454545,28.57142857,85.71428571,100.0,50.0,5.555555556,14.28571429,38.88888889,55.55555556,25.0,75.0,0.0,75.0,0.0,75.0,0.0,0.0,100.0,0.0,0.0,75.0
Satoh Naoki,Rakuten,R,4,25.0,0.0,25.0,69.23076923,77.77777778,50.0,77.77777778,85.71428571,50.0,15.38461538,22.22222222,30.76923077,61.53846154,33.33333333,66.66666667,0.0,66.66666667,0.0,66.66666667,25.0,50.0,33.33333333,66.66666667,0.0,0.0
Ishii Kazunari,Seibu,L,4,25.0,0.0,25.0,41.66666667,57.14285714,20.0,80.0,100.0,0.0,8.333333333,20.0,33.33333333,66.66666667,33.33333333,66.66666667,0.0,33.33333333,33.33333333,66.66666667,0.0,0.0,33.33333333,0.0,66.66666667,0.0
Yamamura Takayoshi,Seibu,L,4,25.0,0.0,25.0,53.84615385,85.71428571,16.66666667,100.0,100.0,100.0,0.0,0.0,7.692307692,61.53846154,66.66666667,33.33333333,0.0,33.33333333,0.0,33.33333333,0.0,0.0,33.33333333,0.0,66.66666667,0.0
Suzuki Daichi,Rakuten,L,4,0.0,0.0,0.0,58.33333333,66.66666667,33.33333333,100.0,100.0,100.0,0.0,0.0,25.0,83.33333333,75.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,100.0,0.0,0.0,25.0
Nishino Masahiro,ORIX,L,4,50.0,25.0,25.0,18.75,14.28571429,22.22222222,33.33333333,100.0,0.0,12.5,66.66666667,50.0,56.25,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Kawase Hikaru,SoftBank,L,4,0.0,0.0,0.0,38.46153846,62.5,0.0,100.0,100.0,,0.0,0.0,23.07692308,38.46153846,0.0,100.0,0.0,75.0,25.0,100.0,0.0,0.0,50.0,25.0,25.0,50.0
Yazawa Kota,Nipponham,L,4,25.0,0.0,25.0,52.94117647,50.0,54.54545455,66.66666667,100.0,50.0,17.64705882,33.33333333,35.29411765,64.70588235,66.66666667,33.33333333,0.0,33.33333333,0.0,33.33333333,0.0,0.0,33.33333333,66.66666667,0.0,0.0
Isobata Ryota,Nipponham,L,4,0.0,25.0,-25.0,38.88888889,70.0,0.0,100.0,100.0,,0.0,0.0,16.66666667,50.0,33.33333333,33.33333333,33.33333333,33.33333333,0.0,66.66666667,0.0,0.0,33.33333333,33.33333333,33.33333333,33.33333333
Yamagata Shu,Nipponham,R,4,25.0,0.0,25.0,50.0,60.0,44.44444444,71.42857143,100.0,50.0,14.28571429,28.57142857,21.42857143,64.28571429,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.33333333,66.66666667,0.0,0.0
Takahashi Haruto,Hanshin,L,4,50.0,0.0,50.0,8.333333333,11.11111111,0.0,100.0,100.0,,0.0,0.0,58.33333333,66.66666667,50.0,0.0,50.0,0.0,0.0,50.0,0.0,,0.0,100.0,0.0,0.0
Koga Yuto,Seibu,R,3,33.33333333,0.0,33.33333333,50.0,75.0,16.66666667,85.71428571,100.0,0.0,7.142857143,14.28571429,21.42857143,57.14285714,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Hamada Taiki,Hanshin,R,3,100.0,0.0,100.0,64.28571429,100.0,44.44444444,33.33333333,60.0,0.0,42.85714286,66.66666667,42.85714286,64.28571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Satoh Toshiya,Lotte,L,3,0.0,0.0,0.0,62.5,60.0,66.66666667,80.0,100.0,50.0,12.5,20.0,37.5,87.5,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,50.0
Ishida Yutaro,DeNA,R,3,100.0,0.0,100.0,38.46153846,16.66666667,57.14285714,60.0,100.0,50.0,15.38461538,40.0,53.84615385,76.92307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Watanabe Yoshiaki,Rakuten,L,3,33.33333333,0.0,33.33333333,50.0,71.42857143,20.0,50.0,60.0,0.0,25.0,50.0,41.66666667,58.33333333,50.0,0.0,50.0,0.0,0.0,50.0,0.0,,50.0,50.0,0.0,0.0
Sasaki Shunsuke,Yomiuri,L,3,0.0,0.0,0.0,66.66666667,100.0,33.33333333,75.0,66.66666667,100.0,16.66666667,25.0,16.66666667,66.66666667,66.66666667,33.33333333,0.0,33.33333333,0.0,33.33333333,0.0,0.0,33.33333333,66.66666667,0.0,0.0
Tanigawara Kenta,SoftBank,L,3,0.0,0.0,0.0,71.42857143,100.0,0.0,60.0,60.0,,28.57142857,40.0,28.57142857,71.42857143,33.33333333,66.66666667,0.0,33.33333333,33.33333333,66.66666667,0.0,0.0,0.0,66.66666667,33.33333333,0.0
Yamano Taichi,Yakult,L,3,66.66666667,0.0,66.66666667,46.15384615,50.0,40.0,50.0,50.0,50.0,23.07692308,50.0,53.84615385,69.23076923,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,100.0,0.0
Ishikami Taiki,DeNA,L,3,100.0,0.0,100.0,56.25,80.0,16.66666667,33.33333333,37.5,0.0,37.5,66.66666667,50.0,68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Yanagi Yuya,Chunichi,R,3,33.33333333,0.0,33.33333333,45.45454545,66.66666667,20.0,80.0,100.0,0.0,9.090909091,20.0,18.18181818,54.54545455,50.0,0.0,50.0,0.0,0.0,50.0,0.0,,50.0,50.0,0.0,50.0
Masuda Riku,Yomiuri,R,3,66.66666667,0.0,66.66666667,60.0,50.0,66.66666667,50.0,50.0,50.0,30.0,50.0,50.0,80.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
Kuribayashi Ryoji,Hiroshima,R,3,100.0,0.0,100.0,45.45454545,20.0,66.66666667,40.0,100.0,25.0,27.27272727,60.0,63.63636364,81.81818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
Akiyama Shogo,Hiroshima,L,2,0.0,0.0,0.0,45.45454545,50.0,42.85714286,80.0,100.0,66.66666667,9.090909091,20.0,27.27272727,54.54545455,50.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0
Kuki Ryuhei,DeNA,R,2,50.0,0.0,50.0,57.14285714,80.0,0.0,75.0,75.0,,14.28571429,25.0,28.57142857,71.42857143,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0
Abe Toshiki,Chunichi,R,2,50.0,0.0,50.0,55.55555556,66.66666667,33.33333333,40.0,50.0,0.0,33.33333333,60.0,55.55555556,77.77777778,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Tsujimoto Rintaro,Chunichi,R,2,0.0,0.0,0.0,50.0,0.0,100.0,100.0,,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,50.0,50.0,0.0
Yoshimura Kojiro,Yakult,R,2,50.0,0.0,50.0,20.0,20.0,,100.0,100.0,,0.0,0.0,80.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0
Oka Hiromi,Lotte,R,2,50.0,0.0,50.0,30.0,40.0,20.0,33.33333333,50.0,0.0,20.0,66.66666667,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0
Murakami Shoki,Hanshin,L,2,0.0,0.0,0.0,50.0,100.0,0.0,100.0,100.0,,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0
Azuma Katsuki,DeNA,L,2,50.0,0.0,50.0,58.33333333,77.77777778,0.0,85.71428571,85.71428571,,8.333333333,14.28571429,25.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0
Takemaru Kazuyuki,Yomiuri,L,2,100.0,0.0,100.0,37.5,0.0,75.0,33.33333333,,33.33333333,25.0,66.66666667,75.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
