Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Inoue Haruto,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Izuguchi Yuta,7,26,22,4,7,0,0,1,10,4,1,0,1,1,2,1,0,2,0,.318,.455,.360,Yomiuri Giants,
Keller Kyle,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Kishida Yukinori,2,8,7,1,2,0,0,0,2,1,0,0,0,0,1,0,0,2,1,.286,.286,.375,Yomiuri Giants,
Kita Ryusuke,6,14,13,4,5,2,0,0,7,3,0,0,0,0,0,0,1,1,1,.385,.538,.429,Yomiuri Giants,
Kobayashi Seiji,5,8,8,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,.375,.375,.375,Yomiuri Giants,
Kohri Takuya,12,28,26,4,6,1,0,0,7,2,0,0,0,0,1,0,1,3,1,.231,.269,.286,Yomiuri Giants,
Masuda Riku,10,36,33,4,13,0,0,0,13,7,0,0,0,1,1,0,1,1,0,.394,.394,.417,Yomiuri Giants,
Mataki Teppei,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Matsui Hayate,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Miyahara Shunsuke,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Morita Shunya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Murayama Gen,8,15,12,3,3,1,0,0,4,3,0,1,1,0,2,0,0,3,0,.250,.333,.357,Yomiuri Giants,
Nakagawa Kota,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Nakata Ayumu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Nishidate Yuhi,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.500,1.000,.500,Yomiuri Giants,
