Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Nakamura Takahiro,15,37,34,3,6,1,0,0,7,3,1,0,0,1,10,1,0,1,2,0.176,0.216,0.206,0.422,29,0.030,0.240,29.7%,27.0%,2.7%,0.10,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nirasawa Yuya,45,55,50,5,7,2,0,0,9,3,0,0,0,0,13,5,1,0,3,0.140,0.218,0.180,0.398,21,0.040,0.189,32.7%,23.6%,9.1%,0.38,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nishikawa Ryoma,109,443,416,48,127,20,1,9,176,56,7,6,1,4,52,21,4,1,10,0.305,0.337,0.423,0.760,131,0.118,0.329,18.5%,11.7%,4.7%,0.40,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Noma Takayoshi,108,418,371,37,106,11,1,0,119,26,5,6,8,1,51,33,0,5,10,0.286,0.351,0.321,0.672,106,0.035,0.330,20.1%,12.2%,7.9%,0.65,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nomura Yusuke,6,10,8,0,1,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0.125,0.222,0.125,0.347,7,0.000,0.200,40.0%,30.0%,10.0%,0.33,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Ohmori Minoru,59,71,66,10,10,2,0,1,15,5,4,3,1,0,22,2,0,2,1,0.152,0.200,0.227,0.427,29,0.075,0.209,35.2%,31.0%,2.8%,0.09,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Ohsera Daichi,23,33,30,0,0,0,0,0,0,0,1,0,2,0,15,1,0,0,0,0.000,0.032,0.000,0.032,-92,0.000,0.000,48.5%,45.5%,3.0%,0.07,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Sakakura Shogo,120,448,395,48,105,19,1,12,162,44,3,0,1,2,67,47,6,3,9,0.266,0.347,0.410,0.757,130,0.144,0.292,28.1%,15.0%,10.5%,0.70,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Sone Kaisei,39,15,14,6,2,1,0,0,3,0,1,1,0,0,3,1,0,0,0,0.143,0.200,0.214,0.414,26,0.071,0.182,26.7%,20.0%,6.7%,0.33,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Suekane Shota,65,146,139,16,38,6,0,11,77,27,0,0,0,0,40,6,1,1,5,0.273,0.308,0.554,0.862,158,0.281,0.307,39.0%,27.4%,4.1%,0.15,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
