Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,Unnamed: 12
石川 慎吾,巨,LF,43.3,-0.4,-0.8,-,0.4,0.0,-0.4,-,-,
石川 慎吾,巨,RF,45.0,-3.9,-3.4,-,-0.5,0.0,-0.2,-,-,
白崎 浩之,オ,1B,46.0,-0.7,-0.2,-0.1,-,-0.5,-0.5,-,-,
白崎 浩之,オ,2B,9.0,0.0,0.3,0.4,-,-0.7,0.0,-,-,
白崎 浩之,オ,3B,49.0,-1.4,-0.3,-0.1,-,-1.1,-0.2,-,-,
渡邉 諒,日,2B,1152.7,-0.4,0.2,-1.9,-,1.3,3.0,-,-,
西野 真弘,オ,2B,71.7,0.0,0.4,0.1,-,-0.4,0.2,-,-,
西野 真弘,オ,3B,297.3,4.9,1.8,0.7,-,2.3,-1.1,-,-,
遠藤 一星,中,LF,135.0,2.8,3.7,-,-0.2,-0.8,-1.3,-,-,
遠藤 一星,中,CF,17.0,0.7,0.1,-,0.6,0.0,0.1,-,-,
遠藤 一星,中,RF,134.7,1.6,1.6,-,-0.1,0.1,-0.5,-,-,
辰己 涼介,楽,CF,791.7,13.1,12.9,-,-0.3,0.5,2.6,-,-,
辰己 涼介,楽,RF,81.0,3.4,2.1,-,1.2,0.0,-0.3,-,-,
辰己 涼介,楽,DH,1.0,-,-,-,-,-,0.0,-,-,
溝脇 隼人,中,2B,24.0,-0.5,-0.5,-0.1,-,0.1,0.1,-,-,
阿部 寿樹,中,1B,24.3,-0.2,-0.2,0.0,-,0.0,-0.3,-,-,
阿部 寿樹,中,2B,977.7,4.0,-0.5,2.3,-,2.2,2.6,-,-,
阿部 寿樹,中,3B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
阿部 寿樹,中,DH,16.0,-,-,-,-,-,-0.2,-,-,
小田 裕也,オ,LF,53.3,2.5,1.8,-,0.6,0.0,-0.5,-,-,
小田 裕也,オ,CF,166.0,-1.0,-1.0,-,-0.1,0.1,0.5,-,-,
小田 裕也,オ,RF,241.7,2.6,1.4,-,1.1,0.1,-0.9,-,-,
山田 哲人,ヤ,2B,1220.0,3.0,-0.2,1.7,-,1.5,3.2,-,-,
堂上 直倫,中,1B,23.0,0.1,0.0,0.0,-,0.1,-0.3,-,-,
堂上 直倫,中,2B,166.7,0.7,0.8,-0.3,-,0.2,0.4,-,-,
堂上 直倫,中,3B,133.7,3.3,1.6,0.4,-,1.3,-0.5,-,-,
堂上 直倫,中,SS,81.0,0.7,0.2,-0.1,-,0.6,0.6,-,-,
炭谷 銀仁朗,巨,C,349.0,-1.1,-,-,-0.9,-0.2,4.9,-,-,
大城 滉二,オ,2B,3.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
大城 滉二,オ,3B,8.3,-0.3,-0.3,0.0,-,0.0,0.0,-,-,
大城 滉二,オ,SS,740.3,-2.4,-1.1,0.1,-,-1.4,5.9,-,-,
宮本 丈,ヤ,2B,9.0,0.3,0.4,-0.1,-,0.0,0.0,-,-,
宮本 丈,ヤ,3B,56.7,-0.3,-0.9,0.3,-,0.4,-0.2,-,-,
宮本 丈,ヤ,LF,8.0,0.7,0.6,-,0.0,0.0,-0.1,-,-,
福田 秀平,ソ,1B,11.0,-0.2,-0.2,0.0,-,0.0,-0.1,-,-,
福田 秀平,ソ,2B,6.0,0.4,0.4,0.0,-,0.0,0.0,-,-,
福田 秀平,ソ,LF,51.3,-0.8,-0.8,-,0.0,0.0,-0.5,-,-,
福田 秀平,ソ,CF,229.3,0.9,0.4,-,0.3,0.1,0.7,-,-,
福田 秀平,ソ,RF,81.0,-1.8,-1.0,-,-0.8,0.0,-0.3,-,-,
山足 達也,オ,2B,66.0,-0.1,0.1,0.1,-,-0.3,0.2,-,-,
山足 達也,オ,3B,43.0,-0.4,-0.6,0.0,-,0.2,-0.2,-,-,
山足 達也,オ,SS,35.0,0.7,1.0,0.2,-,-0.4,0.3,-,-,
山足 達也,オ,DH,1.0,-,-,-,-,-,0.0,-,-,
真砂 勇介,ソ,LF,5.0,-1.0,-1.0,-,0.0,0.0,0.0,-,-,
真砂 勇介,ソ,CF,30.0,1.8,2.0,-,-0.2,0.0,0.1,-,-,
真砂 勇介,ソ,RF,8.0,-1.3,-1.3,-,0.0,0.0,0.0,-,-,
真砂 勇介,ソ,DH,2.0,-,-,-,-,-,0.0,-,-,
松井 佑介,中,LF,37.0,1.1,0.9,-,0.1,0.0,-0.3,-,-,
松井 佑介,中,RF,33.0,-2.4,-2.3,-,-0.2,0.0,-0.1,-,-,
山崎 晃大朗,ヤ,LF,66.0,1.5,2.0,-,-0.6,0.0,-0.6,-,-,
山崎 晃大朗,ヤ,CF,168.3,-0.3,1.4,-,-0.9,-0.7,0.5,-,-,
山崎 晃大朗,ヤ,RF,109.0,0.1,-0.2,-,0.2,0.1,-0.4,-,-,
中山 翔太,ヤ,LF,106.0,1.5,1.9,-,-0.5,0.1,-1.0,-,-,
中山 翔太,ヤ,RF,75.0,-2.8,-1.8,-,-1.1,0.0,-0.3,-,-,
井領 雅貴,中,LF,59.0,1.0,0.5,-,0.5,0.0,-0.6,-,-,
