Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Izumi Keisuke,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Kadowaki Makoto,129,405,350,29,85,9,1,0,96,21,9,3,16,0,37,7,2,63,3,.243,.274,.319,Yomiuri Giants,
Kajitani Takayuki,6,17,16,2,3,0,0,1,6,2,0,0,0,0,1,0,0,4,1,.188,.375,.235,Yomiuri Giants,
Keller Kyle,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Kishida Yukinori,88,298,269,22,65,10,1,4,89,26,2,2,9,2,14,0,4,43,11,.242,.331,.287,Yomiuri Giants,
Kita Ryusuke,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Kobayashi Seiji,42,123,105,4,16,3,0,1,22,8,1,0,7,0,9,2,2,18,1,.152,.210,.233,Yomiuri Giants,
Kohri Takuya,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Yomiuri Giants,
Kyomoto Makoto,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Maru Yoshihiro,138,595,525,51,146,18,1,14,208,45,8,4,0,2,65,5,3,93,9,.278,.396,.360,Yomiuri Giants,
Masuda Daiki,40,38,30,4,6,1,1,0,9,4,4,1,7,0,1,0,0,6,1,.200,.300,.226,Yomiuri Giants,
Masuda Riku,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,.000,.000,.167,Yomiuri Giants,
Mataki Teppei,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Yomiuri Giants,
Matsubara Seiya,9,16,13,1,2,0,0,0,2,2,0,0,0,0,3,0,0,5,0,.154,.154,.313,Yomiuri Giants,
Matsui Hayate,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Mendez Yohander,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Yomiuri Giants,
Montes Coco,46,159,151,14,41,15,0,1,59,14,1,0,0,0,7,2,1,21,3,.272,.391,.308,Yomiuri Giants,
Nakagawa Kota,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Yomiuri Giants,
Nakayama Raito,32,48,44,2,14,3,0,0,17,2,0,0,0,0,4,0,0,12,1,.318,.386,.375,Yomiuri Giants,
Nishidate Yuhi,28,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.000,.000,.000,Yomiuri Giants,
