                   Player   G   PA   AB   R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%    BB%  BB/K Age  Pos  B                Team League
103         Mimori Masaki  33  114  104   7  24   8   0   0  32    5   7   2   0   1  20   9    1   0    0  0.231  0.289  0.308  0.597    90  0.077  0.282   25.4%   17.5%   7.9%  0.45  26  UTL  L       DeNA BayStars     CL
105      Miyazaki Toshiro  26   98   88   7  23   3   0   1  29   10   0   0   0   1  14   8    0   1    5  0.261  0.327  0.330  0.657   109  0.069  0.297   23.5%   14.3%   8.2%  0.57  36    5  R       DeNA BayStars     CL
106            Mori Keito  13   43   40   4   7   0   1   0   9    4   0   0   0   1  11   2    0   0    0  0.175  0.209  0.225  0.434    38  0.050  0.233   30.2%   25.6%   4.7%  0.18  23    6  L       DeNA BayStars     CL
108       Nakagawa Hayate   9    1    1   0   1   0   0   0   1    0   0   0   0   0   0   0    0   0    0  1.000  1.000  1.000  2.000   538  0.000  1.000    0.0%    0.0%   0.0%        26    1  L       DeNA BayStars     CL
110       Ohnuki Shinichi   4    7    7   0   1   0   0   0   1    0   0   0   0   0   2   0    0   0    0  0.143  0.143  0.143  0.286    -9  0.000  0.200   28.6%   28.6%   0.0%  0.00  31    1  R       DeNA BayStars     CL
112            Sano Keita  38  152  135   8  35   4   0   1  42   20   0   0   0   1  11  16    1   0    2  0.259  0.336  0.311  0.647   106  0.052  0.274   18.4%    7.2%  10.5%  1.45  30    7  L       DeNA BayStars     CL
115     Shibata Tatsuhiro  16    7    5   1   0   0   0   0   0    0   1   0   1   0   2   1    0   0    0  0.000  0.167  0.000  0.167   -44  0.000  0.000   42.9%   28.6%  14.3%  0.50  31    5  L       DeNA BayStars     CL
117         Taira Kentaro   6    9    9   0   0   0   0   0   0    0   0   0   0   0   5   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   55.6%   55.6%   0.0%  0.00  29    1  R       DeNA BayStars     CL
118    Tobashira Yasutaka  13   22   20   0   5   1   0   0   6    3   0   0   0   1   4   1    0   0    0  0.250  0.273  0.300  0.573    82  0.050  0.294   22.7%   18.2%   4.5%  0.25  35    2  L       DeNA BayStars     CL
119   Tsutsugoh Yoshitomo  19   58   52   5   6   1   0   1  10    2   0   0   0   0  17   6    0   0    2  0.115  0.207  0.192  0.399    27  0.077  0.147   41.4%   29.3%  10.3%  0.35  33    7  L       DeNA BayStars     CL
120         Watarai Ryuki  32  125  114  12  29   4   1   3  44   10   0   1   1   1  15   8    0   1    3  0.254  0.306  0.386  0.692   119  0.132  0.268   20.8%   12.0%   6.4%  0.53  22    9  L       DeNA BayStars     CL
122       Yamamoto Yuudai  30  105   96   5  22   5   1   0  29   19   0   0   1   3  13   4    1   1    3  0.229  0.260  0.302  0.562    78  0.073  0.256   16.2%   12.4%   3.8%  0.31  26    2  R       DeNA BayStars     CL
124        Yoshino Teruki   1    2    2   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   50.0%   50.0%   0.0%  0.00  26    1  R       DeNA BayStars     CL
125         Akahoshi Yuji   8   15   12   1   3   0   0   0   3    0   0   0   3   0   5   0    0   0    0  0.250  0.250  0.250  0.500    59  0.000  0.429   33.3%   33.3%   0.0%  0.00  25    1  R      Yomiuri Giants     CL
126          Akihiro Yuto   5    8    7   0   1   0   0   0   1    0   0   0   0   0   0   1    0   0    0  0.143  0.250  0.143  0.393    27  0.000  0.143   12.5%    0.0%  12.5%  1.00  22    7  L      Yomiuri Giants     CL
127            Aramaki Yu   6   13   11   0   2   0   0   0   2    0   0   0   0   0   5   2    0   0    0  0.182  0.308  0.182  0.490    59  0.000  0.333   53.8%   38.5%  15.4%  0.40  22    3  L      Yomiuri Giants     CL
128           Asano Shogo  10   29   26   2   4   1   0   2  11    3   0   0   0   1   9   1    0   1    0  0.154  0.207  0.423  0.630    97  0.269  0.125   41.4%   31.0%   3.4%  0.11  20    8  R      Yomiuri Giants     CL
