                 Pitcher   G  W  L  SV  HLD  CG  SHO   BF    IP   H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB% Age  T                Team League
48         Ishida Yutaro   5  1  1   0    1   1    1   89  22.2  18   0  22   6    0   0   0   9   8   3.18   1.71   3.00  1.06   87   55     83    1.47   0.0%  24.7%   6.7%   18.0%  23  R       DeNA BayStars     CL
49         Jackson Andre  10  5  2   0    0   0    0  255  63.2  51   1  52  15    1   3   3  11  11   1.55   2.27   3.35  1.04  178   73     93   -0.72   0.4%  20.4%   5.9%   14.5%  29  R       DeNA BayStars     CL
50           Kay Anthony   9  5  2   0    0   0    0  240  62.0  46   2  50  14    1   1   0   7   7   1.02   2.39   3.30  0.97  270   77     91   -1.37   0.8%  20.8%   5.8%   15.0%  30  L       DeNA BayStars     CL
51          Miyagi Daita  17  1  1   0    3   0    0   78  19.1  11   0  13  10    0   0   1   3   2   0.93   3.06   4.42  1.09  296   99    122   -2.13   0.0%  16.7%  12.8%    3.8%  24  R       DeNA BayStars     CL
52        Morihara Kohei   6  0  2   0    1   0    0   26   6.0   8   1   4   0    0   0   0   5   5   7.50   3.69   3.26  1.33   37  119     90    3.81   3.8%  15.4%   0.0%   15.4%  33  R       DeNA BayStars     CL
53       Nakagawa Hayate  12  0  0   0    1   0    0   49  10.0  11   0   9   6    1   1   0   4   3   2.70   3.15   4.19  1.70  102  102    116   -0.45   0.0%  18.4%  12.2%    6.1%  26  R       DeNA BayStars     CL
54          Nakagawa Koh   6  0  0   0    0   0    0   25   6.0   4   0   6   2    0   0   1   0   0   0.00   1.85   3.20  1.00  999   60     89   -1.85   0.0%  24.0%   8.0%   16.0%  25  R       DeNA BayStars     CL
55       Ohnuki Shinichi   6  1  3   0    0   0    0  141  34.0  33   3  21   8    0   2   0  15  15   3.97   3.65   3.88  1.21   69  118    107    0.32   2.1%  14.9%   5.7%    9.2%  31  R       DeNA BayStars     CL
56         Sakamoto Yuya  13  1  1   0    1   0    0   62  14.1  12   2  12   7    2   0   1   6   5   3.14   4.46   3.99  1.33   88  144    111   -1.32   3.2%  19.4%  11.3%    8.1%  27  L       DeNA BayStars     CL
57        Sasaki Chihaya   6  0  0   0    0   0    0   28   6.0   9   0   3   3    0   0   0   3   3   4.50   3.35   4.80  2.00   61  108    133    1.15   0.0%  10.7%  10.7%    0.0%  31  R       DeNA BayStars     CL
58       Shinogi Kentaro   2  0  0   0    1   0    0   10   1.1   2   0   0   3    0   1   0   4   4  27.00  11.85   7.80  3.75   10  383    216   15.15   0.0%   0.0%  30.0%  -30.0%  23  R       DeNA BayStars     CL
59         Taira Kentaro   6  1  2   0    0   0    0  123  29.0  31   3  22   6    0   0   0  12  12   3.72   3.30   3.50  1.28   74  107     97    0.42   2.4%  17.9%   4.9%   13.0%  29  R       DeNA BayStars     CL
60            Wick Rowan  18  3  0   1   12   0    0   73  19.0   9   0  20   8    0   2   0   1   1   0.47   2.33   3.16  0.89  585   75     87   -1.86   0.0%  27.4%  11.0%   16.4%  32  R       DeNA BayStars     CL
61      Yamasaki Yasuaki  13  0  3   1    1   0    0   46  11.0  10   2   8   4    1   0   0   5   5   4.09   4.85   3.93  1.27   67  157    109   -0.76   4.3%  17.4%   8.7%    8.7%  32  R       DeNA BayStars     CL
62        Yoshino Teruki   1  0  0   0    0   0    0   21   4.2   3   0   2   5    0   0   0   1   0   0.00   5.21   6.23  1.71  999  169    172   -5.21   0.0%   9.5%  23.8%  -14.3%  26  R       DeNA BayStars     CL
63         Akahoshi Yuji  11  4  4   0    0   1    1  259  66.2  58   6  48   7    2   1   0  14  13   1.76   2.94   3.22  0.98  154   97     89   -1.18   2.3%  18.5%   2.7%   15.8%  25  R      Yomiuri Giants     CL
64           Baba Kosuke   6  0  0   0    0   0    0   23   5.1   3   0   4   3    0   0   1   3   2   3.38   3.04   4.37  1.13   80  100    121    0.34   0.0%  17.4%  13.0%    4.3%  30  R      Yomiuri Giants     CL
65     Baldonado Alberto   3  0  0   0    1   0    0   10   1.2   2   0   0   3    0   0   1   2   2  10.80   8.25   7.80  3.00   25  271    216    2.55   0.0%   0.0%  30.0%  -30.0%  32  L      Yomiuri Giants     CL
66   Funabasama Hiromasa  20  1  2   0    6   0    0   68  17.1  13   3  10   5    3   1   0   5   5   2.60   4.99   4.06  1.04  104  164    113   -2.39   4.4%  14.7%   7.4%    7.4%  28  R      Yomiuri Giants     CL
67        Griffin Foster   7  4  0   0    0   0    0  152  39.0  24   0  44  10    1   2   0   4   4   0.92   1.52   2.56  0.87  295   50     71   -0.60   0.0%  28.9%   6.6%   22.4%  29  L      Yomiuri Giants     CL
68          Heinai Ryuta   3  0  0   0    0   0    0    7   2.1   0   0   3   0    0   0   0   0   0   0.00   0.28   0.51  0.00  999    9     14   -0.28   0.0%  42.9%   0.0%   42.9%  26  R      Yomiuri Giants     CL
69         Hotta Kenshin   7  0  1   0    0   0    0   94  21.1  22   4  11  11    0   1   0  13  13   5.48   5.95   4.80  1.55   49  195    133   -0.47   4.3%  11.7%  11.7%    0.0%  24  R      Yomiuri Giants     CL
70          Inoue Haruto  10  3  5   0    0   0    0  256  63.0  57   5  58  12    1   1   0  25  21   3.00   2.66   3.00  1.10   90   87     83    0.34   2.0%  22.7%   4.7%   18.0%  24  L      Yomiuri Giants     CL
71      Ishikawa Tatsuya  15  1  3   0    1   0    0  139  33.2  30   1  21  10    1   1   0   8   6   1.60   2.97   4.01  1.19  169   98    111   -1.37   0.7%  15.1%   7.2%    7.9%  27  L      Yomiuri Giants     CL
72         Izumi Keisuke   5  0  0   0    0   0    0   27   5.2   6   1   5   3    0   1   1   5   5   7.94   5.50   4.06  1.59   34  181    112    2.44   3.7%  18.5%  11.1%    7.4%  28  R      Yomiuri Giants     CL
