Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
Sakamoto Koki,23,4,5,0,0,0,285,71.1,50,10,70,20,0,5,2,29,26,3.28,4.49,3.05,0.98,107,108,82,-1.21,3.5%,24.6%,7.0%,17.5%,Yomiuri Giants,24,R,EL
Sakurai Toshiki,3,0,0,0,0,0,25,6.0,4,0,5,3,0,0,0,2,2,3.00,3.41,4.00,1.17,117,82,107,-0.41,0.0%,20.0%,12.0%,8.0%,Yomiuri Giants,25,R,EL
Sawamura Hirokazu,5,1,2,0,0,0,98,24.2,20,2,25,5,0,0,0,9,9,3.28,3.21,2.76,1.01,107,77,74,0.07,2.0%,25.5%,5.1%,20.4%,Yomiuri Giants,31,R,EL
Taguchi Kazuto,8,1,2,0,1,0,157,37.0,36,5,37,12,0,0,2,19,18,4.38,4.31,3.21,1.30,80,103,86,0.07,3.2%,23.6%,7.6%,15.9%,Yomiuri Giants,23,L,EL
Tahara Seiji,28,1,1,2,0,0,113,24.1,30,4,25,9,0,2,0,13,12,4.44,5.01,3.38,1.60,79,120,91,-0.57,3.5%,22.1%,8.0%,14.2%,Yomiuri Giants,29,R,EL
Takagi Kyosuke,13,0,0,2,0,0,48,12.2,6,1,14,2,0,1,0,2,2,1.42,3.10,2.30,0.63,248,74,62,-1.68,2.1%,29.2%,4.2%,25.0%,Yomiuri Giants,29,L,EL
Takahashi Yuki,9,2,2,0,0,0,118,29.0,21,1,25,11,0,1,0,11,9,2.79,3.54,3.61,1.10,126,85,97,-0.75,0.8%,21.2%,9.3%,11.9%,Yomiuri Giants,22,L,EL
Takai Suguru,7,2,1,0,0,0,34,7.2,8,2,8,4,0,0,1,4,4,4.70,6.45,3.62,1.57,75,155,97,-1.75,5.9%,23.5%,11.8%,11.8%,Yomiuri Giants,23,R,EL
Takata Hosei,20,6,6,0,0,0,456,108.1,119,4,87,20,0,6,3,44,36,2.99,3.17,3.33,1.28,118,76,89,-0.18,0.9%,19.1%,4.4%,14.7%,Yomiuri Giants,20,R,EL
Tanaka Yudai,7,0,0,0,0,0,40,9.0,4,0,14,6,0,3,1,1,1,1.00,3.46,2.80,1.11,352,83,75,-2.46,0.0%,35.0%,15.0%,20.0%,Yomiuri Giants,19,R,EL
Tatsumi Daisuke,1,0,1,0,0,0,9,1.0,3,0,0,1,0,0,0,5,1,9.00,6.58,5.91,4.00,39,158,158,2.42,0.0%,0.0%,11.1%,-11.1%,Yomiuri Giants,22,L,EL
Togo Shosei,11,4,1,0,0,0,169,42.0,44,3,44,8,0,2,6,14,14,3.00,3.12,2.67,1.24,117,75,72,-0.12,1.8%,26.0%,4.7%,21.3%,Yomiuri Giants,19,R,EL
Tone Chiaki,7,0,1,1,0,0,22,5.1,5,1,7,2,0,1,0,2,2,3.38,5.08,2.53,1.31,104,122,68,-1.70,4.5%,31.8%,9.1%,22.7%,Yomiuri Giants,26,L,EL
Uehara Koji,9,0,0,0,0,0,38,9.0,11,2,10,1,0,0,0,4,4,4.00,4.58,2.43,1.33,88,110,65,-0.58,5.3%,26.3%,2.6%,23.7%,Yomiuri Giants,44,R,EL
Yamaguchi Shun,2,1,0,0,0,0,45,11.0,11,0,6,4,0,0,1,2,1,0.82,3.58,4.36,1.36,430,86,117,-2.76,0.0%,13.3%,8.9%,4.4%,Yomiuri Giants,31,R,EL
Yamakami Shingo,1,0,1,0,0,0,6,1.0,2,0,0,0,0,1,0,2,2,18.00,6.58,4.80,2.00,20,158,129,11.42,0.0%,0.0%,0.0%,0.0%,Yomiuri Giants,19,R,EL
Yamakawa Tomohiro,21,2,1,1,0,0,152,32.1,39,5,28,16,0,1,1,14,12,3.34,5.43,4.01,1.70,105,130,107,-2.09,3.3%,18.4%,10.5%,7.9%,Yomiuri Giants,24,R,EL
Yamashita Amon,2,0,0,0,0,0,8,2.0,1,0,1,1,0,0,0,0,0,0.00,4.08,4.80,1.00,999,98,129,-4.08,0.0%,12.5%,12.5%,0.0%,Yomiuri Giants,23,L,EL
Yokogawa Kai,4,1,1,0,0,0,55,12.0,13,2,6,7,0,0,1,8,8,6.00,6.49,4.98,1.67,59,156,133,-0.49,3.6%,10.9%,12.7%,-1.8%,Yomiuri Giants,18,L,EL
Yonahara Hirotaka,2,0,0,0,0,0,9,2.0,3,1,0,1,0,0,0,1,1,4.50,11.58,5.91,2.00,78,278,158,-7.08,11.1%,0.0%,11.1%,-11.1%,Yomiuri Giants,21,R,EL
Yoshikawa Mitsuo,14,3,1,1,0,0,98,23.2,16,1,28,11,0,2,2,7,4,1.52,3.41,3.07,1.14,232,82,82,-1.89,1.0%,28.6%,11.2%,17.3%,Yomiuri Giants,31,L,EL
Buchanan David,7,2,2,0,0,0,138,31.0,38,3,17,8,0,3,0,17,17,4.94,4.80,4.15,1.48,71,116,111,0.14,2.2%,12.3%,5.8%,6.5%,Yakult Swallows,30,R,EL
Hara Juri,3,1,0,0,0,0,45,11.2,8,1,9,3,0,0,0,5,5,3.86,3.92,3.47,0.94,91,95,93,-0.06,2.2%,20.0%,6.7%,13.3%,Yakult Swallows,25,R,EL
Higuma Julius,23,2,1,0,0,0,284,62.1,59,9,38,38,0,5,1,42,38,5.49,6.30,4.80,1.56,64,152,129,-0.81,3.2%,13.4%,13.4%,0.0%,Yakult Swallows,22,L,EL
Hirai Ryo,15,1,0,1,0,0,58,14.1,9,2,12,4,0,0,0,6,4,2.51,4.55,3.42,0.91,140,110,92,-2.04,3.4%,20.7%,6.9%,13.8%,Yakult Swallows,28,R,EL
Hoshi Tomoya,10,0,2,0,0,0,54,11.0,14,3,9,8,0,1,0,14,14,11.45,7.94,4.61,2.00,31,192,124,3.51,5.6%,16.7%,14.8%,1.9%,Yakult Swallows,25,R,EL
Ichikawa Yuta,18,1,0,0,0,0,87,19.1,13,1,22,13,0,3,1,8,6,2.79,4.46,3.77,1.34,126,107,101,-1.67,1.1%,25.3%,14.9%,10.3%,Yakult Swallows,18,R,EL
Igarashi Ryota,6,1,0,1,0,0,29,5.2,10,0,6,2,0,1,0,6,5,7.94,3.05,3.42,2.12,44,73,92,4.89,0.0%,20.7%,6.9%,13.8%,Yakult Swallows,40,R,EL
Ishikawa Masanori,1,0,0,0,0,0,6,2.0,0,0,3,0,0,0,0,0,0,0.00,0.58,-0.20,0.00,999,14,-5,-0.58,0.0%,50.0%,0.0%,50.0%,Yakult Swallows,39,L,EL
Ishiyama Taichi,5,0,0,1,0,0,18,5.0,2,0,6,1,0,0,0,0,0,0.00,1.78,2.02,0.60,999,43,54,-1.78,0.0%,33.3%,5.6%,27.8%,Yakult Swallows,30,R,EL
Iwahashi Keiji,15,2,4,0,0,0,178,41.0,44,5,28,13,0,1,2,28,17,3.73,4.82,3.96,1.39,94,116,106,-1.09,2.8%,15.7%,7.3%,8.4%,Yakult Swallows,28,L,EL
Kanakubo Yuto,13,0,1,0,0,0,86,16.1,24,3,8,11,0,2,3,16,15,8.27,7.37,5.15,2.14,42,178,138,0.90,3.5%,9.3%,12.8%,-3.5%,Yakult Swallows,19,R,EL
Kazahari Ren,31,2,1,11,0,0,130,32.1,25,1,33,8,0,1,0,6,4,1.11,2.77,2.88,1.02,316,67,77,-1.66,0.8%,25.4%,6.2%,19.2%,Yakult Swallows,26,R,EL
Kondo Kazuki,2,0,0,0,0,0,9,2.0,2,0,3,1,0,0,0,1,0,0.00,2.08,2.58,1.50,999,50,69,-2.08,0.0%,33.3%,11.1%,22.2%,Yakult Swallows,35,R,EL
Kubo Takuma,42,3,1,1,0,0,189,45.1,34,0,54,19,0,4,1,15,14,2.78,2.72,2.95,1.17,126,66,79,0.06,0.0%,28.6%,10.1%,18.5%,Yakult Swallows,22,L,EL
Kuramoto Harutaka,38,4,3,1,0,0,168,39.0,40,3,16,8,0,3,6,22,18,4.15,4.60,4.32,1.23,84,111,116,-0.45,1.8%,9.5%,4.8%,4.8%,Yakult Swallows,24,R,EL
Muranaka Kyohei,17,4,1,0,0,0,100,21.1,21,1,18,19,0,4,2,13,11,4.64,5.73,4.90,1.88,76,138,131,-1.09,1.0%,18.0%,19.0%,-1.0%,Yakult Swallows,31,L,EL
Nakao Hikaru,36,2,1,0,0,0,153,36.0,32,7,48,14,0,0,8,21,18,4.50,4.60,2.58,1.28,78,111,69,-0.10,4.6%,31.4%,9.2%,22.2%,Yakult Swallows,24,L,EL
Nakazawa Masato,43,1,4,3,0,0,151,36.2,29,1,37,9,0,5,3,11,11,2.70,3.06,2.95,1.04,130,74,79,-0.36,0.7%,24.5%,6.0%,18.5%,Yakult Swallows,34,L,EL
Numata Takumi,17,0,0,0,0,0,114,22.0,25,1,20,21,0,3,5,22,15,6.14,5.62,4.89,2.09,57,136,131,0.52,0.9%,17.5%,18.4%,-0.9%,Yakult Swallows,25,R,EL
Oshita Yuma,22,2,3,1,0,0,92,23.1,14,5,21,8,0,0,1,10,10,3.86,5.59,3.39,0.94,91,135,91,-1.73,5.4%,22.8%,8.7%,14.1%,Yakult Swallows,26,R,EL
Sakamoto Koshiro,28,2,2,4,0,0,154,35.1,30,3,33,22,2,3,2,16,14,3.57,4.93,4.09,1.47,98,119,109,-1.36,1.9%,21.4%,14.3%,7.1%,Yakult Swallows,24,L,EL
Shimizu Noboru,17,5,9,0,0,0,391,90.1,94,8,82,34,0,1,4,52,45,4.48,4.07,3.57,1.42,78,98,96,0.41,2.0%,21.0%,8.7%,12.3%,Yakult Swallows,22,R,EL
Suarez Albert,4,1,2,0,0,0,49,11.0,13,1,8,4,0,0,1,6,5,4.09,4.39,3.98,1.55,86,106,107,-0.30,2.0%,16.3%,8.2%,8.2%,Yakult Swallows,29,R,EL
Suzuki Yuta,19,0,2,0,0,0,108,19.1,30,3,11,19,0,3,4,23,18,8.38,7.87,5.54,2.53,42,190,148,0.51,2.8%,10.2%,17.6%,-7.4%,Yakult Swallows,18,R,EL
Tagawa Kengo,16,4,5,0,2,1,340,82.2,76,11,69,28,0,1,2,35,34,3.70,4.69,3.59,1.26,95,113,96,-0.99,3.2%,20.3%,8.2%,12.1%,Yakult Swallows,25,R,EL
Takahashi Keiji,3,1,0,0,0,0,58,16.0,8,0,17,4,0,0,0,2,2,1.13,2.20,2.56,0.75,310,53,69,-1.07,0.0%,29.3%,6.9%,22.4%,Yakult Swallows,22,L,EL
Takanashi Hirotoshi,10,3,2,1,0,0,214,51.1,47,6,52,18,0,0,5,21,19,3.33,4.12,3.21,1.27,105,99,86,-0.79,2.8%,24.3%,8.4%,15.9%,Yakult Swallows,28,R,EL
Tateyama Shohei,19,4,5,0,0,0,393,92.0,85,4,80,44,0,4,4,44,38,3.72,3.97,3.88,1.40,94,96,104,-0.25,1.0%,20.4%,11.2%,9.2%,Yakult Swallows,38,R,EL
Terahara Hayato,14,2,4,0,0,0,255,54.2,68,9,31,32,1,4,0,41,39,6.42,6.56,4.84,1.83,55,158,130,-0.14,3.5%,12.2%,12.5%,-0.4%,Yakult Swallows,35,R,EL
Terashima Naruki,24,2,2,1,0,0,185,43.1,35,6,27,28,1,1,1,23,22,4.57,6.14,4.85,1.45,77,148,130,-1.57,3.2%,14.6%,15.1%,-0.5%,Yakult Swallows,20,L,EL
Yagi Shogo,41,4,3,1,0,0,171,38.0,50,6,23,16,1,5,6,20,20,4.74,6.08,4.39,1.74,74,147,118,-1.34,3.5%,13.5%,9.4%,4.1%,Yakult Swallows,30,R,EL
Yamada Hiroki,12,0,1,0,0,0,214,49.2,50,3,63,14,0,3,1,17,17,3.08,2.85,2.51,1.29,114,69,67,0.23,1.4%,29.4%,6.5%,22.9%,Yakult Swallows,30,L,EL
Yamakawa Koji,1,0,0,0,0,0,5,1.0,0,0,1,1,0,1,0,0,0,0.00,7.58,4.80,1.00,999,183,129,-7.58,0.0%,20.0%,20.0%,0.0%,Yakult Swallows,22,R,EL
Yamanaka Hirofumi,18,5,7,1,0,0,407,96.0,105,8,42,18,0,7,3,41,38,3.56,4.57,4.21,1.28,98,110,113,-1.01,2.0%,10.3%,4.4%,5.9%,Yakult Swallows,33,R,EL
Achira Takuma,17,4,4,0,1,1,296,72.2,67,7,58,16,0,5,2,35,33,4.09,4.10,3.38,1.14,91,93,91,-0.01,2.4%,19.6%,5.4%,14.2%,Chunichi Dragons,26,R,WL
Brito Sandy,10,0,0,0,0,0,45,6.2,7,0,1,18,0,0,7,11,8,10.80,11.38,8.58,3.75,34,259,230,-0.58,0.0%,2.2%,40.0%,-37.8%,Chunichi Dragons,22,R,WL
Fujishima Kento,3,1,0,0,0,0,12,4.0,2,0,4,0,0,0,0,0,0,0.00,1.58,1.47,0.50,999,36,39,-1.58,0.0%,33.3%,0.0%,33.3%,Chunichi Dragons,21,R,WL
Fuku Hiroto,12,0,0,1,0,0,70,17.1,9,1,18,9,0,1,0,3,3,1.56,3.98,3.51,1.04,238,91,94,-2.42,1.4%,25.7%,12.9%,12.9%,Chunichi Dragons,27,L,WL
Fukutani Koji,11,3,2,0,0,0,139,32.2,38,1,29,6,0,0,2,17,14,3.86,2.75,3.15,1.35,96,63,84,1.11,0.7%,20.9%,4.3%,16.5%,Chunichi Dragons,28,R,WL
Hamada Tatsuro,15,1,2,0,0,0,127,25.2,33,3,18,19,0,3,3,28,25,8.77,6.26,4.88,2.03,42,143,131,2.51,2.4%,14.2%,15.0%,-0.8%,Chunichi Dragons,24,L,WL
Hamada Tomohiro,17,0,1,0,0,0,153,36.2,35,4,19,12,0,2,3,19,16,3.93,5.10,4.34,1.28,95,116,116,-1.17,2.6%,12.4%,7.8%,4.6%,Chunichi Dragons,26,L,WL
Ishida KentoMarc,18,0,1,0,0,0,96,22.2,14,1,21,15,0,1,1,8,5,1.99,4.41,4.17,1.28,187,100,112,-2.42,1.0%,21.9%,15.6%,6.2%,Chunichi Dragons,23,R,WL
Ishikawa Sho,1,0,1,0,0,0,24,4.0,9,0,6,3,0,0,1,7,3,6.75,2.83,3.55,3.00,55,64,95,3.92,0.0%,25.0%,12.5%,12.5%,Chunichi Dragons,19,R,WL
Ito Junki,30,1,0,4,0,0,114,31.0,14,0,24,11,0,0,0,1,1,0.29,3.09,3.66,0.81,1281,70,98,-2.80,0.0%,21.1%,9.6%,11.4%,Chunichi Dragons,28,R,WL
Kakigoshi Kenshin,15,3,2,0,0,0,145,32.2,34,4,16,16,0,4,1,14,13,3.58,6.02,4.80,1.53,104,137,129,-2.44,2.8%,11.0%,11.0%,0.0%,Chunichi Dragons,19,L,WL
Kasahara Shotaro,7,1,0,1,0,0,76,18.0,14,4,16,9,0,0,0,8,7,3.50,6.19,3.88,1.28,106,141,104,-2.69,5.3%,21.1%,11.8%,9.2%,Chunichi Dragons,24,L,WL
Katsuno Akiyoshi,15,1,4,0,0,0,243,53.1,62,4,41,23,0,3,5,34,28,4.73,4.48,4.06,1.59,79,102,109,0.25,1.6%,16.9%,9.5%,7.4%,Chunichi Dragons,22,R,WL
Kinoshita Yusuke,22,1,3,1,0,0,109,27.0,26,4,27,7,0,0,2,14,11,3.67,4.28,2.97,1.22,101,97,79,-0.61,3.7%,24.8%,6.4%,18.3%,Chunichi Dragons,25,R,WL
Martinez Raidel,9,3,0,1,0,0,44,11.1,7,0,17,5,0,0,0,3,3,2.38,1.90,2.07,1.06,156,43,56,0.48,0.0%,38.6%,11.4%,27.3%,Chunichi Dragons,22,R,WL
Matayoshi Katsuki,18,1,0,3,0,0,77,21.1,12,2,16,2,0,2,0,3,2,0.84,3.86,2.98,0.66,442,88,80,-3.02,2.6%,20.8%,2.6%,18.2%,Chunichi Dragons,28,R,WL
Matsuba Takahiro,11,3,3,0,0,0,181,45.2,45,2,27,8,0,0,0,18,16,3.15,3.49,3.75,1.16,118,79,100,-0.34,1.1%,14.9%,4.4%,10.5%,Chunichi Dragons,28,L,WL
Matsuzaka Daisuke,6,1,3,0,0,0,118,28.0,23,3,30,11,0,2,1,9,9,2.89,4.22,3.19,1.21,129,96,85,-1.33,2.5%,25.4%,9.3%,16.1%,Chunichi Dragons,38,R,WL
Mitsuma Takuya,25,2,2,2,0,0,122,28.1,22,0,25,13,0,4,3,14,12,3.81,3.61,3.82,1.24,98,82,102,0.20,0.0%,20.5%,10.7%,9.8%,Chunichi Dragons,26,R,WL
Ogasawara Shinnosuke,5,2,1,0,0,0,89,24.0,17,1,16,2,0,0,2,4,4,1.50,3.03,3.23,0.79,248,69,86,-1.53,1.1%,18.0%,2.2%,15.7%,Chunichi Dragons,21,L,WL
Oguma Ryosuke,27,0,1,3,0,0,121,30.2,27,2,23,2,0,2,1,12,12,3.52,3.32,3.06,0.95,106,75,82,0.20,1.7%,19.0%,1.7%,17.4%,Chunichi Dragons,28,R,WL
Okada Toshiya,13,0,3,2,0,0,67,14.0,17,3,10,3,0,1,0,16,9,5.79,5.79,3.76,1.43,64,132,101,-0.00,4.5%,14.9%,4.5%,10.4%,Chunichi Dragons,27,L,WL
Ono Yudai,1,0,0,0,0,0,19,4.0,5,0,1,1,0,1,0,4,3,6.75,4.58,4.80,1.50,55,104,129,2.17,0.0%,5.3%,5.3%,0.0%,Chunichi Dragons,30,L,WL
Romero Enny,3,0,0,0,0,0,53,14.0,10,0,15,3,0,0,0,3,3,1.93,2.08,2.54,0.93,192,47,68,-0.15,0.0%,28.3%,5.7%,22.6%,Chunichi Dragons,28,L,WL
Sato Yu,24,2,1,1,0,0,184,45.0,39,2,25,11,0,4,1,16,15,3.00,4.04,4.04,1.11,124,92,108,-1.04,1.1%,13.6%,6.0%,7.6%,Chunichi Dragons,26,R,WL
Shimizu Tatsuya,18,3,1,0,0,0,262,60.2,54,3,53,21,0,5,4,24,18,2.67,3.76,3.58,1.24,139,86,96,-1.09,1.1%,20.2%,8.0%,12.2%,Chunichi Dragons,19,R,WL
Sobue Daisuke,7,0,1,0,0,0,31,7.1,9,0,5,0,0,0,0,2,1,1.23,2.21,3.19,1.23,302,50,85,-0.98,0.0%,16.1%,0.0%,16.1%,Chunichi Dragons,31,R,WL
Suzuki Hiroshi,23,1,1,1,0,0,108,24.1,28,1,29,9,0,1,4,14,12,4.44,2.96,2.95,1.52,84,67,79,1.48,0.9%,26.9%,8.3%,18.5%,Chunichi Dragons,22,R,WL
Suzuki Shota,22,1,4,0,0,0,202,43.0,38,4,33,34,0,6,6,24,23,4.81,6.04,4.85,1.67,77,137,130,-1.23,2.0%,16.3%,16.8%,-0.5%,Chunichi Dragons,24,R,WL
Tajima Shinji,23,0,3,1,0,0,99,24.0,18,2,27,7,0,2,2,11,7,2.63,3.53,2.78,1.04,141,80,74,-0.90,2.0%,27.3%,7.1%,20.2%,Chunichi Dragons,29,R,WL
Tanimoto Keisuke,16,1,1,3,0,0,66,15.2,17,1,11,3,0,0,1,5,4,2.30,3.58,3.59,1.28,162,81,96,-1.28,1.5%,16.7%,4.5%,12.1%,Chunichi Dragons,34,R,WL
Umetsu Kodai,9,3,0,0,0,0,121,30.2,27,2,30,6,0,1,4,8,7,2.05,3.15,2.82,1.08,181,72,75,-1.10,1.7%,24.8%,5.0%,19.8%,Chunichi Dragons,22,R,WL
Yamai Daisuke,6,1,3,0,0,0,140,33.0,34,2,24,8,0,2,1,15,15,4.09,3.82,3.66,1.27,91,87,98,0.27,1.4%,17.1%,5.7%,11.4%,Chunichi Dragons,41,R,WL
Yamamoto Takumi,13,2,6,0,3,1,312,72.2,69,6,37,36,0,2,5,36,27,3.34,5.20,4.77,1.44,111,118,128,-1.86,1.9%,11.9%,11.5%,0.3%,Chunichi Dragons,19,R,WL
Yoshimi Kazuki,15,9,4,0,0,0,346,83.0,98,6,53,8,0,0,2,35,28,3.04,3.53,3.50,1.28,122,80,94,-0.49,1.7%,15.3%,2.3%,13.0%,Chunichi Dragons,34,R,WL
Albers Andrew,3,0,1,0,0,0,74,20.0,12,0,12,6,0,0,0,4,4,1.80,3.28,3.99,0.90,185,83,107,-1.48,0.0%,16.2%,8.1%,8.1%,ORIX Buffaloes,33,L,WL
Aoyama Daiki,22,2,4,0,0,0,165,35.2,45,5,30,12,1,2,1,27,22,5.55,4.89,3.71,1.60,60,124,99,0.66,3.0%,18.2%,7.3%,10.9%,ORIX Buffaloes,24,R,WL
Aranishi Yudai,19,3,4,1,0,0,179,45.0,41,2,37,9,0,0,0,14,13,2.60,3.11,3.24,1.11,128,79,87,-0.51,1.1%,20.7%,5.0%,15.6%,ORIX Buffaloes,26,R,WL
Azuma Kohei,19,5,7,0,1,0,405,96.0,105,9,77,29,0,1,6,47,41,3.84,4.13,3.61,1.40,87,105,97,-0.29,2.2%,19.0%,7.2%,11.9%,ORIX Buffaloes,19,R,WL
Cho Yaku,19,2,3,1,0,0,171,41.1,30,1,33,16,0,1,0,15,11,2.40,3.53,3.81,1.11,139,90,102,-1.13,0.6%,19.3%,9.4%,9.9%,ORIX Buffaloes,25,R,WL
Dickson Brandon,2,0,0,0,0,0,12,3.0,3,1,2,0,0,0,0,1,1,3.00,6.58,3.13,1.00,111,167,84,-3.58,8.3%,16.7%,0.0%,16.7%,ORIX Buffaloes,34,R,WL
Eppler Tyler,17,2,6,0,0,0,201,47.0,62,1,37,8,0,1,2,31,28,5.36,2.85,3.36,1.49,62,72,90,2.51,0.5%,18.4%,4.0%,14.4%,ORIX Buffaloes,26,R,WL
Hidarisawa Yu,21,0,0,0,0,0,108,23.0,30,2,14,13,0,0,2,14,13,5.09,5.18,4.71,1.87,65,132,126,-0.09,1.9%,13.0%,12.0%,0.9%,ORIX Buffaloes,24,L,WL
Higa Motoki,4,0,0,0,0,0,8,2.2,0,0,2,0,0,0,0,0,0,0.00,2.08,2.30,0.00,999,53,62,-2.08,0.0%,25.0%,0.0%,25.0%,ORIX Buffaloes,36,R,WL
Honda Hitomi,17,2,4,2,0,0,232,57.0,59,1,35,9,0,0,1,19,15,2.37,3.05,3.68,1.19,140,77,99,-0.68,0.4%,15.1%,3.9%,11.2%,ORIX Buffaloes,19,R,WL
Iwamoto Akira,23,1,1,1,0,0,129,31.0,25,1,25,18,0,1,4,14,14,4.06,4.22,4.26,1.39,82,107,114,-0.16,0.8%,19.4%,14.0%,5.4%,ORIX Buffaloes,26,R,WL
Kaida Tomoyuki,9,0,0,0,0,0,25,7.0,4,0,4,0,0,0,0,1,1,1.29,2.43,3.20,0.57,258,62,86,-1.14,0.0%,16.0%,0.0%,16.0%,ORIX Buffaloes,31,L,WL
Kambe Fumiya,19,1,1,1,0,0,97,24.0,24,1,19,2,0,0,1,9,9,3.38,2.78,3.05,1.08,99,71,82,0.60,1.0%,19.6%,2.1%,17.5%,ORIX Buffaloes,25,R,WL
Kaneda Kazuyuki,18,1,0,2,0,0,61,15.2,8,0,17,6,0,0,0,1,0,0.00,2.55,3.00,0.89,999,65,80,-2.55,0.0%,27.9%,9.8%,18.0%,ORIX Buffaloes,28,R,WL
Kishida Mamoru,9,0,0,0,0,0,30,8.1,8,0,8,0,0,0,1,1,1,1.08,1.66,2.13,0.96,308,42,57,-0.58,0.0%,26.7%,0.0%,26.7%,ORIX Buffaloes,38,R,WL
Kobayashi Keisuke,17,2,2,0,0,0,147,35.0,38,3,27,9,0,1,1,16,16,4.11,4.00,3.58,1.34,81,102,96,0.11,2.0%,18.4%,6.1%,12.2%,ORIX Buffaloes,26,R,WL
Kondo Taisuke,4,0,0,0,0,0,14,4.0,2,0,3,0,0,0,1,1,1,2.25,2.08,2.66,0.50,148,53,71,0.17,0.0%,21.4%,0.0%,21.4%,ORIX Buffaloes,28,R,WL
Kuroki Yuta,7,1,0,0,0,0,24,6.0,4,0,9,2,0,0,0,0,0,0.00,1.58,1.88,1.00,999,40,50,-1.58,0.0%,37.5%,8.3%,29.2%,ORIX Buffaloes,24,R,WL
Masui Hirotoshi,2,0,0,0,0,0,7,2.0,1,0,5,0,0,0,0,0,0,0.00,-1.42,-2.34,0.50,999,-36,-63,1.42,0.0%,71.4%,0.0%,71.4%,ORIX Buffaloes,35,R,WL
Matsuba Takahiro,8,3,1,0,0,0,187,47.2,41,3,29,11,0,0,4,17,14,2.64,3.87,3.84,1.09,126,98,103,-1.23,1.6%,15.5%,5.9%,9.6%,ORIX Buffaloes,28,L,WL
Naruse Yoshihisa,11,1,1,1,0,0,108,26.0,29,2,23,5,0,0,0,11,11,3.81,3.38,3.13,1.31,87,86,84,0.43,1.9%,21.3%,4.6%,16.7%,ORIX Buffaloes,33,L,WL
Saito Koki,33,3,1,0,0,0,93,24.2,11,0,23,7,1,3,1,4,3,1.09,2.93,3.08,0.73,305,74,82,-1.84,0.0%,24.7%,7.5%,17.2%,ORIX Buffaloes,22,L,WL
Sakakibara Tsubasa,2,1,0,0,0,0,28,7.1,4,0,2,1,0,1,0,0,0,0.00,3.85,4.44,0.68,999,98,119,-3.85,0.0%,7.1%,3.6%,3.6%,ORIX Buffaloes,20,R,WL
Sawada Keisuke,10,1,0,0,0,0,36,10.0,6,0,7,1,0,1,0,0,0,0.00,2.78,3.13,0.70,999,70,84,-2.78,0.0%,19.4%,2.8%,16.7%,ORIX Buffaloes,25,R,WL
Suzuki Kohei,5,1,1,0,1,1,133,35.0,22,0,29,12,0,1,0,5,3,0.77,3.03,3.52,0.97,432,77,94,-2.26,0.0%,21.8%,9.0%,12.8%,ORIX Buffaloes,28,R,WL
Suzuki Yu,22,6,3,0,0,0,357,86.1,70,5,79,27,0,1,3,34,27,2.81,3.47,3.34,1.12,118,88,90,-0.66,1.4%,22.1%,7.6%,14.6%,ORIX Buffaloes,22,R,WL
Tajima Daiki,7,1,3,0,0,0,99,25.0,21,3,25,7,0,1,3,11,9,3.24,4.10,2.98,1.12,103,104,80,-0.86,3.0%,25.3%,7.1%,18.2%,ORIX Buffaloes,22,L,WL
Takeyasu Daichi,10,2,1,0,0,0,141,36.0,33,1,24,4,0,0,2,11,8,2.00,2.94,3.38,1.03,166,75,91,-0.94,0.7%,17.0%,2.8%,14.2%,ORIX Buffaloes,24,R,WL
Tomei Daiki,20,0,1,0,0,0,124,30.0,29,0,19,5,0,0,0,8,5,1.50,2.81,3.67,1.13,222,71,98,-1.31,0.0%,15.3%,4.0%,11.3%,ORIX Buffaloes,30,R,WL
Tomiyama Ryoga,14,4,2,0,0,0,96,24.0,15,1,25,8,0,0,2,11,8,3.00,3.03,3.03,0.96,111,77,81,-0.03,1.0%,26.0%,8.3%,17.7%,ORIX Buffaloes,22,L,WL
Tsukahara Shohei,1,0,1,0,0,0,3,0.0,0,0,0,2,0,1,1,3,3,,,11.47,,0,,307,,0.0%,0.0%,66.7%,-66.7%,ORIX Buffaloes,26,R,WL
Urushihara Taisei,39,1,0,23,0,0,160,38.1,30,1,38,16,0,1,1,15,15,3.52,3.26,3.42,1.20,95,83,92,0.26,0.6%,23.8%,10.0%,13.7%,ORIX Buffaloes,22,R,WL
Yamada Nobuyoshi,19,0,0,0,0,0,59,14.1,9,0,21,4,0,0,0,3,1,0.63,1.48,1.92,0.91,529,38,51,-0.85,0.0%,35.6%,6.8%,28.8%,ORIX Buffaloes,27,L,WL
Yamamoto Yoshinobu,1,0,1,0,0,0,23,6.0,4,0,6,1,0,0,0,3,2,3.00,2.08,2.63,0.83,111,53,70,0.92,0.0%,26.1%,4.3%,21.7%,ORIX Buffaloes,20,R,WL
Yamaoka Taisuke,1,1,0,0,0,0,31,8.0,7,0,10,1,0,0,0,1,1,1.13,1.45,1.90,1.00,295,37,51,-0.32,0.0%,32.3%,3.2%,29.0%,ORIX Buffaloes,23,R,WL
Yamasaki Sachiya,3,0,0,0,0,0,40,11.0,5,0,13,3,0,0,0,1,1,0.82,2.03,2.30,0.73,406,52,62,-1.21,0.0%,32.5%,7.5%,25.0%,ORIX Buffaloes,26,L,WL
