Batter,Team,Bats,PA,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Maki Shugo,DeNA,R,388,19.58762887,2.835051546,53.22692575,73.07171854,32.29018492,76.01043025,86.48148148,51.10132159,12.76891048,23.98956975,26.50936849,59.75017349,36.39575972,52.29681979,11.30742049,35.68904594,16.60777385,63.60424028,4.12371134,10.81081081,46.28975265,34.62897527,19.08127208,24.30555556
Mune Yuma,ORIX,L,388,12.11340206,6.443298969,43.51245085,63.27044025,22.0246238,88.55421687,94.03578529,71.42857143,4.98034076,11.44578313,23.98427261,57.20838794,45.54455446,44.88448845,9.570957096,32.01320132,12.87128713,54.45544554,1.546391753,4.411764706,35.31353135,41.91419142,22.77227723,13.15789474
Asamura Hideto,Rakuten,R,386,20.98445596,12.1761658,43.23144105,66.83870968,21.00840336,76.91197691,83.01158301,58.85714286,9.98128509,23.08802309,25.82657517,54.14847162,33.2,57.6,9.2,47.6,10.0,66.8,2.331606218,6.25,32.4,46.0,21.6,18.7250996
Takabe Akito,Lotte,L,384,12.76041667,3.645833333,60.12965964,79.04191617,37.80918728,85.44474394,93.56060606,65.42056075,8.752025932,14.55525606,19.44894652,62.80388979,57.14285714,37.14285714,5.714285714,30.15873016,6.984126984,42.85714286,0.5208333333,1.709401709,22.85714286,44.44444444,32.6984127,7.86163522
Yamada Tetsuto,Yakult,R,375,16.8,7.733333333,46.90934066,69.03485255,23.62869198,76.13469985,84.85436893,49.4047619,11.19505495,23.86530015,26.78571429,57.28021978,35.86956522,57.60869565,6.52173913,43.11594203,14.49275362,64.13043478,3.2,7.547169811,41.66666667,39.13043478,19.20289855,20.07168459
Fujioka Yudai,Lotte,L,374,17.9144385,10.96256684,41.21338912,64.59459459,16.25899281,79.69543147,87.86610879,45.13274336,8.368200837,20.30456853,25.94142259,53.76569038,40.76923077,50.0,9.230769231,40.76923077,9.230769231,59.23076923,1.069518717,3.076923077,35.38461538,40.0,24.61538462,14.77272727
Yamamoto Yasuhiro,Chunichi,R,373,16.62198391,2.680965147,54.35114504,69.93377483,33.15315315,81.32022472,87.31060606,64.13043478,10.15267176,18.67977528,26.41221374,64.96183206,42.32081911,45.7337884,11.94539249,26.96245734,18.77133106,57.67918089,1.072386059,2.985074627,32.42320819,33.44709898,34.12969283,16.38795987
Nakamura Shosei,Hiroshima,R,371,12.66846361,4.312668464,44.56443485,60.38251366,26.85887709,83.36025848,91.40271493,63.27683616,7.415406767,16.63974152,28.07775378,58.09935205,43.91891892,49.32432432,6.756756757,34.7972973,14.52702703,56.08108108,2.425876011,6.164383562,37.83783784,39.18918919,22.97297297,17.44966443
Nomura Yuki,Nipponham,R,369,18.9701897,7.046070461,53.50746269,73.95209581,33.18452381,73.91910739,86.43724696,46.18834081,13.95522388,26.08089261,26.94029851,59.62686567,33.33333333,55.05617978,11.61048689,41.57303371,13.48314607,66.66666667,2.16802168,5.442176871,37.45318352,41.19850187,21.34831461,18.51851852
Soto Neftali,Lotte,R,369,26.55826558,8.943089431,48.02675585,68.37606838,30.01261034,67.40947075,80.41666667,41.17647059,15.65217391,32.59052925,30.30100334,57.52508361,37.93103448,56.03448276,6.034482759,48.27586207,7.75862069,62.06896552,3.52303523,10.0,31.89655172,42.24137931,25.86206897,14.95726496
Ishii Kazunari,Nipponham,L,366,23.49726776,6.010928962,45.73694646,63.64812419,27.02702703,77.60115607,87.39837398,53.5,10.24454726,22.39884393,28.2881692,58.42696629,37.00787402,55.11811024,7.874015748,44.48818898,10.62992126,62.99212598,1.639344262,4.285714286,47.24409449,37.00787402,15.7480315,21.65354331
Maru Yoshihiro,Yomiuri,L,365,15.61643836,9.589041096,42.42424242,65.8974359,17.54385965,79.03726708,83.85214008,60.0,8.893280632,20.96273292,26.21870883,54.08432148,40.74074074,49.62962963,9.62962963,40.0,9.62962963,59.25925926,1.643835616,4.47761194,33.7037037,46.2962963,20.0,13.23529412
Tanaka Mikiya,Chunichi,R,364,9.615384615,6.318681319,41.4996288,56.72823219,21.90152801,88.01431127,91.39534884,76.74418605,4.974016333,11.98568873,27.83964365,59.68819599,50.50847458,42.71186441,6.779661017,31.86440678,10.84745763,49.49152542,0.2747252747,0.7936507937,30.16949153,43.72881356,26.10169492,14.19141914
Genda Sosuke,Seibu,L,362,16.57458564,6.906077348,45.65807327,61.72680412,27.79369628,85.14115899,91.23173278,70.10309278,6.784260516,14.85884101,26.18724559,61.26187246,52.6119403,37.31343284,10.07462687,29.85074627,7.462686567,47.3880597,0.0,0.0,26.86567164,42.91044776,30.2238806,7.299270073
Kobukata Hiroto,Rakuten,L,358,18.15642458,11.17318436,39.17981073,57.33173077,19.09814324,83.09178744,91.82389937,54.16666667,6.624605678,16.90821256,27.94952681,57.22397476,52.4,37.6,10.0,29.6,8.0,47.6,0.2793296089,1.063829787,40.4,36.4,23.2,11.2
Miyazaki Toshiro,DeNA,R,351,11.96581197,7.692307692,40.52149401,55.78231293,24.12280702,86.43478261,95.12195122,64.84848485,5.496828753,13.56521739,28.32980973,56.80056378,50.72992701,36.86131387,12.40875912,29.19708029,7.664233577,49.27007299,1.709401709,5.940594059,35.03649635,43.79562044,21.16788321,14.23487544
Yasuda Hisanori,Lotte,L,351,18.51851852,6.552706553,40.63656551,54.31400283,25.58139535,79.41712204,90.88541667,52.72727273,8.364174685,20.58287796,31.97631384,58.5492228,40.5511811,46.45669291,12.99212598,35.03937008,11.41732283,59.4488189,0.0,0.0,37.4015748,42.91338583,19.68503937,14.39688716
