Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
井野 卓,ヤ,C,86.0,-1.7,-,-,-1.9,0.2,1.2,-1.7,0.2,
オースティン,デ,1B,8.0,0.4,0.3,0.0,-,0.1,-0.1,-,-,
オースティン,デ,RF,493.0,-4.9,-4.8,-,-0.3,0.2,-1.9,-,-,
石井 一成,日,2B,20.7,-1.0,-0.1,-0.3,-,-0.7,0.1,-,-,
石井 一成,日,3B,27.7,-0.4,-0.6,0.0,-,0.2,-0.1,-,-,
石井 一成,日,SS,250.0,-2.4,-0.9,-0.6,-,-0.8,2.0,-,-,
岸田 行倫,巨,C,105.3,0.2,-,-,0.5,-0.4,1.5,-0.4,0.0,
大和,デ,2B,126.0,1.5,0.0,0.8,-,0.7,0.3,-,-,
大和,デ,SS,392.0,-6.0,-5.2,-0.2,-,-0.6,3.2,-,-,
森 友哉,西,C,785.0,-0.7,-,-,0.9,-1.6,11.2,-6.6,-0.9,
森 友哉,西,DH,25.0,-,-,-,-,-,-0.3,-,-,
髙濱 祐仁,日,1B,40.0,0.3,0.1,0.0,-,0.1,-0.4,-,-,
髙濱 祐仁,日,2B,14.0,0.3,0.1,0.1,-,0.1,0.0,-,-,
宮﨑 敏郎,デ,3B,918.0,-0.6,-3.4,0.6,-,2.2,-3.5,-,-,
西巻 賢二,ロ,2B,3.7,0.2,0.2,0.0,-,0.0,0.0,-,-,
西巻 賢二,ロ,SS,48.0,-2.7,-1.6,0.1,-,-1.2,0.4,-,-,
バレンティン,ソ,LF,82.0,-0.2,-0.4,-,0.2,0.0,-0.8,-,-,
バレンティン,ソ,DH,366.7,-,-,-,-,-,-4.4,-,-,
吉田 正尚,オ,LF,451.7,-3.7,-6.1,-,2.2,0.2,-4.3,-,-,
吉田 正尚,オ,RF,283.3,-4.8,-2.7,-,-2.2,0.1,-1.1,-,-,
吉田 正尚,オ,DH,218.7,-,-,-,-,-,-2.6,-,-,
羽月 隆太郎,広,2B,51.0,-0.9,-1.0,0.0,-,0.2,0.1,-,-,
羽月 隆太郎,広,3B,31.0,-0.7,-1.2,0.3,-,0.2,-0.1,-,-,
福留 孝介,神,LF,40.0,-0.6,-0.7,-,0.1,0.0,-0.4,-,-,
福留 孝介,神,CF,34.0,-0.1,-0.1,-,0.0,0.0,0.1,-,-,
福留 孝介,神,RF,56.0,-1.6,-2.1,-,0.5,0.0,-0.2,-,-,
木浪 聖也,神,2B,35.7,1.2,1.5,-0.5,-,0.2,0.1,-,-,
木浪 聖也,神,SS,717.0,2.8,5.1,-1.6,-,-0.7,5.8,-,-,
坂倉 将吾,広,C,428.7,1.6,-,-,3.0,-1.4,6.1,1.1,0.0,
松井 雅人,オ,C,98.0,-1.4,-,-,-1.4,0.0,1.4,-0.6,-0.3,
柿沼 友哉,ロ,C,351.0,1.6,-,-,1.3,0.3,5.0,-6.3,-0.2,
髙山 俊,神,LF,20.0,0.6,0.7,-,0.0,0.0,-0.2,-,-,
髙山 俊,神,RF,41.7,0.2,0.6,-,-0.4,0.0,-0.2,-,-,
磯村 嘉孝,広,C,100.7,0.8,-,-,0.5,0.3,1.4,-1.6,-0.2,
グラシアル,ソ,3B,45.0,-1.1,0.3,-0.2,-,-1.2,-0.2,-,-,
グラシアル,ソ,LF,335.3,-1.8,-3.3,-,1.3,0.1,-3.2,-,-,
グラシアル,ソ,DH,149.0,-,-,-,-,-,-1.8,-,-,
渡邊 佳明,楽,2B,70.0,-2.8,-2.1,-0.3,-,-0.4,0.2,-,-,
渡邊 佳明,楽,3B,64.0,1.1,1.2,0.2,-,-0.2,-0.2,-,-,
渡邊 佳明,楽,LF,8.0,-0.2,-0.7,-,0.5,0.0,-0.1,-,-,
渡邊 佳明,楽,RF,44.0,0.0,0.6,-,-0.5,0.0,-0.2,-,-,
渡邊 佳明,楽,DH,3.0,-,-,-,-,-,0.0,-,-,
呉 念庭,西,1B,71.0,-1.8,-2.4,0.4,-,0.2,-0.8,-,-,
呉 念庭,西,2B,7.0,-0.8,-0.9,0.0,-,0.0,0.0,-,-,
呉 念庭,西,3B,61.0,1.0,1.0,0.2,-,-0.1,-0.2,-,-,
呉 念庭,西,SS,12.0,-0.5,-0.4,-0.1,-,0.0,0.1,-,-,
青木 宣親,ヤ,LF,768.0,12.0,5.9,-,5.6,0.5,-7.3,-,-,
倉本 寿彦,デ,2B,22.0,1.6,1.5,-0.1,-,0.2,0.1,-,-,
倉本 寿彦,デ,3B,20.0,0.0,0.5,0.0,-,-0.6,-0.1,-,-,
倉本 寿彦,デ,SS,436.0,4.7,1.8,0.9,-,2.0,3.6,-,-,
銀次,楽,1B,477.3,2.9,1.3,0.2,-,1.4,-5.3,-,-,
銀次,楽,DH,3.0,-,-,-,-,-,0.0,-,-,
西野 真弘,オ,2B,16.0,0.8,1.0,-0.3,-,0.1,0.0,-,-,
西野 真弘,オ,3B,129.0,1.6,1.5,-0.2,-,0.3,-0.5,-,-,
西野 真弘,オ,DH,9.0,-,-,-,-,-,-0.1,-,-,
モタ,巨,LF,10.0,-0.3,-0.3,-,0.0,0.0,-0.1,-,-,
栗山 巧,西,LF,258.0,-9.5,-6.2,-,-3.4,0.1,-2.4,-,-,
栗山 巧,西,DH,604.0,-,-,-,-,-,-7.2,-,-,
近藤 健介,日,LF,581.0,4.9,3.8,-,0.7,0.4,-5.5,-,-,
近藤 健介,日,RF,31.0,1.0,0.8,-,0.2,0.0,-0.1,-,-,
近藤 健介,日,DH,285.0,-,-,-,-,-,-3.4,-,-,
藤岡 裕大,ロ,SS,889.0,-9.3,-7.1,-2.1,-,-0.1,7.2,-,-,
堂上 直倫,中,1B,27.7,-1.6,-1.6,0.0,-,0.0,-0.3,-,-,
堂上 直倫,中,2B,20.0,0.2,0.1,0.0,-,0.1,0.1,-,-,
堂上 直倫,中,3B,10.0,-0.6,0.0,0.0,-,-0.6,0.0,-,-,
堂上 直倫,中,SS,8.0,-0.2,0.4,0.1,-,-0.7,0.1,-,-,
桒原 樹,広,2B,3.0,-0.8,-0.1,0.0,-,-0.7,0.0,-,-,
杉本 裕太郎,オ,LF,4.0,0.1,0.1,-,0.0,0.0,0.0,-,-,
杉本 裕太郎,オ,RF,288.0,2.5,1.0,-,1.3,0.1,-1.1,-,-,
真砂 勇介,ソ,LF,14.3,0.2,0.1,-,0.0,0.0,-0.1,-,-,
真砂 勇介,ソ,CF,38.0,-0.8,-0.9,-,0.2,0.0,0.1,-,-,
真砂 勇介,ソ,RF,98.0,-1.4,-1.2,-,-0.3,0.0,-0.4,-,-,
平沼 翔太,日,2B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
平沼 翔太,日,3B,81.0,-0.1,-0.5,-0.1,-,0.5,-0.3,-,-,
平沼 翔太,日,SS,273.0,-0.6,-0.1,0.0,-,-0.5,2.2,-,-,
山崎 勝己,オ,C,2.0,0.0,-,-,0.0,0.0,0.0,0.0,-0.1,
梅野 隆太郎,神,C,752.7,1.5,-,-,0.8,0.7,10.8,11.3,-1.7,
江村 直也,ロ,C,22.0,-0.1,-,-,-0.2,0.0,0.3,0.1,-0.1,
藤井 亮太,ヤ,3B,26.3,-0.6,-0.7,0.0,-,0.1,-0.1,-,-,
