                   Player    G   PA   AB    R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%     BB%  BB/K   wSB    TTO% Age  Pos  B                Team League
124           Itoh Yukiya   21   57   52    7   15   4   0   4   31    7   0   0   0   1   17    3    0   1    1  0.288  0.333  0.596  0.929   152  0.308  0.344   29.8%    5.3%  0.18  -0.0   42.1%  22    4  R       DeNA BayStars     CL
125     Kajitani Takayuki   41  110   93   13   20   5   0   5   40   15   3   0   1   0   20   16    1   0    1  0.215  0.330  0.430  0.760   109  0.215  0.221   18.2%   14.5%  0.80   0.5   37.3%  30    8  L       DeNA BayStars     CL
126     Kamichatani Taiga   25   48   44    4    8   0   0   0    8    4   0   0   4   0   15    0    0   0    0  0.182  0.182  0.182  0.364     2  0.000  0.276   31.2%    0.0%  0.00  -0.0   31.2%  22    1  R       DeNA BayStars     CL
127       Kamizato Kazuki  123  458  427   62  119  31   3   6  174   35  15  10   3   0  121   26    2   2    7  0.279  0.323  0.407  0.730   101  0.128  0.377   26.4%    5.7%  0.21  -0.9   33.4%  25    8  L       DeNA BayStars     CL
128        Kasai Takamasa   16    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%    0.0%  0.00   0.0  100.0%  24    1  R       DeNA BayStars     CL
129        Kuniyoshi Yuki   53    7    7    0    0   0   0   0    0    0   0   0   0   0    2    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   28.6%    0.0%  0.00   0.0   28.6%  27    1  R       DeNA BayStars     CL
130    Kuramoto Toshihiko   24   35   33    1    4   1   0   0    5    2   0   1   0   0    7    2    0   0    0  0.121  0.171  0.152  0.323    -8  0.031  0.154   20.0%    5.7%  0.29  -0.3   25.7%  28    6  L       DeNA BayStars     CL
131       Kusumoto Taishi   39   81   72    6   15   4   0   1   22    6   0   2   0   0   19    7    0   2    1  0.208  0.296  0.306  0.602    68  0.098  0.269   23.5%    8.6%  0.37  -0.7   33.3%  23    9  L       DeNA BayStars     CL
132     Kuwahara Masayuki   72  115  102   14   19   3   1   2   30    7   2   0   3   0   26    9    0   1    0  0.186  0.259  0.294  0.553    54  0.108  0.230   22.6%    7.8%  0.35   0.3   32.2%  25    8  R       DeNA BayStars     CL
133        Kyoyama Masaya    9   12    9    0    0   0   0   0    0    0   0   0   3   0    5    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   41.7%    0.0%  0.00   0.0   41.7%  20    1  R       DeNA BayStars     CL
